regiao,uf,estacao,latitude,longitude,altitude,timestamp_utc,data_br,hora_utc,mes,temperatura_seco_c,temperatura_max_c,temperatura_min_c,month_max_t,month_min_t,month_amplitude_t,temperatura_orvalho_c,temperatura_orvalho_max_c,temperatura_orvalho_min_c,umidade_porcento,umidade_max_porcento,umidade_min_porcento,pressao_estacao_mb,pressao_max_mb,pressao_min_mb,precipitacao_total_mm,radiacao_global_kj_m2,vento_direcao_graus,vento_velocidade_ms,vento_rajada_ms
CO,DF,BRAZLANDIA,-15.59972221,-48.1311111,1143.0,2025-01-01 00:00:00,01/01/2025,0000,1,20.1,20.1,19.7,30.3,16.7,13.600000000000001,18.5,18.6,18.2,91.0,92.0,90.0,887.2,887.2,886.6,0.0,,26.0,1.3,2.9
CO,DF,BRAZLANDIA,-15.59972221,-48.1311111,1143.0,2025-01-01 01:00:00,01/01/2025,0100,1,20.0,20.2,20.0,30.3,16.7,13.600000000000001,18.0,18.6,18.0,88.0,91.0,87.0,887.5,887.5,887.2,0.0,,13.0,0.5,2.7
CO,DF,BRAZLANDIA,-15.59972221,-48.1311111,1143.0,2025-01-01 02:00:00,01/01/2025,0200,1,20.2,20.2,20.0,30.3,16.7,13.600000000000001,18.2,18.3,18.0,88.0,89.0,88.0,887.9,888.0,887.4,0.0,,347.0,1.2,3.1
CO,DF,BRAZLANDIA,-15.59972221,-48.1311111,1143.0,2025-01-01 03:00:00,01/01/2025,0300,1,19.9,20.2,19.8,30.3,16.7,13.600000000000001,18.0,18.2,18.0,89.0,89.0,88.0,887.4,887.9,887.4,0.0,,22.0,0.3,3.6
CO,DF,BRAZLANDIA,-15.59972221,-48.1311111,1143.0,2025-01-01 04:00:00,01/01/2025,0400,1,20.1,20.1,19.8,30.3,16.7,13.600000000000001,17.6,18.0,17.6,86.0,89.0,85.0,887.1,887.4,887.1,0.0,,40.0,0.1,2.7
CO,DF,BRAZLANDIA,-15.59972221,-48.1311111,1143.0,2025-01-01 05:00:00,01/01/2025,0500,1,19.8,20.2,19.8,30.3,16.7,13.600000000000001,17.4,17.7,17.3,86.0,87.0,85.0,886.6,887.1,886.5,0.0,,24.0,0.1,1.9
CO,DF,BRAZLANDIA,-15.59972221,-48.1311111,1143.0,2025-01-01 06:00:00,01/01/2025,0600,1,19.8,19.9,19.6,30.3,16.7,13.600000000000001,17.8,17.8,17.4,88.0,89.0,86.0,886.5,886.6,886.5,0.0,,71.0,0.0,1.8
CO,DF,BRAZLANDIA,-15.59972221,-48.1311111,1143.0,2025-01-01 07:00:00,01/01/2025,0700,1,19.9,19.9,19.6,30.3,16.7,13.600000000000001,17.6,17.8,17.6,86.0,88.0,86.0,886.3,886.5,886.2,0.0,,97.0,0.0,1.1
CO,DF,BRAZLANDIA,-15.59972221,-48.1311111,1143.0,2025-01-01 08:00:00,01/01/2025,0800,1,19.9,20.0,19.6,30.3,16.7,13.600000000000001,17.8,17.8,17.5,88.0,89.0,86.0,886.5,886.5,886.3,0.0,,146.0,0.1,1.4
CO,DF,BRAZLANDIA,-15.59972221,-48.1311111,1143.0,2025-01-01 09:00:00,01/01/2025,0900,1,19.8,20.1,19.8,30.3,16.7,13.600000000000001,17.7,17.8,17.6,88.0,88.0,85.0,887.0,887.0,886.5,0.0,3.0,118.0,0.0,1.7
CO,DF,BRAZLANDIA,-15.59972221,-48.1311111,1143.0,2025-01-01 10:00:00,01/01/2025,1000,1,20.9,20.9,19.6,30.3,16.7,13.600000000000001,17.0,17.8,16.9,78.0,89.0,78.0,888.0,888.0,887.0,0.0,220.1,86.0,0.5,1.6
CO,DF,BRAZLANDIA,-15.59972221,-48.1311111,1143.0,2025-01-01 11:00:00,01/01/2025,1100,1,21.3,21.6,20.9,30.3,16.7,13.600000000000001,17.9,17.9,16.9,81.0,81.0,77.0,888.7,888.7,888.0,0.0,562.6,9.0,0.5,1.7
CO,DF,BRAZLANDIA,-15.59972221,-48.1311111,1143.0,2025-01-01 12:00:00,01/01/2025,1200,1,22.6,22.7,21.2,30.3,16.7,13.600000000000001,18.1,19.0,17.8,76.0,83.0,75.0,889.1,889.1,888.7,0.0,955.8,35.0,0.7,2.5
CO,DF,BRAZLANDIA,-15.59972221,-48.1311111,1143.0,2025-01-01 13:00:00,01/01/2025,1300,1,23.3,24.1,22.4,30.3,16.7,13.600000000000001,17.1,18.9,16.5,68.0,79.0,65.0,889.2,889.2,889.1,0.0,1881.2,353.0,2.0,4.1
CO,DF,BRAZLANDIA,-15.59972221,-48.1311111,1143.0,2025-01-01 14:00:00,01/01/2025,1400,1,23.8,24.4,23.3,30.3,16.7,13.600000000000001,17.8,18.3,16.6,69.0,71.0,65.0,888.8,889.2,888.8,0.0,1957.3,7.0,1.0,4.5
CO,DF,BRAZLANDIA,-15.59972221,-48.1311111,1143.0,2025-01-01 15:00:00,01/01/2025,1500,1,25.3,25.4,23.8,30.3,16.7,13.600000000000001,17.2,18.4,16.7,61.0,70.0,60.0,888.3,888.8,888.3,0.0,1788.2,330.0,1.5,4.2
CO,DF,BRAZLANDIA,-15.59972221,-48.1311111,1143.0,2025-01-01 16:00:00,01/01/2025,1600,1,23.9,25.8,23.9,30.3,16.7,13.600000000000001,17.9,18.7,16.6,69.0,71.0,60.0,887.6,888.3,887.6,0.0,1488.9,25.0,2.1,5.8
CO,DF,BRAZLANDIA,-15.59972221,-48.1311111,1143.0,2025-01-01 17:00:00,01/01/2025,1700,1,23.1,24.0,23.0,30.3,16.7,13.600000000000001,18.4,19.2,17.6,75.0,77.0,68.0,887.1,887.8,887.1,0.0,639.4,35.0,1.3,4.6
CO,DF,BRAZLANDIA,-15.59972221,-48.1311111,1143.0,2025-01-01 18:00:00,01/01/2025,1800,1,24.0,24.1,23.1,30.3,16.7,13.600000000000001,18.5,19.1,17.9,72.0,76.0,70.0,886.4,887.1,886.4,0.2,939.3,126.0,0.2,2.6
CO,DF,BRAZLANDIA,-15.59972221,-48.1311111,1143.0,2025-01-01 19:00:00,01/01/2025,1900,1,21.9,24.1,21.9,30.3,16.7,13.600000000000001,19.2,19.9,18.2,84.0,85.0,70.0,885.5,886.4,885.5,0.6,940.9,182.0,2.5,6.2
