regiao,uf,estacao,latitude,longitude,altitude,timestamp_utc,data_br,hora_utc,mes,temperatura_seco_c,temperatura_max_c,temperatura_min_c,month_max_t,month_min_t,month_amplitude_t,temperatura_orvalho_c,temperatura_orvalho_max_c,temperatura_orvalho_min_c,umidade_porcento,umidade_max_porcento,umidade_min_porcento,pressao_estacao_mb,pressao_max_mb,pressao_min_mb,precipitacao_total_mm,radiacao_global_kj_m2,vento_direcao_graus,vento_velocidade_ms,vento_rajada_ms
CO,DF,AGUAS EMENDADAS,-15.59638888,-47.62583332,1030.36,2025-01-01 00:00:00,01/01/2025,0000,1,20.1,20.5,20.1,32.0,15.3,16.7,18.4,18.6,18.4,90.0,90.0,88.0,899.2,899.2,898.6,0.0,,62.0,1.0,2.3
CO,DF,AGUAS EMENDADAS,-15.59638888,-47.62583332,1030.36,2025-01-01 01:00:00,01/01/2025,0100,1,20.0,20.2,20.0,32.0,15.3,16.7,18.6,18.7,18.4,91.0,91.0,90.0,899.3,899.4,899.2,0.0,,35.0,0.4,1.7
CO,DF,AGUAS EMENDADAS,-15.59638888,-47.62583332,1030.36,2025-01-01 02:00:00,01/01/2025,0200,1,20.0,20.2,19.8,32.0,15.3,16.7,18.7,18.8,18.5,92.0,92.0,91.0,899.9,899.9,899.3,0.0,,245.0,1.2,1.7
CO,DF,AGUAS EMENDADAS,-15.59638888,-47.62583332,1030.36,2025-01-01 03:00:00,01/01/2025,0300,1,19.4,20.1,19.4,32.0,15.3,16.7,18.1,18.8,18.1,93.0,93.0,92.0,899.4,900.0,899.4,0.0,,275.0,0.3,1.7
CO,DF,AGUAS EMENDADAS,-15.59638888,-47.62583332,1030.36,2025-01-01 04:00:00,01/01/2025,0400,1,18.9,19.5,18.9,32.0,15.3,16.7,17.8,18.4,17.8,93.0,93.0,93.0,898.9,899.5,898.9,0.0,,190.0,0.7,1.2
CO,DF,AGUAS EMENDADAS,-15.59638888,-47.62583332,1030.36,2025-01-01 05:00:00,01/01/2025,0500,1,18.3,18.9,18.3,32.0,15.3,16.7,17.2,17.8,17.2,94.0,94.0,93.0,898.5,898.9,898.4,0.0,,34.0,0.3,1.2
CO,DF,AGUAS EMENDADAS,-15.59638888,-47.62583332,1030.36,2025-01-01 06:00:00,01/01/2025,0600,1,18.1,18.3,17.9,32.0,15.3,16.7,17.1,17.2,16.8,94.0,94.0,93.0,898.5,898.6,898.3,0.0,,147.0,0.7,1.5
CO,DF,AGUAS EMENDADAS,-15.59638888,-47.62583332,1030.36,2025-01-01 07:00:00,01/01/2025,0700,1,18.9,18.9,18.1,32.0,15.3,16.7,17.9,17.9,17.2,94.0,94.0,94.0,898.2,898.6,898.2,0.0,,144.0,0.8,1.5
CO,DF,AGUAS EMENDADAS,-15.59638888,-47.62583332,1030.36,2025-01-01 08:00:00,01/01/2025,0800,1,19.2,19.3,18.9,32.0,15.3,16.7,18.3,18.3,17.9,94.0,94.0,94.0,898.7,898.7,898.2,0.0,,75.0,1.0,1.9
CO,DF,AGUAS EMENDADAS,-15.59638888,-47.62583332,1030.36,2025-01-01 09:00:00,01/01/2025,0900,1,19.7,19.7,19.1,32.0,15.3,16.7,18.8,18.8,18.1,94.0,94.0,94.0,899.3,899.3,898.7,0.0,8.4,99.0,0.7,2.0
CO,DF,AGUAS EMENDADAS,-15.59638888,-47.62583332,1030.36,2025-01-01 10:00:00,01/01/2025,1000,1,20.6,20.6,19.7,32.0,15.3,16.7,19.5,19.5,18.7,94.0,94.0,94.0,900.2,900.2,899.3,0.0,164.6,77.0,0.9,2.6
CO,DF,AGUAS EMENDADAS,-15.59638888,-47.62583332,1030.36,2025-01-01 11:00:00,01/01/2025,1100,1,21.8,21.8,20.6,32.0,15.3,16.7,19.6,20.1,19.5,87.0,94.0,87.0,900.7,900.7,900.2,0.0,603.5,86.0,1.5,4.0
CO,DF,AGUAS EMENDADAS,-15.59638888,-47.62583332,1030.36,2025-01-01 12:00:00,01/01/2025,1200,1,24.0,24.0,21.6,32.0,15.3,16.7,19.4,20.1,18.9,76.0,87.0,76.0,901.1,901.1,900.8,0.0,1435.4,110.0,1.5,4.3
CO,DF,AGUAS EMENDADAS,-15.59638888,-47.62583332,1030.36,2025-01-01 13:00:00,01/01/2025,1300,1,24.2,24.2,23.6,32.0,15.3,16.7,19.4,19.6,18.6,75.0,77.0,73.0,901.2,901.2,901.1,0.0,1089.0,126.0,1.1,3.5
CO,DF,AGUAS EMENDADAS,-15.59638888,-47.62583332,1030.36,2025-01-01 14:00:00,01/01/2025,1400,1,23.9,24.3,23.5,32.0,15.3,16.7,19.7,19.7,18.6,77.0,79.0,72.0,901.1,901.2,901.1,0.0,675.1,110.0,1.6,3.2
CO,DF,AGUAS EMENDADAS,-15.59638888,-47.62583332,1030.36,2025-01-01 15:00:00,01/01/2025,1500,1,23.0,24.0,22.7,32.0,15.3,16.7,19.5,19.6,19.1,81.0,83.0,76.0,900.7,901.1,900.7,0.0,525.0,108.0,2.0,4.5
CO,DF,AGUAS EMENDADAS,-15.59638888,-47.62583332,1030.36,2025-01-01 16:00:00,01/01/2025,1600,1,24.8,26.4,23.0,32.0,15.3,16.7,18.9,20.8,18.6,70.0,81.0,64.0,899.8,900.7,899.7,0.0,1557.6,113.0,1.6,4.3
