regiao,uf,estacao,latitude,longitude,altitude,timestamp_utc,data_br,hora_utc,mes,temperatura_seco_c,temperatura_max_c,temperatura_min_c,month_max_t,month_min_t,month_amplitude_t,temperatura_orvalho_c,temperatura_orvalho_max_c,temperatura_orvalho_min_c,umidade_porcento,umidade_max_porcento,umidade_min_porcento,pressao_estacao_mb,pressao_max_mb,pressao_min_mb,precipitacao_total_mm,radiacao_global_kj_m2,vento_direcao_graus,vento_velocidade_ms,vento_rajada_ms
CO,DF,GAMA (PONTE ALTA),-15.93527777,-48.13749999,990.0,2025-01-01 00:00:00,01/01/2025,0000,1,22.3,22.3,21.2,32.3,16.1,16.199999999999996,17.7,18.0,17.3,75.0,82.0,75.0,903.4,903.4,902.8,0.0,,339.0,1.3,2.5
CO,DF,GAMA (PONTE ALTA),-15.93527777,-48.13749999,990.0,2025-01-01 01:00:00,01/01/2025,0100,1,22.7,23.0,21.9,32.3,16.1,16.199999999999996,17.4,17.8,17.2,72.0,77.0,70.0,903.6,903.6,903.4,0.0,,353.0,1.8,5.1
CO,DF,GAMA (PONTE ALTA),-15.93527777,-48.13749999,990.0,2025-01-01 02:00:00,01/01/2025,0200,1,22.6,23.1,22.4,32.3,16.1,16.199999999999996,17.6,17.6,17.2,73.0,74.0,70.0,904.1,904.2,903.6,0.0,,349.0,1.3,5.1
CO,DF,GAMA (PONTE ALTA),-15.93527777,-48.13749999,990.0,2025-01-01 03:00:00,01/01/2025,0300,1,21.2,22.6,21.2,32.3,16.1,16.199999999999996,18.2,18.2,17.6,83.0,83.0,73.0,903.9,904.2,903.8,0.0,,266.0,0.8,3.0
CO,DF,GAMA (PONTE ALTA),-15.93527777,-48.13749999,990.0,2025-01-01 04:00:00,01/01/2025,0400,1,20.5,21.4,20.5,32.3,16.1,16.199999999999996,18.4,18.4,18.1,88.0,88.0,82.0,903.6,903.9,903.6,0.0,,107.0,1.1,2.5
CO,DF,GAMA (PONTE ALTA),-15.93527777,-48.13749999,990.0,2025-01-01 05:00:00,01/01/2025,0500,1,20.5,20.5,20.1,32.3,16.1,16.199999999999996,19.0,19.0,18.4,91.0,91.0,88.0,903.0,903.6,902.9,0.0,,166.0,0.8,1.9
CO,DF,GAMA (PONTE ALTA),-15.93527777,-48.13749999,990.0,2025-01-01 06:00:00,01/01/2025,0600,1,20.6,20.7,20.5,32.3,16.1,16.199999999999996,19.2,19.3,19.0,92.0,92.0,91.0,903.0,903.1,902.9,0.0,,198.0,0.9,1.7
CO,DF,GAMA (PONTE ALTA),-15.93527777,-48.13749999,990.0,2025-01-01 07:00:00,01/01/2025,0700,1,20.5,20.6,20.4,32.3,16.1,16.199999999999996,19.2,19.2,19.0,92.0,92.0,92.0,902.8,903.0,902.7,0.0,,155.0,1.2,2.0
CO,DF,GAMA (PONTE ALTA),-15.93527777,-48.13749999,990.0,2025-01-01 08:00:00,01/01/2025,0800,1,20.2,20.5,20.2,32.3,16.1,16.199999999999996,18.9,19.2,18.9,92.0,92.0,92.0,903.0,903.0,902.8,0.0,,191.0,1.3,2.0
CO,DF,GAMA (PONTE ALTA),-15.93527777,-48.13749999,990.0,2025-01-01 09:00:00,01/01/2025,0900,1,20.3,20.3,20.2,32.3,16.1,16.199999999999996,19.0,19.0,18.9,92.0,92.0,92.0,903.5,903.5,903.0,0.0,3.5,165.0,0.5,1.6
CO,DF,GAMA (PONTE ALTA),-15.93527777,-48.13749999,990.0,2025-01-01 10:00:00,01/01/2025,1000,1,20.5,20.6,20.2,32.3,16.1,16.199999999999996,19.2,19.3,18.9,92.0,92.0,92.0,904.6,904.6,903.5,0.0,86.0,185.0,1.3,2.0
CO,DF,GAMA (PONTE ALTA),-15.93527777,-48.13749999,990.0,2025-01-01 11:00:00,01/01/2025,1100,1,21.4,21.4,20.4,32.3,16.1,16.199999999999996,19.6,19.9,19.2,90.0,92.0,90.0,905.1,905.2,904.6,0.0,505.8,178.0,1.7,3.5
CO,DF,GAMA (PONTE ALTA),-15.93527777,-48.13749999,990.0,2025-01-01 12:00:00,01/01/2025,1200,1,24.4,24.6,21.4,32.3,16.1,16.199999999999996,19.6,20.4,19.0,74.0,90.0,74.0,905.4,905.4,905.1,0.0,1479.4,100.0,1.2,3.1
CO,DF,GAMA (PONTE ALTA),-15.93527777,-48.13749999,990.0,2025-01-01 13:00:00,01/01/2025,1300,1,19.7,25.1,19.4,32.3,16.1,16.199999999999996,18.1,20.1,16.9,90.0,90.0,71.0,905.7,905.7,905.3,8.4,922.5,169.0,2.1,10.7
CO,DF,GAMA (PONTE ALTA),-15.93527777,-48.13749999,990.0,2025-01-01 14:00:00,01/01/2025,1400,1,23.2,23.5,19.7,32.3,16.1,16.199999999999996,19.3,20.3,18.2,79.0,91.0,76.0,905.3,905.7,905.3,0.2,1480.2,166.0,1.9,6.4
CO,DF,GAMA (PONTE ALTA),-15.93527777,-48.13749999,990.0,2025-01-01 15:00:00,01/01/2025,1500,1,22.5,23.2,21.2,32.3,16.1,16.199999999999996,19.6,20.3,18.3,84.0,89.0,78.0,904.7,905.3,904.7,8.2,847.3,167.0,2.3,4.1
CO,DF,GAMA (PONTE ALTA),-15.93527777,-48.13749999,990.0,2025-01-01 16:00:00,01/01/2025,1600,1,24.5,24.7,22.0,32.3,16.1,16.199999999999996,20.4,21.2,19.3,78.0,86.0,76.0,904.1,904.7,904.0,0.2,1744.8,171.0,2.0,4.5
CO,DF,GAMA (PONTE ALTA),-15.93527777,-48.13749999,990.0,2025-01-01 17:00:00,01/01/2025,1700,1,22.2,24.5,21.6,32.3,16.1,16.199999999999996,19.2,20.3,18.6,83.0,87.0,76.0,903.7,904.4,903.7,0.4,458.3,110.0,1.7,6.0
CO,DF,GAMA (PONTE ALTA),-15.93527777,-48.13749999,990.0,2025-01-01 18:00:00,01/01/2025,1800,1,23.2,24.4,22.2,32.3,16.1,16.199999999999996,19.3,20.6,18.6,79.0,83.0,75.0,903.0,903.7,902.9,0.2,1548.2,188.0,0.9,4.7
CO,DF,GAMA (PONTE ALTA),-15.93527777,-48.13749999,990.0,2025-01-01 19:00:00,01/01/2025,1900,1,23.1,23.2,22.7,32.3,16.1,16.199999999999996,20.1,20.2,18.8,83.0,84.0,78.0,901.9,903.0,901.9,0.6,538.3,64.0,1.2,2.3
CO,DF,GAMA (PONTE ALTA),-15.93527777,-48.13749999,990.0,2025-01-01 20:00:00,01/01/2025,2000,1,23.6,23.9,23.1,32.3,16.1,16.199999999999996,19.6,20.3,19.1,78.0,83.0,75.0,901.0,901.8,901.0,0.0,612.4,48.0,1.6,2.8
CO,DF,GAMA (PONTE ALTA),-15.93527777,-48.13749999,990.0,2025-01-01 21:00:00,01/01/2025,2100,1,23.3,23.8,23.3,32.3,16.1,16.199999999999996,19.5,19.9,19.2,79.0,80.0,76.0,902.2,902.2,900.9,0.0,314.0,55.0,1.5,3.7
CO,DF,GAMA (PONTE ALTA),-15.93527777,-48.13749999,990.0,2025-01-01 22:00:00,01/01/2025,2200,1,21.9,23.3,21.9,32.3,16.1,16.199999999999996,17.2,19.6,17.1,74.0,80.0,74.0,902.5,902.5,901.7,0.0,72.0,59.0,3.3,7.0
CO,DF,GAMA (PONTE ALTA),-15.93527777,-48.13749999,990.0,2025-01-01 23:00:00,01/01/2025,2300,1,21.3,22.0,20.9,32.3,16.1,16.199999999999996,16.9,17.2,16.8,76.0,78.0,73.0,903.4,903.4,902.4,0.0,,348.0,0.7,6.7
CO,DF,GAMA (PONTE ALTA),-15.93527777,-48.13749999,990.0,2025-01-02 00:00:00,02/01/2025,0000,1,20.4,21.3,20.2,32.3,16.1,16.199999999999996,17.5,17.9,16.9,84.0,86.0,76.0,904.0,904.1,903.4,0.0,,211.0,0.9,2.1
CO,DF,GAMA (PONTE ALTA),-15.93527777,-48.13749999,990.0,2025-01-02 01:00:00,02/01/2025,0100,1,20.7,21.1,20.2,32.3,16.1,16.199999999999996,17.3,17.7,17.3,81.0,84.0,80.0,904.6,904.7,904.0,0.0,,79.0,1.8,4.2
CO,DF,GAMA (PONTE ALTA),-15.93527777,-48.13749999,990.0,2025-01-02 02:00:00,02/01/2025,0200,1,20.7,21.0,20.7,32.3,16.1,16.199999999999996,17.2,17.3,17.1,80.0,81.0,79.0,904.9,904.9,904.6,0.0,,42.0,2.1,5.2
CO,DF,GAMA (PONTE ALTA),-15.93527777,-48.13749999,990.0,2025-01-02 03:00:00,02/01/2025,0300,1,21.0,21.0,20.7,32.3,16.1,16.199999999999996,17.7,17.8,17.2,82.0,83.0,80.0,904.7,905.1,904.7,0.0,,20.0,1.6,4.5
CO,DF,GAMA (PONTE ALTA),-15.93527777,-48.13749999,990.0,2025-01-02 04:00:00,02/01/2025,0400,1,20.9,21.0,20.6,32.3,16.1,16.199999999999996,17.8,17.9,17.7,82.0,84.0,82.0,904.0,904.7,904.0,0.0,,24.0,2.1,4.7
CO,DF,GAMA (PONTE ALTA),-15.93527777,-48.13749999,990.0,2025-01-02 05:00:00,02/01/2025,0500,1,20.8,21.1,20.8,32.3,16.1,16.199999999999996,17.5,17.7,17.5,81.0,82.0,80.0,903.6,904.0,903.5,0.0,,31.0,1.2,4.7
CO,DF,GAMA (PONTE ALTA),-15.93527777,-48.13749999,990.0,2025-01-02 06:00:00,02/01/2025,0600,1,20.8,20.9,20.5,32.3,16.1,16.199999999999996,17.3,17.6,17.2,80.0,83.0,80.0,903.3,903.7,903.3,0.0,,39.0,1.3,3.3
CO,DF,GAMA (PONTE ALTA),-15.93527777,-48.13749999,990.0,2025-01-02 07:00:00,02/01/2025,0700,1,20.1,20.9,20.1,32.3,16.1,16.199999999999996,17.6,17.6,17.2,85.0,85.0,80.0,903.3,903.3,903.2,0.0,,223.0,0.5,3.5
