REGIAO:;CO
UF:;DF
ESTACAO:;BRAZLANDIA
CODIGO (WMO):;A042
LATITUDE:;-15,6525
LONGITUDE:;-48,20138888
ALTITUDE:;1147
DATA DE FUNDACAO:;19/07/17
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;888,9;888,9;888,5;;20,2;17,2;20,2;19,3;17,8;17;89;83;83;83;2,6;1,3;
2026/01/01;0100 UTC;0;889,2;889,3;888,9;;21,2;15,3;21,5;19,8;17,1;15,3;83;69;69;83;2,5;1,4;
2026/01/01;0200 UTC;0;889,2;889,4;889,2;;20,2;15;21,3;19,5;15,6;15;78;68;72;64;3,2;,4;
2026/01/01;0300 UTC;0;888,8;889,4;888,8;;20;15,9;20,6;19,5;16;15,1;80;72;77;84;1,6;0;
2026/01/01;0400 UTC;0;888,4;888,8;888,3;;19,3;14,9;20,2;19,3;16;14,8;78;73;76;67;,8;0;
2026/01/01;0500 UTC;0;887,6;888,4;887,6;;19,6;14,7;20,1;19,2;15,1;14,6;77;71;73;130;1,4;0;
2026/01/01;0600 UTC;0;887,6;887,7;887,6;;19,5;14,7;20,6;19,5;14,8;14,3;74;68;74;135;,5;0;
2026/01/01;0700 UTC;0;887,3;887,6;887,3;;19,6;14,4;20,3;19,2;14,9;13,9;76;69;72;131;1;0;
2026/01/01;0800 UTC;0;887,5;887,5;887,3;;19,7;14,2;19,9;19,2;14,4;14,1;73;69;70;81;1,4;,7;
2026/01/01;0900 UTC;,2;887,9;887,9;887,4;6,2;19,9;13,9;20,1;19,6;14,2;13,9;70;68;69;117;1,8;,4;
2026/01/01;1000 UTC;0;888,6;888,6;887,9;383,5;20,6;15,9;20,9;19,4;15,9;13,9;75;67;75;190;2,1;,2;
2026/01/01;1100 UTC;0;888,8;888,9;888,6;1195,2;23,5;15,3;23,6;20,6;16,4;14,5;76;57;60;218;1,9;,7;
2026/01/01;1200 UTC;0;889,2;889,2;888,8;2094,2;24,9;17,9;24,9;23,5;17,9;15,7;67;60;65;252;3;,6;
2026/01/01;1300 UTC;0;889,2;889,4;889,2;2817,4;26,6;17,9;26,6;24,7;18,3;16,5;65;57;59;247;3,4;,9;
2026/01/01;1400 UTC;0;889,1;889,3;889,1;3461,7;27,6;17,2;27,6;26;18,2;14,8;60;48;53;238;6,2;1,6;
2026/01/01;1500 UTC;0;888,3;889,1;888,3;3945,8;28;15,1;28,4;27;17,5;14,4;54;43;45;356;6,2;1,5;
2026/01/01;1600 UTC;0;887,7;888,3;887,7;2081,5;28;17,5;29,2;27;18;14,4;56;42;53;314;4,2;2,2;
2026/01/01;1700 UTC;0;886,6;887,7;886,6;3251,9;29,2;16,1;29,5;27,4;17,9;15,5;55;44;45;323;6;2,4;
2026/01/01;1800 UTC;0;885,6;886,6;885,6;1922,3;28,2;16,7;29,4;27,5;16,9;14,4;51;42;50;244;6,5;4,5;
