REGIAO:;CO
UF:;DF
ESTACAO:;GAMA (PONTE ALTA)
CODIGO (WMO):;A046
LATITUDE:;-15,93527777
LONGITUDE:;-48,13749999
ALTITUDE:;990
DATA DE FUNDACAO:;01/10/14
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;905,4;905,4;904,5;;20,4;17,2;21,2;19,5;17,2;16,5;85;76;82;330;4;1,2;
2026/01/01;0100 UTC;0;905,7;905,8;905,5;;19,5;17,3;20,7;19,5;17,5;17,2;88;81;88;360;2,5;,6;
2026/01/01;0200 UTC;0;905,7;905,9;905,7;;19,5;17,2;19,6;19,2;17,4;17;88;86;86;335;2,3;1,7;
2026/01/01;0300 UTC;0;905,1;905,7;905,1;;18,7;16,2;19,9;18,7;17,3;16,2;88;83;86;341;3,9;1,2;
2026/01/01;0400 UTC;0;904,6;905,1;904,6;;18;16,1;19,6;17,9;16,7;15,3;89;81;89;280;3,3;,4;
2026/01/01;0500 UTC;0;904;904,6;904;;17,9;16,2;18,1;17,7;16,3;15,8;90;89;90;341;3,2;1;
2026/01/01;0600 UTC;0;904,1;904,3;904;;17,3;15,7;18,2;16,9;16,4;15,2;91;89;91;350;2;,7;
2026/01/01;0700 UTC;0;903,8;904,1;903,8;;17,3;15,9;17,5;16,4;16;14,7;91;90;91;342;1,7;1,3;
2026/01/01;0800 UTC;0;904;904;903,7;;17;15,2;17,6;17;16,1;15,2;91;89;89;258;2,8;,5;
2026/01/01;0900 UTC;0;904,7;904,7;904;11,2;16,8;15,3;17,2;16,1;15,6;14,5;91;89;91;245;1,6;,8;
2026/01/01;1000 UTC;0;905,1;905,2;904,7;410,8;19,9;16,2;20,5;16,7;17,6;15,3;91;79;79;344;1,8;,4;
2026/01/01;1100 UTC;0;905,2;905,2;904,9;1312,4;25,3;17,2;25,4;19,9;17,7;16,2;81;58;61;91;1,7;,7;
2026/01/01;1200 UTC;0;905,4;905,4;905,2;2182,7;27,4;17;27,4;24,7;17,9;15,9;65;51;53;170;2,2;,8;
2026/01/01;1300 UTC;0;905,6;905,6;905,4;2393,3;27,6;17,6;28,2;26,5;18,5;15,7;57;49;54;249;4,6;2,6;
2026/01/01;1400 UTC;0;905,3;905,6;905,3;3535;29;17,3;29;27,6;18,3;15,6;54;47;50;214;4,6;1,6;
2026/01/01;1500 UTC;0;904,5;905,3;904,5;2865;28,7;17,5;29,8;27,5;18,2;15,6;54;44;51;207;4,9;1,6;
2026/01/01;1600 UTC;0;903,5;904,5;903,5;3747,9;30,5;15;30,7;28,6;18,1;14,4;51;38;39;309;5,8;3;
2026/01/01;1700 UTC;0;902,5;903,5;902,5;3212,7;30,1;14;31,3;29,9;16,8;13,8;44;36;37;320;5,9;2,5;
2026/01/01;1800 UTC;0;901,6;902,5;901,6;1587,8;28,1;15,8;30,8;28,1;17,2;13,7;48;37;47;189;6;1,8;
2026/01/01;1900 UTC;0;900,7;901,6;900,7;2230,9;30,2;17;30,3;28;17,6;15,6;51;41;45;62;6,7;1,4;
2026/01/01;2000 UTC;0;900,8;900,8;900,5;1619,8;30;14,2;30,4;29,4;16,9;13,5;47;36;38;270;6,3;3,7;
2026/01/01;2100 UTC;0;901,3;901,3;900,8;365,4;28,1;15,9;30;28,1;16,2;13,5;48;38;48;264;7,5;3,3;
2026/01/01;2200 UTC;0;901,9;901,9;901,2;116,4;26,5;16,2;28,1;26,5;16,6;15,5;54;48;53;301;4,6;1,4;
2026/01/01;2300 UTC;0;902,3;902,3;901,9;;24,4;18;26,5;23,9;18,6;16,1;72;53;68;153;2,9;,5;
2026/01/02;0000 UTC;0;903,2;903,2;902,3;;24,1;18,5;24,9;23,8;18,5;17,1;71;63;71;315;2,6;1;
2026/01/02;0100 UTC;0;903,8;903,8;903,2;;22,3;18,8;24,2;22,3;19;17,7;80;67;80;184;2,1;,4;
2026/01/02;0200 UTC;0;904,2;904,2;903,8;;22,3;18,3;22,9;22;18,8;18,3;80;77;78;336;2,1;1,3;
2026/01/02;0300 UTC;0;903,4;904,2;903,4;;21,9;18,8;22,8;21,3;19,2;18,2;86;76;83;308;2,1;,8;
2026/01/02;0400 UTC;0;903;903,4;902,9;;23,2;18,1;23,5;21,7;18,9;18,1;83;72;73;321;2,5;1,2;
2026/01/02;0500 UTC;0;902,3;903;902,3;;22,7;18,4;23,2;21,3;18,9;18,1;84;73;77;312;1,9;,9;
2026/01/02;0600 UTC;0;902;902,3;901,9;;20,8;18,2;23,1;20,8;18,4;17,7;85;72;85;130;1,9;1,1;
2026/01/02;0700 UTC;0;901,6;902,1;901,6;;20,7;18,5;21,5;20,6;18,7;18;87;83;87;28;1,6;,8;
2026/01/02;0800 UTC;0;901,7;901,7;901,5;;20,5;18,3;21;19,8;18,6;17,3;87;83;87;338;2,2;1,8;
2026/01/02;0900 UTC;0;902,2;902,2;901,7;3,4;19,7;17,5;20,6;19,6;18,2;17,3;88;85;87;331;2,3;,9;
2026/01/02;1000 UTC;0;902,8;902,9;902,2;348,6;22,4;18,8;22,4;19,7;18,8;17,5;87;80;80;321;1,4;,8;
2026/01/02;1100 UTC;0;903,2;903,2;902,8;781,4;24,5;18,5;24,9;22,4;19;18,1;80;67;69;22;2,2;1;
2026/01/02;1200 UTC;0;903,8;903,8;903,2;1571,6;26,7;19;26,7;24,5;19,4;18,4;71;62;63;250;5,2;3,2;
2026/01/02;1300 UTC;0;903,8;904;903,8;2489,9;27,7;18,6;28,1;26,1;20;17,7;66;56;58;253;6;3,6;
2026/01/02;1400 UTC;0;903,3;903,8;903,3;2401,5;25,8;16,9;28,9;25,8;19,3;16,8;64;49;58;162;7,7;2,4;
2026/01/02;1500 UTC;,6;902,7;903,3;902,7;2235,5;23,4;18,8;29,7;23,4;19,6;16,3;75;46;75;159;7,5;4,2;
2026/01/02;1600 UTC;3,2;901,6;902,8;901,6;1329,7;23,3;19,6;25,1;23,2;20,8;18,8;80;71;80;66;7,4;1,7;
2026/01/02;1700 UTC;,2;900,7;901,6;900,7;2077,5;25,2;18,2;26,2;23,3;20,9;18,2;85;65;65;180;4,8;3,2;
2026/01/02;1800 UTC;5,4;899,5;901,6;899,5;643,3;21,4;18,2;25,2;19,2;18,9;16,4;85;65;82;8;16,3;1,3;
2026/01/02;1900 UTC;0;898,4;899,5;898,4;1003;24,9;18,6;24,9;21,4;19,5;18;82;68;68;1;2,4;,4;
2026/01/02;2000 UTC;0;898,5;898,5;898,1;1548,6;27,3;15,8;27,7;24,9;19,2;15,8;69;49;49;297;6,5;3,9;
2026/01/02;2100 UTC;0;899,1;899,1;898,5;879,2;26,3;17,7;27,6;26,3;17,9;15,8;60;49;59;284;6,6;2,6;
2026/01/02;2200 UTC;0;899,4;899,4;899;120,3;23,4;19,4;26,4;23,4;19,4;17,7;78;59;78;259;4,4;,7;
2026/01/02;2300 UTC;0;900,4;900,4;899,3;;21,5;19,1;23,7;21,5;19,6;18,7;86;76;86;47;3;,8;
2026/01/03;0000 UTC;0;901,3;901,3;900,3;;22;19,2;22,3;21,5;19,7;19,1;87;84;84;342;2,3;1,4;
2026/01/03;0100 UTC;0;902,4;902,4;901,4;;23;18,7;23;21,8;19,3;18,6;84;77;77;339;3,2;1,9;
2026/01/03;0200 UTC;0;902,8;902,9;902,3;;22,4;18,7;23,1;22,3;19;18,7;81;77;80;325;3;,9;
2026/01/03;0300 UTC;0;902,7;902,9;902,7;;22,9;18,9;22,9;22,4;19;18,7;80;78;79;329;3,6;1,3;
2026/01/03;0400 UTC;0;902,5;902,7;902,4;;21,4;17,3;22,9;21,4;19;17,3;80;77;78;336;8,4;3,3;
2026/01/03;0500 UTC;0;901,7;902,5;901,7;;20,9;17,2;21,5;20,7;17,3;16,8;80;76;80;299;7,2;2,5;
