REGIAO:;CO
UF:;GO
ESTACAO:;GOIANIA
CODIGO (WMO):;A002
LATITUDE:;-16,64277777
LONGITUDE:;-49,22027777
ALTITUDE:;727,3
DATA DE FUNDACAO:;29/05/01
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;932,5;932,5;931,9;;21,2;18,2;21,5;20,9;18,2;17,8;84;80;83;12;1,3;0;
2026/01/01;0100 UTC;0;932,8;932,8;932,5;;22,2;18,5;22,2;21,2;18,6;18;83;80;80;50;1,1;,1;
2026/01/01;0200 UTC;0;933,3;933,4;932,7;,9;22,3;19,3;22,5;21,6;19,3;18,5;85;79;83;18;1,8;,1;
2026/01/01;0300 UTC;0;932,7;933,3;932,7;;21,8;19,5;22,3;21,5;19,5;19;87;83;87;45;,9;0;
2026/01/01;0400 UTC;0;931,9;932,7;931,9;;21,6;19,3;22;21,6;19,6;19,3;87;86;87;283;1,3;,1;
2026/01/01;0500 UTC;0;931,7;932;931,7;;21,5;19,1;21,6;21,4;19,3;18,9;87;85;86;1;1,1;,7;
2026/01/01;0600 UTC;0;931,6;931,7;931,5;;21,4;19;21,5;21,2;19,2;18,9;87;86;86;356;1,9;1;
2026/01/01;0700 UTC;0;931,4;931,6;931,4;;20,5;18,7;21,4;20,5;19;18,6;89;86;89;30;1,9;,1;
2026/01/01;0800 UTC;0;931,3;931,5;931,2;;20,4;18,7;20,7;20,2;19,1;18,5;91;89;90;19;1,3;,1;
2026/01/01;0900 UTC;0;931,9;931,9;931,3;3,4;19,9;18,4;20,4;19,8;18,7;18,2;91;90;91;96;1,4;,1;
