REGIAO:;CO
UF:;GO
ESTACAO:;SAO SIMAO
CODIGO (WMO):;A011
LATITUDE:;-18,96916666
LONGITUDE:;-50,63333333
ALTITUDE:;492,45
DATA DE FUNDACAO:;15/07/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;;957,4;957,4;957;;23,7;21;23,7;23,3;21,2;20,9;87;84;85;;;;
2026/01/01;0100 UTC;;957,9;;;;22,6;20,5;23,7;22,5;21,2;20,3;88;85;88;;;;
2026/01/01;0200 UTC;;;;;;22,3;;;;;;;;;;;;
2026/01/01;0300 UTC;0;957,8;958,2;957,8;0;21,9;20,3;22,6;21,7;21,2;20,1;92;90;91;349;1,5;,9;
2026/01/01;0400 UTC;0;957,4;957,9;957,4;0;22,4;20,4;22,8;21,7;21;19,6;91;88;88;22;1,4;,6;
2026/01/01;0500 UTC;0;957;957,4;957;0;21,9;20,1;22,7;21,9;20,7;19,7;89;87;89;76;1,5;,3;
2026/01/01;0600 UTC;0;956,4;957;956,4;0;21,9;20,2;22,1;21,5;20,6;19,6;91;89;90;34;2,4;1,3;
2026/01/01;0700 UTC;0;956;956,4;956;0;22,1;20;22,3;21,8;20,3;19,6;90;87;88;17;2,9;0;
2026/01/01;0800 UTC;0;956,2;956,2;956;0;21,8;19,7;22,2;21,5;20,1;19,5;88;86;88;39;1,8;,6;
2026/01/01;0900 UTC;0;956,7;956,7;956,2;4,1;21,3;19,4;21,9;21,3;19,8;19,1;89;86;89;4;3,1;,6;
2026/01/01;1000 UTC;0;957,1;957,1;956,7;306,3;22,7;20,4;22,7;21,3;20,5;19,4;89;86;87;28;2,4;1,4;
2026/01/01;1100 UTC;0;957,4;957,4;957;1151,4;25,3;20,2;25,3;22,7;20,9;20;87;73;73;351;2,6;1,3;
2026/01/01;1200 UTC;0;957,8;957,8;957,4;1967,6;27,4;20;27,4;25,4;20,6;19,4;73;63;64;347;3,3;1,3;
2026/01/01;1300 UTC;0;957,8;958;957,8;2600,8;29;20,1;29;27,4;21;19,4;65;58;59;218;3,3;1,4;
2026/01/01;1400 UTC;0;957,4;957,8;957,4;2863,8;30,2;20,7;30,3;28,7;21,2;18,3;60;52;57;298;4;1,3;
2026/01/01;1500 UTC;0;956,6;957,4;956,6;3611,1;31,6;20,8;32;30;21,3;19,9;57;50;53;245;8,4;2,5;
2026/01/01;1600 UTC;0;955,6;956,6;955,6;2959,3;31,3;21;32,7;30,7;22;20,2;56;49;54;66;5,1;1;
2026/01/01;1700 UTC;0;954,9;955,6;954,3;3409,8;26,7;19,5;33,6;26,7;22;18,7;65;46;65;276;16,6;9,2;
2026/01/01;1800 UTC;6,2;954,7;955;954,7;171,9;23,2;21,3;26,7;22,5;21,6;19,7;89;65;89;6;16,6;2,1;
2026/01/01;1900 UTC;0;952,9;954,7;952,9;290,4;24,2;21,2;24,4;23,1;21,7;21,1;89;83;83;351;5,2;1,1;
2026/01/01;2000 UTC;0;952,8;952,9;952,7;427,7;24,9;21,8;25,2;24,2;21,9;21,2;84;79;83;326;2,4;1;
2026/01/01;2100 UTC;0;952,9;953,1;952,7;319;25,6;21,8;25,9;24,9;22,2;21,2;84;76;80;294;2,4;1,2;
2026/01/01;2200 UTC;0;953;953;952,6;81,3;24,3;20,7;25,7;24,3;22,3;20,5;82;75;80;29;2,4;1,4;
2026/01/01;2300 UTC;0;953,5;953,6;953;,1;25,2;21,1;25,2;24,3;22,1;20,8;86;78;78;15;4,8;2,7;
2026/01/02;0000 UTC;;;;;;24,4;;25,6;;;;;;;;;;
2026/01/02;0100 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;0200 UTC;0;956,2;956,2;955;0;24,6;21,9;25,7;24,5;22,1;21,4;86;79;85;207;6,1;1,7;
2026/01/02;0300 UTC;,8;955,5;956,3;955,5;0;23,9;21,7;24,8;23,9;22;21,5;87;84;87;177;3,5;1;
2026/01/02;0400 UTC;,4;955;955,5;955;0;23,5;21,8;24;23,3;21,9;21,6;91;87;90;272;3,1;1,3;
2026/01/02;0500 UTC;0;954,4;955;954,3;0;23,5;22;23,5;23,1;22;21,4;91;90;91;251;2,6;,7;
2026/01/02;0600 UTC;4,2;954,2;954,4;953,9;,5;23,6;21,8;23,9;23,1;22,1;21,7;92;89;90;139;5,1;1,7;
2026/01/02;0700 UTC;,2;954,3;954,3;954;,4;23,1;21,7;23,7;23,1;22,1;21,6;92;89;92;16;4,2;,9;
2026/01/02;0800 UTC;26,2;954,9;955,1;954,2;2,2;20,9;20,2;23,2;20,8;22;20;96;92;96;286;11;2,6;
2026/01/02;0900 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;1000 UTC;2;954,6;954,8;954,3;14,8;22,1;21,2;22,1;21,6;21,2;20,9;96;95;95;6;6,3;3,6;
2026/01/02;1100 UTC;0;954,7;954,7;954,5;171,2;22,7;21,3;22,7;22,1;21,3;21,1;95;91;92;12;7,4;3,8;
2026/01/02;1200 UTC;0;955,8;955,9;954,7;677,4;24,6;21,6;24,6;22,7;22;21,1;91;83;83;295;6,7;1,5;
2026/01/02;1300 UTC;0;955,4;955,8;955,3;1663,3;26,1;21,5;26,3;24,6;21,9;20,7;83;75;76;325;3,6;1,7;
2026/01/02;1400 UTC;0;954,7;955,4;954,7;3051,9;29;22,6;29,2;26;23,4;21,2;76;68;69;286;4,3;1,9;
2026/01/02;1500 UTC;0;953,9;954,7;953,9;3554,4;30,9;22;31,1;28,9;23,6;21,3;70;57;59;283;7,3;3,8;
2026/01/02;1600 UTC;0;952,5;953,9;952,5;3725,7;31,5;21,3;31,9;30,6;23;21,3;62;55;55;271;7,6;4,5;
2026/01/02;1700 UTC;0;950,7;952,5;950,7;3288,6;32;20,5;32,3;31,3;22,8;20,5;59;51;51;289;9,2;4,5;
2026/01/02;1800 UTC;0;949,9;950,7;949,9;2823;32,4;21,6;32,9;31,7;22,1;20,4;54;50;53;273;8,2;3,8;
2026/01/02;1900 UTC;0;949,8;949,9;949,6;2131,7;28,8;20,8;32,8;28,8;22,9;20,8;63;52;62;257;10,1;5,4;
