REGIAO:;CO
UF:;GO
ESTACAO:;GOIANESIA
CODIGO (WMO):;A022
LATITUDE:;-15,22027777
LONGITUDE:;-48,98999999
ALTITUDE:;667,01
DATA DE FUNDACAO:;02/06/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;;938,7;938,7;938,2;;23,2;18,6;23,9;23,1;19,2;18,5;78;73;75;137;1,6;0;
2026/01/01;0100 UTC;;939,2;939,2;938,7;;22,5;18,8;23,2;22,5;19,5;18,6;81;75;80;;;;
2026/01/01;0200 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;0300 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;0400 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;0500 UTC;;937,7;938,2;937,6;;21,6;18,6;21,6;21,1;18,9;17,7;85;81;83;346;1,6;0;
2026/01/01;0600 UTC;;937,5;937,7;937,4;;19,9;17,8;21,6;19,9;18,8;17,5;88;81;88;174;2,1;,8;
2026/01/01;0700 UTC;;937,2;937,5;937,2;;19,9;18;20,5;19,4;18,6;17,6;90;87;89;296;2;,2;
2026/01/01;0800 UTC;;937,4;937,4;937,1;;20;17,6;20,8;19,9;18,5;17,4;89;84;86;18;1,6;0;
2026/01/01;0900 UTC;;937,9;937,9;937,4;1,4;20;18,2;20,5;19,5;18,3;17,6;90;85;89;355;1,7;0;
2026/01/01;1000 UTC;;938,8;938,8;937,9;309,5;20,8;18,6;20,8;18,8;18,7;16,9;92;87;87;131;1,8;,6;
2026/01/01;1100 UTC;;939;939;938,7;1147,6;24,1;19;24,2;20,8;19,9;18,4;88;73;73;157;2,6;0;
2026/01/01;1200 UTC;;939,3;939,3;939;1986,7;26,1;18,5;26,4;23,6;19,6;18,5;77;63;63;161;2,3;,3;
2026/01/01;1300 UTC;;939,1;939,3;939,1;2700;28,1;19,6;28,1;25,8;19,8;18,2;66;58;60;161;2,6;,8;
2026/01/01;1400 UTC;;938,9;939,1;938,9;3258,7;29,4;19,3;30,1;27,6;20,9;18,6;60;54;55;190;3,3;1,5;
2026/01/01;1500 UTC;;938;938,9;938;3699,7;31,7;19,9;31,7;29,3;20,8;18,9;56;49;50;143;4,1;,8;
2026/01/01;1600 UTC;;937,3;938;937,2;1949,4;30,2;20,2;32;30;20,3;18,9;55;47;55;229;4,5;1,9;
2026/01/01;1700 UTC;;936,3;937,3;936,3;2033,5;30,3;21,5;30,3;23,9;21,8;16,8;73;54;59;300;16,3;,8;
2026/01/01;1800 UTC;;934,9;936,3;934,9;1027,6;29,9;22;30,3;29,1;22,2;19,2;65;54;63;136;2,5;,8;
2026/01/01;1900 UTC;;934;934,9;934;954,6;29,6;19,8;31,1;28,6;22,4;19,1;64;53;56;165;5,5;,5;
2026/01/01;2000 UTC;;934,1;934,1;933,9;1222,3;31;20,1;32,3;29,6;20,6;19;57;47;52;95;2,9;,3;
2026/01/01;2100 UTC;;934,3;934,3;933,9;981;29,9;19,7;31,1;29,3;20,6;18,5;57;48;55;203;3,7;1,1;
2026/01/01;2200 UTC;;934,8;934,9;934,3;159,6;28,8;18,6;30;28,5;20,8;18,6;63;54;54;288;2,7;,1;
2026/01/01;2300 UTC;;935,5;935,6;934,8;;27,3;19,3;28,8;27,3;19,3;18,3;62;53;62;326;3,4;,2;
2026/01/02;0000 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;0100 UTC;;937;937;936,3;;27,4;17,4;27,4;24,9;19,6;17;71;53;54;273;3,5;,2;
2026/01/02;0200 UTC;;937,5;937,5;936,9;;25,2;17,8;27,4;25,2;17,8;17;64;54;64;151;2,7;1,1;
2026/01/02;0300 UTC;;936,7;937,5;936,7;;25,5;18,9;26,1;24,5;19;17,7;69;62;67;340;2,4;,1;
2026/01/02;0400 UTC;;936,3;936,7;936,3;;23,4;20,5;25,5;23,1;20,6;18,6;84;67;84;151;2,5;,1;
2026/01/02;0500 UTC;;935,6;936,3;935,6;;24,5;19,2;24,9;23,4;20,5;19,2;84;72;72;155;2,3;0;
2026/01/02;0600 UTC;;934,8;935,6;934,7;;22,5;19,4;24,6;22,5;20;18,9;83;72;83;182;2,2;1,4;
2026/01/02;0700 UTC;;934,8;934,9;934,8;;22,6;19,8;22,9;22,4;20,3;19,5;86;83;84;238;2,2;,1;
2026/01/02;0800 UTC;;934,8;934,9;934,7;;22,7;19,7;23,2;22,4;20,2;19,6;85;82;83;207;1,8;,9;
2026/01/02;0900 UTC;;935,4;935,4;934,8;;22,4;19,9;22,7;22,3;20,2;19,7;87;83;86;355;1,8;,1;
2026/01/02;1000 UTC;;936,3;936,3;935,4;179,6;23;19,9;23;22,3;20,2;19,8;87;82;82;5;3;1,3;
2026/01/02;1100 UTC;;936,7;936,7;936,3;911,4;25,2;20,4;25,2;23;20,4;19,8;83;74;75;19;2,5;,2;
2026/01/02;1200 UTC;;937,4;937,4;936,7;1615,6;27;20,7;27,7;25,2;20,8;19,4;75;63;68;82;2,1;,4;
2026/01/02;1300 UTC;;937,7;937,7;937,4;2063;28,9;20,3;30,1;27;21,9;19,8;69;58;60;323;5;2,5;
2026/01/02;1400 UTC;;937,3;937,8;937,3;1679,4;29,3;19,7;29,4;24,8;20,7;15,2;68;54;56;279;7,4;1;
2026/01/02;1500 UTC;;936,5;937,4;936,5;3224,4;30,4;19,7;31,3;29;21;19,4;60;50;53;303;6,6;2,3;
2026/01/02;1600 UTC;;935,2;936,6;935,2;1796,6;25,3;20,3;30,4;25,1;21,7;19,2;75;53;74;226;6,8;4,3;
2026/01/02;1700 UTC;;934;935,2;934;1366,2;26,1;19,9;26,3;24;20,8;18,6;77;67;69;307;10,6;1,4;
2026/01/02;1800 UTC;;932,7;934;932,7;2739,4;30,8;19,8;30,9;26;23;18,9;71;49;52;289;4,2;2,4;
2026/01/02;1900 UTC;;931,3;932,7;931,3;2636,5;30,5;21;31,3;30,3;21,3;18,7;57;48;57;275;5,6;2,5;
2026/01/02;2000 UTC;;931,6;931,7;931,3;1870,7;30,4;20;31;29,9;21;19,8;57;52;54;270;6,6;3,1;
2026/01/02;2100 UTC;;932,1;932,2;931,6;679,4;26,9;19,8;30,6;26,9;20,4;19,1;65;53;65;193;5;2,2;
2026/01/02;2200 UTC;;932,7;932,7;932,1;51;26,6;19,9;26,9;25,8;20,5;19,8;72;65;67;277;3,3;1,6;
2026/01/02;2300 UTC;;933,5;933,5;932,7;;25,3;19,9;26,6;25,2;20,1;19,4;73;66;72;225;3,1;,2;
2026/01/03;0000 UTC;;;;;;;;;;;;;;;;;;
2026/01/03;0100 UTC;;;;;;;;;;;;;;;;;;
2026/01/03;0200 UTC;;936,9;936,9;936,3;;24,8;20,7;25,5;24,8;20,8;20,4;79;74;78;300;2,8;1,2;
2026/01/03;0300 UTC;;936,8;936,9;936,8;;24,3;20,8;25,1;24,2;20,9;20,3;81;75;81;249;4;0;
2026/01/03;0400 UTC;;936,3;936,8;936,3;;23,9;19,8;24,3;23,8;21;19,8;82;78;78;286;3,9;,5;
2026/01/03;0500 UTC;;936,1;936,6;936,1;;23,5;20,2;23,9;23,5;20,2;19,7;82;78;82;69;3,4;0;
2026/01/03;0600 UTC;;935,4;936,1;935,4;;22,5;19,9;23,5;22,5;20,5;19,9;85;82;85;243;2,1;,9;
2026/01/03;0700 UTC;;935,3;935,4;935,3;;22,7;19,6;22,8;22;20,2;19,6;89;83;83;250;4,3;1,3;
2026/01/03;0800 UTC;;935,8;935,8;935,3;;22,9;19,8;22,9;22,2;20,1;19,5;87;83;83;309;3;0;
2026/01/03;0900 UTC;;936,1;936,1;935,7;;22,4;20,2;23;22;20,3;19,7;89;82;87;301;1,5;,1;
2026/01/03;1000 UTC;;936,9;936,9;936,1;110;23;20,4;23,1;22,4;20,6;20,1;87;85;85;324;3,1;,8;
2026/01/03;1100 UTC;;937;937;936,8;748;24,5;20,4;24,5;23;20,8;20,2;85;78;78;301;3,9;1,9;
2026/01/03;1200 UTC;;937,2;937,3;937;1365,7;25,2;20,3;25,5;24,5;20,7;19,5;78;72;74;358;4,5;2,6;
2026/01/03;1300 UTC;;937,2;937,3;937,1;2080,9;25,9;20,3;27;25;21,1;20,2;77;67;71;25;5,6;1,5;
2026/01/03;1400 UTC;;936,9;937,2;936,9;2052,2;27,7;19,3;27,9;25,9;21,3;19;74;59;60;331;5,8;2,5;
2026/01/03;1500 UTC;;936,3;936,9;936,3;3518,7;29,7;18,9;30,3;27,8;20,4;18,3;61;51;52;319;5,8;1,9;
2026/01/03;1600 UTC;;935,3;936,2;935,3;3805,8;31,5;19,3;31,5;29,7;19,9;18,4;53;48;48;301;6,2;2,8;
2026/01/03;1700 UTC;;934,3;935,3;934,3;2853,4;30,2;17,9;32,2;29,2;19,9;17,8;54;44;48;338;6,4;2,6;
2026/01/03;1800 UTC;;934,4;934,6;934,1;605,2;23;19,4;30,4;23;20,5;18,2;81;48;81;275;12,8;7,4;
2026/01/03;1900 UTC;;933,5;934,4;933,5;263,5;23;20,1;23,3;22,3;20,4;19,3;87;81;83;118;12,1;,3;
2026/01/03;2000 UTC;;933,2;933,5;933,2;279,6;24,1;21,2;24,2;22,9;21,5;19,9;86;83;84;223;3,3;,2;
2026/01/03;2100 UTC;;933,2;933,4;933,2;371,2;23,5;20,8;24,9;23,4;22;20,4;87;77;85;139;2,5;,8;
2026/01/03;2200 UTC;;934,5;934,5;933,2;84,4;23;21,3;23,5;22,9;21,6;20,7;91;85;90;200;2,6;,6;
2026/01/03;2300 UTC;;935;935;934,2;;22,9;21,3;23,5;22,9;22;21,2;92;90;90;128;1,9;0;
2026/01/04;0000 UTC;;;;;;;;;;;;;;;;;;
2026/01/04;0100 UTC;;936,6;936,9;936;,1;21,1;19,8;22,9;21,1;21,4;19,6;92;86;92;299;6,8;,2;
2026/01/04;0200 UTC;;;;;;;;;;;;;;;;;;
2026/01/04;0300 UTC;;937;937,3;936,9;;21,4;20,2;21,6;21;20,4;19,9;94;92;93;20;4,7;1,2;
2026/01/04;0400 UTC;;936,6;937;936,6;;20,8;19,9;21,4;20,8;20,1;19,8;94;93;94;64;3,4;,2;
2026/01/04;0500 UTC;;;;;;;;;;;;;;;;;;
2026/01/04;0600 UTC;;935,4;936,1;935,4;;20,6;19,7;20,7;20,6;19,9;19,7;95;95;95;17;3,9;2,5;
2026/01/04;0700 UTC;;935,3;935,4;935,2;;20,4;19,6;20,6;20,3;19,8;19,5;95;95;95;23;4,6;1,8;
2026/01/04;0800 UTC;;935,6;935,6;935,3;;20,4;19,6;20,6;20,3;19,8;19,5;95;95;95;43;3,2;,4;
2026/01/04;0900 UTC;;935,9;935,9;935,6;1;20,4;19,6;20,6;20,3;19,9;19,5;95;95;95;32;3;1,2;
2026/01/04;1000 UTC;;936,8;936,8;935,9;72,9;20,6;19,8;20,7;20,4;19,9;19,6;95;95;95;36;3,1;,4;
2026/01/04;1100 UTC;;937,3;937,3;936,8;255,9;21;20,2;21,2;20,6;20,4;19,8;95;95;95;23;2;,4;
2026/01/04;1200 UTC;;937,5;937,5;937,3;395,3;21,5;19,7;21,6;20,8;20,3;19,6;95;89;90;4;7;3,2;
2026/01/04;1300 UTC;;937,8;937,8;937,5;705,9;21,8;20,3;22;21,4;20,6;19,3;92;87;91;31;7;1,5;
2026/01/04;1400 UTC;;938;938;937,8;722,2;22,1;20,4;22,3;21,7;20,7;19,9;91;89;90;17;4,1;1,9;
2026/01/04;1500 UTC;;937,8;938;937,8;640,8;22,2;20,3;22,4;21,8;20,7;19,9;91;88;89;354;5,4;2,6;
2026/01/04;1600 UTC;;937,3;937,8;937,3;970,6;22,8;20,4;22,9;22,2;20,9;20,2;90;86;86;344;4,9;1,8;
2026/01/04;1700 UTC;;936,6;937,4;936,6;897,1;22,3;19,8;23,1;22,1;20,8;19,5;89;84;86;328;7,2;3,5;
