REGIAO:;CO
UF:;GO
ESTACAO:;PARAUNA
CODIGO (WMO):;A027
LATITUDE:;-16,9625
LONGITUDE:;-50,42555554
ALTITUDE:;678,74
DATA DE FUNDACAO:;29/03/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;937,2;937,2;936,7;;25,6;21,9;26,6;25,6;22,2;21,7;81;75;80;261;1,3;,3;
2026/01/01;0100 UTC;0;937,8;937,8;937,2;;24,9;21,9;25,6;24,7;22,2;21,9;85;80;84;272;1,5;,6;
2026/01/01;0200 UTC;0;938,5;938,5;937,8;;24,4;21,4;25,2;24,4;22;21,4;84;81;84;312;1,5;0;
2026/01/01;0300 UTC;,2;938,7;938,9;938,5;;22,7;20,4;24,9;22,7;22,1;20,1;87;77;87;319;6,8;1,3;
2026/01/01;0400 UTC;1,6;938;938,7;938;;21,7;20,8;22,7;21,5;21,5;20;95;87;95;287;7;,3;
2026/01/01;0500 UTC;,2;937,6;938;937,3;;21,5;20,5;21,7;21,1;20,9;20,2;95;94;94;291;3,2;,6;
2026/01/01;0600 UTC;0;936,9;937,6;936,9;;21,1;19,9;21,6;21,1;20,6;19,9;94;92;93;302;3,9;,9;
2026/01/01;0700 UTC;0;936,3;936,9;936,3;;21,3;19,9;21,3;21,1;19,9;19,8;93;91;92;284;4,1;,6;
2026/01/01;0800 UTC;0;936,5;936,5;936,2;;21,3;19,7;21,4;21,2;20;19,7;92;90;91;324;2,7;,2;
2026/01/01;0900 UTC;0;936,8;936,8;936,5;,7;21,3;19,8;21,5;21,2;20;19,7;92;90;91;274;1,9;,1;
2026/01/01;1000 UTC;0;937,1;937,1;936,8;333,7;22,9;20,4;22,9;21,3;20,7;19,8;91;86;86;249;1,6;0;
2026/01/01;1100 UTC;0;937,6;937,6;937,1;1161,3;26,2;21,2;26,2;22,9;21,9;19,6;86;74;74;99;1,4;,2;
2026/01/01;1200 UTC;0;938,1;938,1;937,6;2321;28,1;22,2;28,1;26,1;22,6;21;77;67;70;71;2,9;1,2;
2026/01/01;1300 UTC;0;938,2;938,2;938;3191;29,6;21,1;30,1;28,1;22,2;19;70;55;60;110;3,5;1,3;
2026/01/01;1400 UTC;0;937,9;938,2;937,9;2486,1;28,8;21,7;29,6;28,5;22,3;19,8;67;58;66;68;3,6;1,5;
2026/01/01;1500 UTC;,4;937,2;937,9;937,2;1441,1;26,1;22,5;29,3;26,1;22,6;20,7;80;61;80;177;3,3;,7;
2026/01/01;1600 UTC;,8;936,6;937,3;936,6;811,5;23,9;20,4;27;23,1;23,6;19;86;67;81;337;8,6;2,8;
2026/01/01;1700 UTC;,2;935,7;936,8;935,7;679,2;25,4;21,7;25,5;22,8;21,7;19,4;83;76;80;277;8,6;,8;
