REGIAO:;CO
UF:;GO
ESTACAO:;CRISTALINA
CODIGO (WMO):;A036
LATITUDE:;-16,78499999
LONGITUDE:;-47,61305555
ALTITUDE:;1211,08
DATA DE FUNDACAO:;14/12/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;;882,7;882,7;882;;22;16,4;23,3;21,5;17,2;15,7;73;64;70;347;6,3;1,3;
2026/01/01;0100 UTC;;882,8;882,8;882,6;;22,4;17;23,1;22;17,1;16,1;72;68;71;351;2,8;,5;
2026/01/01;0200 UTC;;882,7;882,8;882,7;;21,6;16,7;22,9;21,6;17;16,3;73;67;73;360;3,6;,4;
2026/01/01;0300 UTC;;882,3;882,7;882,3;;22;17,4;22,4;21,6;17,5;16,6;75;72;75;256;3;1,8;
2026/01/01;0400 UTC;;881,8;882,3;881,8;;21,6;17,3;22;21,6;17,4;17,2;77;75;77;264;3,5;2;
2026/01/01;0500 UTC;;881,1;881,8;881,1;;21,7;17,1;21,8;21,5;17,7;17,1;78;75;75;275;3,9;2,3;
2026/01/01;0600 UTC;;881,3;881,3;881;;21,2;16,3;21,7;21,2;17,1;16,2;76;73;73;256;3,5;1,9;
2026/01/01;0700 UTC;;881;881,3;881;;21;16,2;21,2;21;16,4;16,2;75;73;74;251;3,9;2,6;
2026/01/01;0800 UTC;;880,9;881;880,9;;21,9;17,5;21,9;20,9;17,5;16,1;76;74;76;271;3,9;1,5;
2026/01/01;0900 UTC;;881,6;881,6;880,9;11,7;21,3;16,8;22,1;21,3;17,6;16,8;76;75;75;243;3,1;2;
2026/01/01;1000 UTC;;881,9;881,9;881,6;376;22,8;16,8;22,8;21,3;17,2;16,5;75;69;69;239;3,5;2;
2026/01/01;1100 UTC;;882,3;882,3;881,9;1029,8;23,7;17,8;23,7;22,8;17,9;16,8;72;68;70;237;5,5;2,6;
2026/01/01;1200 UTC;;882,6;882,6;882,3;1677,2;25,4;18;25,4;23,3;18,4;17,5;71;63;63;228;5,1;2,4;
2026/01/01;1300 UTC;;882,8;882,8;882,6;2609,1;27,1;17,1;27,4;25,2;18,4;16,9;64;54;54;200;4,5;2,1;
2026/01/01;1400 UTC;;882,5;882,8;882,5;2518,6;26,7;17,2;28,4;26,4;18,9;16,6;59;53;56;244;4;1,9;
2026/01/01;1500 UTC;;881,8;882,5;881,8;3167,6;28,2;17,5;28,5;26,3;19,2;17;60;51;52;273;6,3;2,9;
2026/01/01;1600 UTC;;881;881,8;881;3868,2;29,5;17,2;29,7;27,8;18,4;16;55;44;48;329;6,1;2,4;
2026/01/01;1700 UTC;;880;881;880;3973,7;28,6;15,5;30,4;28,6;17,8;15,2;51;42;45;302;6,4;3,3;
2026/01/01;1800 UTC;;878,9;880;878,9;2994,2;28,5;16,2;30,1;28,3;17,1;14,8;48;40;47;297;6,4;3;
