REGIAO:;CO
UF:;MS
ESTACAO:;IVINHEMA
CODIGO (WMO):;A709
LATITUDE:;-22,30055555
LONGITUDE:;-53,82277777
ALTITUDE:;377,36
DATA DE FUNDACAO:;08/02/03
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;968,2;968,4;968;;24,9;21,6;25,9;24,9;21,6;21,1;82;75;82;106;3,2;,9;
2026/01/01;0100 UTC;0;968,5;968,5;968,2;;24,3;21,5;24,9;24,3;21,7;21,5;85;82;84;60;2,6;1;
2026/01/01;0200 UTC;0;968,9;969,1;968,5;;24,2;21,4;24,6;24,2;21,6;21,2;85;81;84;41;3,5;,6;
2026/01/01;0300 UTC;0;968,6;969;968,6;;24,1;21,2;24,3;24;21,4;21,2;85;84;84;62;2;1,1;
2026/01/01;0400 UTC;0;968;968,6;968;;23,8;21,2;24,1;23,8;21,3;21,1;85;84;85;49;2,3;,8;
2026/01/01;0500 UTC;0;967,9;968,1;967,9;;23,7;21,6;23,9;23,6;21,6;21,1;88;85;88;37;1,9;,6;
2026/01/01;0600 UTC;0;967,5;968;967,5;;23,7;22;24;23,7;22,1;21,6;90;88;90;2;2,6;1,1;
2026/01/01;0700 UTC;0;967,4;967,5;967,2;;23,6;22,2;23,8;23,6;22,2;22;92;90;92;353;3,3;1,6;
2026/01/01;0800 UTC;0;967,2;967,4;967,1;;23,8;22;23,8;23,6;22,2;22;92;90;90;349;3;1,9;
2026/01/01;0900 UTC;0;967,8;967,8;967,2;;23,7;21,8;23,8;23,6;22;21,5;90;88;89;17;4,1;1,5;
