REGIAO:;CO
UF:;MS
ESTACAO:;COXIM
CODIGO (WMO):;A720
LATITUDE:;-18,51222222
LONGITUDE:;-54,7361111
ALTITUDE:;251,48
DATA DE FUNDACAO:;06/11/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;0200 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;0300 UTC;0;983,3;983,6;983,3;;25,9;21,8;26,6;25,9;21,9;21,6;78;75;78;241;2,6;,3;
2026/01/01;0400 UTC;;;;;;24,8;;26;;;;;;;;;;
2026/01/01;0500 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;0600 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;0700 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;0800 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;0900 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;1000 UTC;0;983;983;982,6;126,5;25,5;22,7;;;;;;;85;89;;1;
2026/01/01;1100 UTC;0;983,5;983,5;983;873,6;27,9;22,7;27,9;25,5;22,8;22;84;73;73;71;2,2;,7;
2026/01/01;1200 UTC;0;983,8;983,9;983,4;1728,9;29,5;23,1;29,5;27,8;23,5;22,1;74;69;69;176;2,7;1,2;
2026/01/01;1300 UTC;0;983,9;983,9;983,8;2550,3;31,5;21,9;31,5;29,2;23,1;21,3;69;57;57;298;5,2;2,5;
2026/01/01;1400 UTC;0;983,5;983,9;983,5;3229,7;32,4;21,9;33;31,2;22,8;21,6;59;52;54;305;5,4;2,2;
2026/01/01;1500 UTC;0;983,1;983,5;983,1;3399,5;33,3;21,7;33,5;32,1;22,5;21,2;55;50;51;308;7,2;3,1;
2026/01/01;1600 UTC;0;982;983,1;982;3802,4;34,4;20,9;34,7;32,8;22,7;20,4;55;45;46;304;7,4;3,3;
2026/01/01;1700 UTC;0;980,8;982,1;980,8;3516,3;34,8;20,3;35,4;33,8;21,4;19,8;46;42;43;291;7,4;3,3;
2026/01/01;1800 UTC;0;979,7;980,9;979,7;3377,7;35,3;19,7;35,7;33,9;21,3;19,2;45;39;40;305;8;2,9;
2026/01/01;1900 UTC;0;978,4;979,7;978,4;2802,2;35,6;19,8;35,6;33,9;20,7;19,3;44;39;40;281;8,5;4,3;
2026/01/01;2000 UTC;0;977,5;978,4;977,5;2278,5;35;19,9;35,6;34,5;20,2;19,1;42;39;41;279;9,1;4;
2026/01/01;2100 UTC;0;977,7;977,8;977,5;1393,8;33,8;20;35;33,8;20,2;18,9;45;40;45;263;8,1;3,9;
2026/01/01;2200 UTC;0;978,1;978,1;977,7;477,1;32,6;20,8;33,8;32,6;20,9;20;50;44;50;260;6,5;2,8;
2026/01/01;2300 UTC;0;978,7;978,8;978,1;19,5;30,7;21,6;32,8;30,7;21,8;20,8;59;50;58;306;4,7;1,1;
2026/01/02;0000 UTC;0;979,4;979,4;978,7;;29,1;22;30,8;28,9;22,2;21,5;66;58;66;304;3,2;,8;
2026/01/02;0100 UTC;0;980,2;980,2;979,4;;27,3;22,3;29,1;27,1;22,4;21,8;75;66;74;316;1,7;1;
2026/01/02;0200 UTC;0;981,5;981,5;980,2;;26,9;22,2;27,4;26,5;22,5;22,2;78;74;76;344;2,1;,6;
2026/01/02;0300 UTC;0;981,2;981,5;981,2;;26,1;22,3;27;26,1;22,8;22,1;80;75;80;110;2,1;,4;
2026/01/02;0400 UTC;0;980,9;981,4;980,9;;25,7;22,5;26,6;25,4;22,9;22,3;85;79;83;194;2,5;,3;
2026/01/02;0500 UTC;0;980,2;980,9;980,2;;27,1;22,3;27,4;25,6;23,2;22,3;85;74;75;306;3,5;1,4;
2026/01/02;0600 UTC;;;;;;26,9;;27,1;26,7;;;;;;;;;
2026/01/02;0700 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;0800 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;0900 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;1000 UTC;0;980,5;980,9;980,2;122,6;26,6;21,5;;;;;;;74;284;;2,7;
2026/01/02;1100 UTC;0;980,6;980,8;980,3;690,8;27,1;22,4;27,1;26,5;22,5;21,6;77;74;75;332;5,4;1,9;
2026/01/02;1200 UTC;0;981,6;981,6;980,5;1527,4;28,8;22,1;29;27,1;22,6;21,8;76;67;67;297;4,7;1,9;
2026/01/02;1300 UTC;0;982;982,1;981,6;2447,6;30,4;22,4;30,6;28,4;22,9;21,8;69;61;62;302;5,3;3;
2026/01/02;1400 UTC;0;981,1;982;981,1;2511,8;30,8;22,5;31,5;30,1;23,4;22;64;59;61;303;7,3;2,8;
2026/01/02;1500 UTC;0;981,1;981,1;980,7;1892;30,5;22,1;32,1;30,5;23,1;21,9;63;57;61;289;7,3;2,7;
2026/01/02;1600 UTC;7;980,8;981,5;980,7;201,3;24,8;23,2;30,5;24;23,6;21,2;94;61;90;210;9,6;2,9;
2026/01/02;1700 UTC;,6;980,3;980,9;980;112,2;23,9;22,3;24,8;23,4;23;21,4;92;85;91;227;8,8;2,9;
2026/01/02;1800 UTC;1;979,4;980,3;979,4;60,2;23,4;21,9;24,1;23,2;22,5;21,8;95;90;91;283;7,3;2,6;
