REGIAO:;CO
UF:;MS
ESTACAO:;DOURADOS
CODIGO (WMO):;A721
LATITUDE:;-22,19388888
LONGITUDE:;-54,91138888
ALTITUDE:;463,3
DATA DE FUNDACAO:;18/10/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;958,9;959;958,4;;23,4;22,9;23,9;23,4;23,7;22,9;99;97;97;214;2,5;1,3;
2026/01/01;0100 UTC;0;959,2;959,2;958,8;;22,9;22,9;23,4;22,9;23,1;22,6;100;97;100;179;3;,9;
2026/01/01;0200 UTC;0;959,4;959,4;959,1;;22,8;22,8;23,1;22,8;23,1;22,8;100;100;100;173;2,6;1,2;
2026/01/01;0300 UTC;0;959,4;959,5;959,3;;22,7;22,7;22,8;22,3;22,8;22,3;100;100;100;179;4;1,9;
2026/01/01;0400 UTC;0;958,9;959,4;958,8;;22,1;22,1;22,8;22,1;22,7;22,1;100;100;100;188;3,9;,8;
2026/01/01;0500 UTC;0;958,7;958,9;958,7;;22,1;22,1;22,2;22;22,2;22;100;100;100;182;2,1;,1;
2026/01/01;0600 UTC;0;958;958,7;958;;22,2;22,2;22,3;22,1;22,3;22,1;100;100;100;183;2,4;,9;
2026/01/01;0700 UTC;0;957,7;958;957,7;;22,4;22,4;22,4;22,2;22,4;22,2;100;100;100;195;2,1;1;
2026/01/01;0800 UTC;0;957,7;957,8;957,5;;22,5;22,5;22,5;22,4;22,5;22,4;100;100;100;199;2,6;1,1;
2026/01/01;0900 UTC;0;958,2;958,2;957,7;;22,2;22,2;22,5;22,1;22,5;22,2;100;100;100;165;2,7;0;
2026/01/01;1000 UTC;0;958,7;958,7;958,2;124,2;22,5;22,5;22,5;22,1;22,5;22,1;100;100;100;200;2,8;,9;
2026/01/01;1100 UTC;,2;958,9;958,9;958,7;532,6;23,5;23,1;23,5;22,5;23,3;22,5;100;98;98;167;3,9;1,9;
2026/01/01;1200 UTC;0;959,3;959,4;958,9;1261,8;25,8;23,9;25,8;23,5;24;22,8;98;89;89;148;4,3;1,5;
2026/01/01;1300 UTC;0;959,3;959,3;959,2;2497,5;28,2;23,5;28,3;25,3;24,6;23,2;90;76;76;121;7,7;3,5;
2026/01/01;1400 UTC;0;959,6;959,6;959,3;1997,1;27,8;23,3;28,7;27,7;24,8;22,8;80;74;77;105;7,7;4,5;
2026/01/01;1500 UTC;0;958,6;959,6;958,6;2044,6;28,8;21,9;29,1;27,2;23,5;21,8;77;65;66;103;10,6;7,1;
2026/01/01;1600 UTC;0;958,1;958,6;957,8;3842,5;28,9;23,4;30,5;28,7;23,9;21,5;72;65;72;89;10,7;6,3;
2026/01/01;1700 UTC;1,6;957;958,2;957;2210,6;27,9;23,7;28,9;25,5;25,2;22,4;88;71;78;59;11,6;3,6;
2026/01/01;1800 UTC;0;955,9;957;955,9;2504,8;30,5;23;31;27,8;25,4;23;78;65;65;56;9,3;2,7;
2026/01/01;1900 UTC;,8;955,4;956;955,4;2816,3;27;22,8;31,5;26,7;24,1;22,3;79;60;78;78;9,8;5,3;
2026/01/01;2000 UTC;,2;954,5;955,4;954,5;2192,5;30,2;23;30,8;27;24,7;22,8;80;64;66;88;9,8;3,2;
2026/01/01;2100 UTC;0;954,7;955;954,5;1113,7;29,7;22,8;30,7;29,6;23,7;21,8;67;61;66;75;4,8;2;
2026/01/01;2200 UTC;0;955;955,1;954,4;444,3;27,8;22,7;29,8;27,8;23,2;22,3;74;64;74;337;4;0;
2026/01/01;2300 UTC;0;955,5;955,5;954,8;21,7;26,9;22,6;27,8;26,9;22,7;22,3;77;72;77;1;0;0;
2026/01/02;0000 UTC;0;956,3;956,5;955,5;;26,4;22,6;26,9;26,1;23,2;22,6;83;77;80;227;2;,5;
2026/01/02;0100 UTC;0;956,7;956,7;956,2;;24,5;21,2;26,4;24,1;22,6;20,4;83;78;82;266;4,5;2;
2026/01/02;0200 UTC;0;956,9;957,1;956,7;;24,3;21,9;24,5;23,9;21,9;21,1;87;82;86;209;4,1;1,5;
2026/01/02;0300 UTC;0;956,5;957,1;956,5;;24,1;21,9;24,3;24,1;22;21,8;88;86;87;207;4,4;2,1;
2026/01/02;0400 UTC;0;956,3;956,7;956,3;;23,2;21,7;24,1;23,2;21,9;21,7;92;87;92;175;4,4;1,8;
2026/01/02;0500 UTC;0;955,5;956,3;955,5;;22,6;22;23,2;22,6;22,1;21,7;96;92;96;179;3,3;1,6;
2026/01/02;0600 UTC;0;955;955,5;954,9;;22,2;22;22,8;22,2;22,2;21,7;98;96;98;170;3,3;1,8;
2026/01/02;0700 UTC;0;954,9;955,2;954,9;;22,3;22,3;22,3;22,1;22,3;21,9;100;98;100;159;3;1,6;
2026/01/02;0800 UTC;0;954,4;955;954,4;;22,9;21,3;23;22,3;22,3;21,3;100;90;91;194;2,6;,8;
2026/01/02;0900 UTC;0;955,3;955,3;954,4;;22,6;21,4;22,9;22,5;21,7;21,2;94;91;93;156;3,1;1,6;
2026/01/02;1000 UTC;,4;956;956,3;955,4;18;22,5;21,4;23,1;22,4;22,2;21,2;95;92;93;97;7;2,2;
