REGIAO:;CO
UF:;MS
ESTACAO:;SONORA
CODIGO (WMO):;A761
LATITUDE:;-17,63527777
LONGITUDE:;-54,76055555
ALTITUDE:;495,25
DATA DE FUNDACAO:;30/11/12
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;956,2;956,2;955,7;;27,2;20;27,7;27,1;20,4;20;66;64;65;32;2,9;1,9;
2026/01/01;0100 UTC;0;956,8;956,8;956,2;;26,2;20,8;27,2;26,2;20,9;19,9;72;65;72;3;2,4;1;
2026/01/01;0200 UTC;0;957,4;957,4;956,8;;24,3;21,1;26,3;24,3;21,3;20,5;82;71;82;72;3,1;2,7;
2026/01/01;0300 UTC;0;957,2;957,5;957,2;;25,3;20,9;25,3;24,1;21,5;20,9;84;77;77;42;3,1;2;
2026/01/01;0400 UTC;0;956,7;957,2;956,7;;24,9;20,8;25,3;24,6;21,1;20,6;80;75;78;37;2,9;1,8;
2026/01/01;0500 UTC;0;956,3;956,8;956,2;;24,6;21,2;25;24,4;21,3;20,8;82;78;81;356;3,1;1,3;
2026/01/01;0600 UTC;0;956;956,4;956;;24,3;21,7;24,7;23,3;21,8;20,4;87;81;85;330;3,8;1,4;
2026/01/01;0700 UTC;0;955,5;956;955,5;;23,7;21,4;24,3;23,3;21,7;21,3;90;85;87;20;2,8;1,2;
2026/01/01;0800 UTC;0;955,7;955,7;955,5;;23,8;21,4;24,1;23,6;21,6;21,4;88;85;86;41;3,6;1,7;
2026/01/01;0900 UTC;0;956,1;956,1;955,7;;23,3;21,2;23,8;23,3;21,5;21,2;89;86;88;46;2,3;2,1;
2026/01/01;1000 UTC;0;956,5;956,5;956,1;171,6;23,9;21,5;23,9;23,1;21,5;21,1;89;86;86;48;2,7;1,9;
2026/01/01;1100 UTC;0;957,1;957,1;956,5;889;25,7;21,9;25,7;23,9;22,1;21,4;87;79;79;23;4;2,5;
2026/01/01;1200 UTC;0;957,5;957,5;957;1736,2;28;22,4;28;25,7;22,4;21,2;80;70;72;338;4,7;1,9;
2026/01/01;1300 UTC;0;957,6;957,6;957,4;2317,3;29,4;20,9;30,3;27,9;22,5;20,4;72;57;61;316;8,1;5,4;
2026/01/01;1400 UTC;0;957,4;957,6;957,3;1911,3;30,4;20,7;30,7;29,2;22,2;20,1;63;56;56;311;8,1;4,7;
2026/01/01;1500 UTC;0;956,9;957,4;956,9;2811,8;31,4;20,8;31,4;29,5;21,4;20;59;52;53;324;8,1;5,2;
2026/01/01;1600 UTC;0;956,2;956,9;956,2;3501,7;32;19,9;32,6;30,7;21,1;18,8;54;47;49;303;8,1;4,1;
2026/01/01;1700 UTC;0;955,1;956,2;955,1;3158,8;32,6;19,7;33,1;31,3;21;19,1;52;46;47;298;8,8;5,3;
2026/01/01;1800 UTC;0;953,9;955,1;953,9;2585,3;32;20,8;33,5;31,1;21,4;19,1;54;45;51;290;8,8;4,1;
2026/01/01;1900 UTC;0;952,7;953,9;952,7;1950,8;31,2;20,5;33,1;31;21,4;19,4;53;46;53;303;8;3,9;
2026/01/01;2000 UTC;0;951,9;952,7;951,8;1966,8;32,5;19,4;33,3;31,1;20,7;19,1;54;45;46;290;7,1;3,9;
2026/01/01;2100 UTC;0;952,3;952,3;951,9;1280,8;31,9;19,4;32,9;31,9;20,1;18,8;49;44;48;299;6,9;3,1;
2026/01/01;2200 UTC;0;952,3;952,4;952;488,7;30;20,1;31,9;30;20,2;19,1;56;48;56;325;6,1;3,1;
2026/01/01;2300 UTC;0;952,8;952,8;952,3;26,8;27,6;20,8;30;27,5;21;20,1;67;56;66;312;4,5;1,5;
2026/01/02;0000 UTC;0;953,8;953,8;952,7;;25,8;21,2;27,6;25,8;21,8;20,7;77;66;76;36;4,7;2,3;
2026/01/02;0100 UTC;0;954,9;954,9;953,8;;26,1;20,5;26,1;25,4;21,2;20,4;77;71;71;3;4,1;2,8;
2026/01/02;0200 UTC;0;955,5;955,5;954,9;;25;20,6;26,1;24,9;21,1;20,4;79;71;77;50;4,1;2,4;
2026/01/02;0300 UTC;0;955,5;955,6;955,4;;24,6;20,8;25;24,2;21,3;20,7;83;77;80;50;2,9;2,1;
2026/01/02;0400 UTC;0;955,1;955,5;955,1;;24,3;20,7;24,7;24,3;20,8;20,3;81;78;81;54;3;1,9;
2026/01/02;0500 UTC;0;954,4;955,1;954,3;;24,1;20,5;24,4;24,1;21;20,5;83;79;80;29;2,6;2;
2026/01/02;0600 UTC;0;953,5;954,4;953,5;;23,7;20,4;24,1;23,7;20,7;20,4;83;80;81;29;2,9;2,3;
2026/01/02;0700 UTC;0;953;953,5;953;;23,7;20,2;24,1;23,2;20,6;20,2;84;80;81;14;3;2;
2026/01/02;0800 UTC;0;953,2;953,3;953;;23,8;20,3;23,8;23,2;20,4;20;83;81;81;357;3;2;
