REGIAO:;CO
UF:;MS
ESTACAO:;AMAMBAI - NOVO HORIZONTE
CODIGO (WMO):;A772
LATITUDE:;-23,1211111
LONGITUDE:;-54,86555555
ALTITUDE:;NULL
DATA DE FUNDACAO:;18/02/26
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/02/18;0000 UTC;;;;;;;;;;;;;;;;;;
2026/02/18;0100 UTC;;;;;;;;;;;;;;;;;;
2026/02/18;0200 UTC;;;;;;;;;;;;;;;;;;
2026/02/18;0300 UTC;;;;;;;;;;;;;;;;;;
2026/02/18;0400 UTC;;;;;;;;;;;;;;;;;;
2026/02/18;0500 UTC;;;;;;;;;;;;;;;;;;
2026/02/18;0600 UTC;;;;;;;;;;;;;;;;;;
2026/02/18;0700 UTC;;;;;;;;;;;;;;;;;;
2026/02/18;0800 UTC;;;;;;;;;;;;;;;;;;
2026/02/18;0900 UTC;;;;;;;;;;;;;;;;;;
2026/02/18;1000 UTC;;;;;;;;;;;;;;;;;;
2026/02/18;1100 UTC;;;;;;;;;;;;;;;;;;
2026/02/18;1200 UTC;;;;;;;;;;;;;;;;;;
2026/02/18;1300 UTC;;;;;;;;;;;;;;;;;;
2026/02/18;1400 UTC;;;;;;;;;;;;;;;;;;
2026/02/18;1500 UTC;;;;;;;;;;;;;;;;;;
2026/02/18;1600 UTC;;;;;;;;;;;;;;;;;;
2026/02/18;1700 UTC;;;;;;;;;;;;;;;;;;
2026/02/18;1800 UTC;;;;;;;;;;;;;;;;;;
2026/02/18;1900 UTC;;;;;;;;;;;;;;;;;;
2026/02/18;2000 UTC;;;;;;;;;;;;;;;;;;
2026/02/18;2100 UTC;0;956,2;956,4;955,6;684,9;32,9;20,3;34,9;32,9;20,6;17,9;48;37;48;157;7,6;4,3;
2026/02/18;2200 UTC;0;956,7;957,1;956,2;192,1;27;18,8;32,9;27;21,1;18,5;61;48;61;108;11,3;6,7;
2026/02/18;2300 UTC;0;956,8;956,9;956,4;15,9;25,1;20,3;27;25;20,4;18,9;75;61;75;138;9,2;2,9;
2026/02/19;0000 UTC;0;957,7;957,7;956,8;;25,1;20,3;25,5;24,8;20,5;20,1;77;72;75;45;6,3;3,6;
2026/02/19;0100 UTC;0;957,8;957,9;957,6;;25,1;18,8;25,9;24,8;20,5;18,2;77;64;68;315;6,3;3,3;
2026/02/19;0200 UTC;0;957,7;958;957,7;;25,7;18,4;26,5;25,1;18,7;17,8;68;59;64;346;4,7;1,8;
2026/02/19;0300 UTC;0;957,8;957,9;957,7;;25,1;19;26;25,1;19;18;69;62;69;95;2,8;,9;
2026/02/19;0400 UTC;0;957,5;957,8;957,5;;26,2;18,5;26,3;25;19,3;17,8;70;61;63;27;2,1;1,7;
2026/02/19;0500 UTC;0;957,1;957,5;957,1;;25,5;18,4;26,1;24,6;19,3;17,9;72;63;65;37;2,1;1;
2026/02/19;0600 UTC;0;957,2;957,3;957,1;;25,2;18,2;26,3;25,2;18,6;17,7;66;60;65;25;2,9;2;
2026/02/19;0700 UTC;0;956,9;957,2;956,9;;22,9;19,1;25,2;22,9;19,1;18,2;79;65;79;12;4,7;2,4;
2026/02/19;0800 UTC;0;957;957,1;956,9;;23,2;19,3;23,2;22,4;19,5;19;83;78;79;22;3,5;2,6;
2026/02/19;0900 UTC;0;957,3;957,3;957;;23,3;19,6;24;23,2;19,6;19,2;80;75;80;5;3,6;3,1;
2026/02/19;1000 UTC;0;957,5;957,5;957,2;38,1;23,9;20,1;23,9;23;20,2;19,6;84;78;79;329;4,3;2,6;
2026/02/19;1100 UTC;0;957,9;957,9;957,5;671,3;26,1;20;26,1;24;20,2;19,6;79;68;69;326;6,3;3,5;
2026/02/19;1200 UTC;0;958,3;958,4;957,9;1536,2;27,9;20,3;27,9;26,1;20,6;19,4;69;62;64;308;6,2;3,8;
2026/02/19;1300 UTC;0;958,2;958,4;958,1;2367;30,4;19;30,8;27,9;20,4;19;64;50;50;297;5,7;3;
2026/02/19;1400 UTC;0;958,1;958,3;958,1;3025,8;31,7;18,3;32,2;30,3;19,5;17,6;52;42;45;35;5,7;3,7;
2026/02/19;1500 UTC;0;957,8;958,2;957,8;3504,4;33,2;18,8;33,3;31,6;19,8;17,5;48;40;43;53;5,7;2;
2026/02/19;1600 UTC;0;957,5;957,9;957,5;3671,4;34;18;34,7;33,1;20,3;17,8;44;38;39;150;4,2;2,3;
2026/02/19;1700 UTC;0;956,9;957,5;956,9;3395,7;35,1;19,6;35,2;34;20,4;17,2;43;36;40;174;4,7;2,2;
2026/02/19;1800 UTC;0;955,8;956,9;955,8;3383,6;35,1;18;35,8;34,8;20,9;17,8;44;36;36;144;5,4;2,8;
2026/02/19;1900 UTC;0;955,1;955,8;955,1;2844,9;35,6;17,8;36,1;35;19,7;17,1;40;33;35;144;5,8;3,2;
2026/02/19;2000 UTC;0;954,4;955,1;954,4;2128,6;35,3;17,8;35,9;35,2;19,2;15,8;38;31;36;130;5,8;2,5;
2026/02/19;2100 UTC;0;954,5;954,7;954,4;1242,2;34,5;16,8;35,5;34,2;19,5;16,8;40;35;35;165;6,1;3,3;
2026/02/19;2200 UTC;0;954,8;954,8;954,4;398,1;31,7;17,8;34,6;31,6;19,2;16,8;46;35;43;165;5,7;2,7;
2026/02/19;2300 UTC;0;955,1;955,1;954,8;1,2;31,6;17,3;32,3;31,6;18,1;17,1;44;41;42;177;3,5;2,4;
2026/02/20;0000 UTC;0;956,2;956,2;955,1;;30,5;17,5;31,6;30,2;17,7;17,1;47;42;46;144;3,4;2,1;
2026/02/20;0100 UTC;0;957,3;957,3;956,2;;29,3;17,7;30,5;29,3;18;17,5;49;46;49;123;2,9;2,3;
2026/02/20;0200 UTC;0;958;958;957,3;;28,8;19,3;29,3;27,8;19,5;17,7;60;50;57;54;3,2;1,3;
2026/02/20;0300 UTC;0;958;958;957,8;;29;19,4;29,3;28,1;19,6;19;59;55;56;48;2,9;1,5;
2026/02/20;0400 UTC;0;957,7;958;957,7;;26,4;19,6;29;25,7;20,3;19,4;71;56;67;307;4,7;3,4;
