REGIAO:;CO
UF:;MT
ESTACAO:;TANGARA DA SERRA
CODIGO (WMO):;A902
LATITUDE:;-14,65
LONGITUDE:;-57,43166666
ALTITUDE:;440,01
DATA DE FUNDACAO:;11/12/02
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;962,3;962,3;961,5;0;21,7;20,8;21,8;21,6;21;20,8;95;94;95;195;2;,2;
2026/01/01;0100 UTC;0;963,4;963,4;962,3;0;21,7;20,6;21,8;21,6;20,9;20,5;95;93;94;295;2,2;,5;
2026/01/01;0200 UTC;0;964,2;964,2;963,4;0;21,9;20,8;22,3;21,6;21,2;20,5;94;93;94;332;1,9;,2;
2026/01/01;0300 UTC;0;963,8;964,2;963,7;0;21,8;20,8;21,9;21,6;20,9;20,7;95;94;94;236;1,5;0;
2026/01/01;0400 UTC;0;963,7;963,8;963,5;0;21,9;20,6;22,1;21,5;20,9;20,5;94;92;92;58;1,8;1;
2026/01/01;0500 UTC;0;963;963,7;963;0;21,3;20;22,1;21,3;20,7;20;92;91;92;152;2;1,4;
2026/01/01;0600 UTC;0;962,3;963;962,3;0;21,2;20,2;21,3;21;20,3;20;95;92;95;147;2;,7;
2026/01/01;0700 UTC;0;961,9;962,3;961,9;0;21,8;20,4;21,9;21,1;20,5;20,2;95;92;92;79;2,8;1,5;
2026/01/01;0800 UTC;0;961,8;962;961,8;0;22,2;20,7;22,2;21,5;20,9;20,2;93;91;91;15;3,5;2,2;
2026/01/01;0900 UTC;0;962,2;962,2;961,8;0;22,2;20,8;22,4;21,9;20,8;20,5;92;90;92;32;4,3;,7;
2026/01/01;1000 UTC;0;962,8;962,8;962,2;56,5;22,8;20,8;22,8;22,1;20,8;20,6;92;88;88;32;2,8;1,3;
2026/01/01;1100 UTC;0;963,3;963,3;962,8;413,7;23,8;21,1;23,8;22,9;21,2;20,7;88;85;85;31;3,1;,6;
2026/01/01;1200 UTC;0;963,4;963,5;963,3;1354,9;25,2;21,9;25,5;23,8;22,2;21,1;86;81;82;171;3,2;1,4;
2026/01/01;1300 UTC;0;963,5;963,5;963,4;2202,6;28,5;23,3;28,5;25,2;23,6;21,4;82;71;74;124;2,7;1;
2026/01/01;1400 UTC;0;963,3;963,5;963,3;3038,5;29,4;22;29,5;27,8;23,3;21,6;74;64;65;132;3,1;1,5;
2026/01/01;1500 UTC;0;962,7;963,3;962,7;3527,1;30,7;21,3;31;29;22,7;21,2;65;56;57;108;3,9;2,1;
2026/01/01;1600 UTC;0;962,1;962,7;962,1;3725,7;31,5;22;31,9;30,5;23;21,2;61;56;57;120;4,8;2,6;
2026/01/01;1700 UTC;0;961;962,1;961;3372,1;31,8;23;32,8;31;23,9;21,8;61;55;60;118;5,1;2;
2026/01/01;1800 UTC;1,8;960,5;961;960,4;1370,9;26;21,9;32,9;25;23,7;20;81;56;78;14;11,8;2,5;
2026/01/01;1900 UTC;0;959;960,7;959;270,5;25,4;22,2;26,3;25,2;22,6;20,4;83;73;82;212;7,1;1,2;
2026/01/01;2000 UTC;0;958,5;959;958,4;244,3;25,2;22,2;25,6;25,1;22,9;21,9;86;82;83;179;3,9;2,2;
2026/01/01;2100 UTC;0;958,3;958,6;958,2;447,2;26,2;22,1;26,2;25;22,4;21,8;85;77;78;185;4,5;1;
2026/01/01;2200 UTC;0;958,8;959;958,3;229,9;25,8;22,2;26,2;25,7;22,7;21,8;83;77;81;343;2,1;0;
2026/01/01;2300 UTC;0;959;959,1;958,7;24;24,5;22,8;25,8;24,5;22,9;22,1;91;81;90;283;2,1;1,1;
2026/01/02;0000 UTC;0;959,9;959,9;959;0;24;22,2;24,5;23,8;22,7;21,9;92;89;90;233;1,7;,4;
2026/01/02;0100 UTC;0;961,2;961,2;959,9;0;23,8;21,4;24,5;23,2;22,2;21,3;90;86;87;194;3,1;2,1;
2026/01/02;0200 UTC;0;962,2;962,2;961,2;0;23,6;21,8;23,8;23,4;21,8;21,3;90;87;90;212;4;2;
2026/01/02;0300 UTC;0;962,2;962,4;962,1;0;23,3;21,7;23,6;23,2;21,8;21,6;91;90;90;211;2,8;1,8;
2026/01/02;0400 UTC;0;962,1;962,3;962;0;22,7;21,4;23,3;22,7;21,6;21,3;92;90;92;156;2,6;1,5;
2026/01/02;0500 UTC;0;960,6;962,1;960,6;0;22,6;21,3;23;22,5;21,6;21,3;93;92;93;180;2,6;,4;
2026/01/02;0600 UTC;0;960,4;960,6;960,2;0;23,1;21,8;23,1;22,5;21,8;21,3;93;92;92;204;2;1,5;
2026/01/02;0700 UTC;0;960,1;960,5;960,1;0;23;21,7;23,2;23;21,8;21,7;92;92;92;191;2,7;,9;
2026/01/02;0800 UTC;0;960,1;960,2;960,1;0;23,1;21,7;23,3;23;21,8;21,6;93;91;92;180;2,9;1,3;
2026/01/02;0900 UTC;4,8;961,1;961,1;960,1;,1;22,5;21,7;23,2;22,2;21,8;21,2;96;91;96;145;5,7;3,7;
2026/01/02;1000 UTC;5,6;962;962;961,1;6,6;21,9;21,3;22,7;21,9;21,8;21,2;96;93;96;119;8,1;4;
2026/01/02;1100 UTC;,8;963,2;963,2;962;33,1;21,9;21,3;21,9;21,8;21,3;21,2;97;96;97;141;6,1;3,3;
2026/01/02;1200 UTC;1,4;963,9;964;963,2;130,4;21,7;21,1;21,9;21,6;21,3;21;97;96;96;136;7,8;4,7;
2026/01/02;1300 UTC;,4;964,3;964,3;963,9;690,2;22,3;20,8;22,3;21,7;21,2;20,6;97;91;91;129;8,4;4,3;
2026/01/02;1400 UTC;0;964,3;964,5;964,3;1839;23,4;21,3;23,8;22,3;21,6;20,6;91;85;88;105;9,2;5,2;
