REGIAO:;CO
UF:;MT
ESTACAO:;SAPEZAL
CODIGO (WMO):;A911
LATITUDE:;-13,30388888
LONGITUDE:;-58,76333333
ALTITUDE:;105
DATA DE FUNDACAO:;20/10/17
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;951;951;949,9;0;23,2;21,1;23,3;22,5;21,9;21,1;93;88;88;220;4,5;2,7;
2026/01/01;0100 UTC;0;951,9;951,9;951;0;22,8;21,9;23,2;22,8;22;21,1;95;88;95;194;3,4;2;
2026/01/01;0200 UTC;0;952,9;953;951,9;0;22,2;21,8;22,8;22,2;22;21,8;97;95;97;358;2,6;,6;
2026/01/01;0300 UTC;0;952,6;953;952,6;0;22,9;22,1;23;22,1;22,3;21,7;98;95;95;205;1,7;1,2;
2026/01/01;0400 UTC;0;951,8;952,6;951,8;0;22,5;21,6;22,9;22,4;22,1;21,5;96;94;95;185;2,4;1,9;
2026/01/01;0500 UTC;0;951,5;951,9;951,5;0;22,4;21,8;22,6;22,4;21,8;21,6;96;95;96;211;3;2,3;
2026/01/01;0600 UTC;0;951;951,5;951;0;22,4;21,8;22,6;22,4;21,9;21,7;96;96;96;192;4,8;3;
2026/01/01;0700 UTC;0;950,9;951;950,9;0;22;20,9;22,4;22;21,8;20,9;96;93;93;195;6,3;3,8;
2026/01/01;0800 UTC;0;950,5;950,9;950,5;0;21,3;20,3;22;21,3;20,9;20,3;95;92;94;194;7,6;4,1;
2026/01/01;0900 UTC;0;950,7;950,7;950,5;0;21,3;20,4;21,3;21,1;20,5;20,3;95;94;95;182;6,5;3,6;
2026/01/01;1000 UTC;0;951,1;951,1;950,7;22,7;21,3;20,4;21,3;21,2;20,6;20,4;96;94;95;170;5,5;2,4;
2026/01/01;1100 UTC;0;951,5;951,5;951,1;257;21,9;20,9;21,9;21,3;20,9;20,4;95;94;94;137;4,2;2,3;
2026/01/01;1200 UTC;0;951,9;951,9;951,5;373,4;22,9;21;22,9;21,9;21,2;20,8;94;89;89;179;3,6;1,7;
2026/01/01;1300 UTC;0;952,1;952,1;951,8;728,4;24,7;21,6;24,7;22,9;22,2;21,1;89;83;83;92;2,8;,4;
2026/01/01;1400 UTC;0;951,8;952,2;951,7;1271,8;26,5;22,1;26,8;24,7;23,6;21,4;85;77;77;141;2,5;1,4;
2026/01/01;1500 UTC;0;951,5;951,8;951,5;2266,7;27,9;22,1;28,4;26,5;23,1;19;79;57;71;8;4,3;2,1;
2026/01/01;1600 UTC;0;950,7;951,5;950,7;2713,9;29,1;21;29,2;27,9;23,1;19,6;74;59;62;348;4,8;2,8;
2026/01/01;1700 UTC;0;950;950,7;950;2757,8;30,1;21,3;30,2;28,8;22,1;20,2;65;58;59;278;6;2,6;
2026/01/01;1800 UTC;0;948,5;950;948,5;4082,2;31,1;22,7;31,1;30,1;22,9;21;64;56;61;310;6,8;3,4;
2026/01/01;1900 UTC;0;947,1;948,5;947,1;3164,1;30,9;22,1;31,4;30,2;23,1;21,1;63;57;60;316;7;2,7;
2026/01/01;2000 UTC;0;946,3;947,1;946,3;2161,1;31,2;21,6;32;30,3;22,9;21;62;53;57;317;5,2;2,6;
2026/01/01;2100 UTC;0;946,5;946,5;946,2;1628,4;29,6;21;31,9;29,4;22,6;21;64;55;60;334;9,5;5,9;
2026/01/01;2200 UTC;0;947;947;946,2;469,7;27,4;21,2;29,6;27;21,9;19,7;74;60;69;21;11,8;2,2;
2026/01/01;2300 UTC;0;947,7;947,7;947;18,4;25,9;22,5;27,5;25,2;22,7;21;85;68;82;319;4,6;2,2;
2026/01/02;0000 UTC;0;948,7;948,7;947,7;0;24,2;22,4;27,2;24,2;22,4;21,5;90;71;90;330;5,3;4,2;
2026/01/02;0100 UTC;2,4;949,2;949,2;948,7;0;23,6;22,2;24,5;23,3;22,4;21,2;92;87;92;292;7,4;2,4;
2026/01/02;0200 UTC;0;950,6;950,6;949,2;0;23,5;22,4;24,1;23,5;22,6;22,2;94;89;93;195;4,1;2,5;
2026/01/02;0300 UTC;0;950,5;950,7;950,5;0;23,1;22,5;23,5;23,1;22,6;22,3;96;93;96;199;4;2,5;
2026/01/02;0400 UTC;0;949,9;950,5;949,8;0;23,2;22,1;23,4;23,1;22,6;22,1;96;93;94;219;4,4;3,3;
2026/01/02;0500 UTC;1,2;949,7;950,2;949,6;1;22,6;22,1;23,7;22,6;22,2;21,6;97;88;97;274;9,9;4,7;
2026/01/02;0600 UTC;1,2;949,1;949,7;949,1;0;22,5;22,1;22,7;22,5;22,2;22;98;96;98;175;6,1;3,1;
2026/01/02;0700 UTC;,4;948,9;949,2;948,9;0;22,4;22,1;22,6;22,4;22,2;22,1;98;98;98;156;5,4;1,2;
2026/01/02;0800 UTC;1;949,1;949,4;948,9;0;22,1;21,9;22,4;22;22,1;21,8;99;98;99;24;4,6;1,2;
2026/01/02;0900 UTC;1,8;950,2;950,2;949;0;22;21,8;22,1;21,9;21,9;21,7;99;99;99;359;3,3;,9;
2026/01/02;1000 UTC;1,4;951,3;951,3;950,2;1,9;21,5;21,3;22,2;21,5;22;21,3;99;99;99;14;6,9;4,3;
2026/01/02;1100 UTC;,8;951,7;951,7;951,2;65,6;20,9;20,6;21,5;20,6;21,3;20,2;99;97;98;35;6,9;1,9;
2026/01/02;1200 UTC;,4;952,2;952,3;951,7;431,3;21,9;21,3;21,9;20,9;21,4;20,5;98;96;97;26;3;0;
2026/01/02;1300 UTC;0;952,4;952,4;952,2;764,3;23;21,6;23,1;21,8;21,9;21,1;97;90;92;249;3,2;2,1;
2026/01/02;1400 UTC;0;952,2;952,5;952,2;645,9;23,7;21,4;23,8;22,9;22,1;21,4;93;87;87;235;3,2;1,4;
2026/01/02;1500 UTC;0;952,2;952,3;952,1;1016,7;24,7;22;24,7;23,7;22,3;21,2;88;83;85;166;2,9;1,4;
2026/01/02;1600 UTC;0;951;952,2;951;1038,3;24,9;22,2;25;24,6;22,9;21,4;89;82;85;148;2,5;1,3;
2026/01/02;1700 UTC;0;949,4;951;949,4;1171,1;25,5;22,6;26,3;24,9;23,1;21,9;87;78;84;120;2,5;1,2;
2026/01/02;1800 UTC;0;947,2;949,4;947,2;2314,1;27,9;22,1;27,9;25,5;23,6;21,3;86;71;71;256;3,2;1,1;
2026/01/02;1900 UTC;0;945,4;947,2;945,4;2684,1;29,8;21;29,9;27,9;23,6;20,2;74;57;59;257;9,8;7,1;
2026/01/02;2000 UTC;0;945;945,4;945;2304,4;29,8;19,7;30,1;29,2;21,2;19,6;60;55;55;265;10,4;7,2;
2026/01/02;2100 UTC;0;945,4;945,4;945;1152,1;29,2;20,8;29,9;28,6;21,2;19,3;62;55;60;262;10,4;6;
2026/01/02;2200 UTC;0;946,6;946,6;945,4;592,4;28,2;21,3;29,2;28,2;21,5;20,5;66;60;66;260;9,3;3,1;
2026/01/02;2300 UTC;0;947,7;947,7;946,6;46;26;21,5;28,1;26;21,9;21,2;76;66;76;250;4,1;2,2;
2026/01/03;0000 UTC;0;948,4;948,4;947,7;0;24,9;21,9;26;24,9;21,9;21,5;84;76;84;224;3,5;2,1;
2026/01/03;0100 UTC;0;949,6;949,6;948,4;0;24,4;21,2;24,9;24,3;21,9;21,1;85;81;82;240;3,7;2,7;
2026/01/03;0200 UTC;0;950,1;950,2;949,6;0;24,2;20,7;24,4;24,2;21,3;20,6;84;80;81;210;3,6;1,9;
2026/01/03;0300 UTC;0;950,4;950,5;950,1;0;22,4;20,5;24,2;22,4;21;20,5;89;81;89;280;4,4;1,7;
2026/01/03;0400 UTC;0;949,7;950,4;949,7;0;21,7;21,2;22,5;21,7;21,7;20,5;97;89;97;3;5,3;3,1;
2026/01/03;0500 UTC;0;949,4;949,7;949,4;0;21,8;21,5;21,8;21,5;21,5;21,1;99;97;99;325;5,2;2,6;
2026/01/03;0600 UTC;0;948,7;949,4;948,7;0;21,7;21,6;21,8;21,6;21,6;21,5;99;99;99;329;4,3;2,9;
2026/01/03;0700 UTC;0;948,6;948,9;948,6;0;21,9;21,8;21,9;21,8;21,8;21,6;99;99;99;331;5,2;3,5;
2026/01/03;0800 UTC;0;948,1;948,6;948;0;21,9;21,7;22;21,9;21,9;21,7;99;99;99;331;5,1;3,5;
2026/01/03;0900 UTC;0;948,7;948,7;948,1;0;21,9;21,8;22;21,8;21,9;21,7;100;99;99;278;4,5;2,8;
