REGIAO:;CO
UF:;MT
ESTACAO:;CAMPO VERDE
CODIGO (WMO):;A912
LATITUDE:;-15,55888888
LONGITUDE:;-55,17944443
ALTITUDE:;747
DATA DE FUNDACAO:;21/11/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;0200 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;0300 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;0400 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;0500 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;0600 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;0700 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;0800 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;0900 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;1000 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;1100 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;1200 UTC;0;931,8;;;171,1;26,2;21,2;;;;;;;74;309;;3;
2026/01/01;1300 UTC;,2;932,1;932,1;931,7;2676;27,4;20,7;27,8;26,1;21,7;20,2;74;65;67;325;7,6;4,1;
2026/01/01;1400 UTC;0;931,6;932,1;931,6;3192,2;28,2;21,1;28,7;27,4;21,9;20,2;70;63;65;323;7,6;3;
2026/01/01;1500 UTC;0;931;931,6;931;3860,4;29,1;19,8;29,7;28,2;21,5;18;66;52;57;337;7,5;3,9;
2026/01/01;1600 UTC;,2;930,4;931,1;930,4;4119,1;30,4;20,1;30,6;29;20,3;18,3;57;50;54;327;7,8;3;
2026/01/01;1700 UTC;0;929,6;930,4;929,6;4070,2;30,9;19,1;31,6;29,9;20,4;18,3;55;47;49;314;6,5;3,1;
2026/01/01;1800 UTC;0;928,2;929,6;928,2;3519,8;31,1;19,4;31,6;30,2;20;17,7;52;44;50;309;7,7;3,2;
2026/01/01;1900 UTC;0;927,1;928,2;927,1;3426,7;31,3;17,6;32,3;30,6;20;16,9;51;41;44;313;8,3;4,1;
2026/01/01;2000 UTC;0;926,7;927,1;926,6;1702,3;29,1;21;31,9;29,1;21,4;17,5;63;43;62;261;8,3;4,3;
2026/01/01;2100 UTC;,2;926,9;927,1;926,6;1251,3;27,8;19,5;29,5;27,7;21,3;19;63;56;61;263;7,7;2,8;
2026/01/01;2200 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;2300 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;0000 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;0100 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;0200 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;0300 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;0400 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;0500 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;0600 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;0700 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;0800 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;0900 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;1000 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;1100 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;1200 UTC;0;930,3;930,3;930,2;430,1;22,7;20,3;22,8;22,5;20,6;19,8;88;85;86;356;;3;
2026/01/02;1300 UTC;0;930,8;930,8;930,2;1673,9;25,2;21,3;25,3;22,7;21,3;20,1;87;77;79;335;8;4,6;
2026/01/02;1400 UTC;0;930,9;931,2;930,8;1734;24,6;20,4;25,3;24,4;21;20,1;79;76;77;316;9,5;5,8;
2026/01/02;1500 UTC;0;930,5;931;930,5;2019,4;25,5;20,6;25,9;24,3;21,3;20,3;79;73;74;330;11;5,3;
2026/01/02;1600 UTC;0;928,9;930,5;928,9;3335,5;28;21,1;28;25,5;21,9;20,1;75;66;66;315;13,6;6,7;
2026/01/02;1700 UTC;0;927,4;928,9;927,4;3642,5;28,1;20,8;28,4;27,1;21,5;20;68;63;65;311;11,3;6;
2026/01/02;1800 UTC;0;926,5;927,4;926,5;3340,9;27,8;19,6;28,7;27,4;21,3;19,5;67;60;61;301;13,9;6,8;
2026/01/02;1900 UTC;0;926,2;926,5;926;2281,6;26,9;20,4;27,9;26,8;20,9;18,5;69;58;68;271;11,2;5,3;
2026/01/02;2000 UTC;0;926,3;926,4;926,2;1709,8;26,4;20,3;27,1;26;20,9;20,2;72;66;69;266;9,9;5,9;
2026/01/02;2100 UTC;0;926,5;926,5;926,2;1317,2;25,9;19,4;27;25,9;20,3;18,9;69;62;67;270;9,9;4;
2026/01/02;2200 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;2300 UTC;;;;;;;;;;;;;;;;;;
2026/01/03;0000 UTC;;;;;;;;;;;;;;;;;;
2026/01/03;0100 UTC;;;;;;;;;;;;;;;;;;
2026/01/03;0200 UTC;;;;;;;;;;;;;;;;;;
2026/01/03;0300 UTC;;;;;;;;;;;;;;;;;;
2026/01/03;0400 UTC;;;;;;;;;;;;;;;;;;
2026/01/03;0500 UTC;;;;;;;;;;;;;;;;;;
2026/01/03;0600 UTC;;;;;;;;;;;;;;;;;;
