REGIAO:;CO
UF:;MT
ESTACAO:;NOVA MARINGA
CODIGO (WMO):;A928
LATITUDE:;-13,0386111
LONGITUDE:;-57,09222221
ALTITUDE:;334,36
DATA DE FUNDACAO:;16/04/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;;973,4;973,4;972,8;;26;21,5;27,6;26;21,9;21,5;77;70;77;354;0;0;
2026/01/01;0100 UTC;;974,7;974,7;973,4;;25,3;21,2;26;25,3;21,7;21,1;78;77;78;267;1,6;0;
2026/01/01;0200 UTC;;975,3;975,3;974,7;;24,7;22,1;25,3;24,4;22,1;21,2;86;78;85;202;1,6;0;
2026/01/01;0300 UTC;;975,3;975,5;975,3;;23,9;21,5;24,9;23,8;21,9;21,2;87;80;87;167;2,2;,1;
2026/01/01;0400 UTC;;974,7;975,2;974,7;;23,7;21,4;23,8;23,5;21,4;21,2;87;86;87;106;0;0;
2026/01/01;0500 UTC;;974,1;974,8;974,1;;23,7;21,5;24;23,7;21,6;21,3;87;86;87;134;0;0;
2026/01/01;0600 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;0700 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;0800 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;0900 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;1000 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;1100 UTC;;974,9;;;166,3;25,3;21,2;;;;;;;78;233;;0;
2026/01/01;1200 UTC;;975,1;975,2;974,9;1757,4;28,6;21,1;28,6;25,3;21,8;20,6;78;64;64;263;0;0;
2026/01/01;1300 UTC;;975,5;975,6;975,1;2300,6;29,3;21,1;29,7;28,2;21,6;20,6;65;60;61;266;4,7;1,5;
2026/01/01;1400 UTC;;975,2;975,6;975,2;2978,2;30,7;21,3;30,9;29,1;21,9;20,4;64;55;58;285;3,9;0;
2026/01/01;1500 UTC;;974,6;975,2;974,6;3531,9;32,3;21,4;32,5;30,6;21,8;20,2;58;50;53;26;4,3;1,1;
2026/01/01;1600 UTC;;973,6;974,6;973,6;3375,1;33,3;20,5;34,2;31,5;22,1;20,1;56;45;47;14;5,1;1,1;
2026/01/01;1700 UTC;;972,3;973,6;972,3;2805,7;32,8;19,6;34;32,6;20,8;18,9;48;42;46;52;5,4;,8;
2026/01/01;1800 UTC;;971,1;972,3;971,1;2658;34,1;20;34,6;32,6;20,7;17,8;48;37;44;28;5,4;,3;
2026/01/01;1900 UTC;;969,7;971,1;969,7;2320,2;34,3;20;34,6;33,2;21,1;19,2;46;42;43;16;5,5;0;
2026/01/01;2000 UTC;;968,9;969,6;968,9;1589,7;33,1;20,2;34,3;32,4;20,6;19,1;49;42;47;64;4,6;0;
2026/01/01;2100 UTC;;969;969;968,9;1334,6;33,2;20,4;34,3;32,9;20,6;19,3;48;43;47;57;4,7;0;
2026/01/01;2200 UTC;;969,2;969,2;968,9;338,9;31,4;20,8;33,7;31,4;21,1;19,5;54;45;53;39;3;0;
2026/01/01;2300 UTC;;970,1;970,1;969,2;2,1;29,8;21,7;31,5;29,8;21,7;20,8;62;53;62;50;0;0;
2026/01/02;0000 UTC;;971,3;971,3;970,1;;26,6;20,4;29,8;26,6;22;19,6;69;57;69;162;0;0;
2026/01/02;0100 UTC;;972,2;972,2;971,3;;25,8;20,9;26,6;25,6;21,2;20,4;76;69;74;196;0;0;
2026/01/02;0200 UTC;;973;973,1;972,1;;25,9;21,3;26,2;25,6;21,7;20,6;78;72;76;221;0;0;
2026/01/02;0300 UTC;;973,5;973,7;973;;24,6;21;25,9;24,6;21,3;20,6;80;76;80;59;5,1;1,6;
