REGIAO:;CO
UF:;MT
ESTACAO:;SANTO ANTONIO DO LESTE
CODIGO (WMO):;A931
LATITUDE:;-14,92499999
LONGITUDE:;-53,88444444
ALTITUDE:;662
DATA DE FUNDACAO:;30/05/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;;938,6;938,6;937,3;;23,2;19,6;24,1;23,2;19,8;19,1;80;76;80;30;;;
2026/01/01;0100 UTC;;939,2;939,2;938,6;;22,6;19,5;23,3;22,6;19,8;19,3;83;79;83;350;;;
2026/01/01;0200 UTC;;939,6;939,6;939,2;;21,6;19,1;22,6;21,6;20;19,1;86;83;85;333;;;
2026/01/01;0300 UTC;;939,4;939,7;939,4;;21,5;18,1;22,2;21,5;19,6;18,1;87;80;81;59;;;
2026/01/01;0400 UTC;;938,8;939,4;938,8;;21;18;21,5;21;18,4;18;84;81;83;72;;;
2026/01/01;0500 UTC;;938;938,8;938;;20,9;18,1;21,1;20,7;18,2;18;85;83;84;52;;;
2026/01/01;0600 UTC;;937,6;938;937,6;;20,3;17,8;20,9;20,3;18,1;17,7;86;84;85;70;;;
2026/01/01;0700 UTC;;937,1;937,6;937,1;;20,7;17,9;21,4;20,2;18,4;17,4;86;82;84;352;;;
2026/01/01;0800 UTC;;937,3;937,3;937,1;;21,1;18,1;21,1;19,8;18,2;17,5;87;83;83;7;;;
2026/01/01;0900 UTC;;938,1;938,1;937,2;;20,2;17,8;21,4;20,1;18,2;17,7;86;81;86;19;;;
2026/01/01;1000 UTC;;938,6;938,6;938,1;165,7;22;19,4;22;20,2;19,4;17,8;86;84;85;12;;;
2026/01/01;1100 UTC;;938,9;938,9;938,6;732,3;25;20,8;25;22;21,2;19,3;85;78;78;359;;;
2026/01/01;1200 UTC;;939,4;939,4;938,9;1450,6;26,6;19,9;26,7;25;21,1;19,7;78;66;67;6;;;
2026/01/01;1300 UTC;;939,7;939,7;939,4;1602,6;27,6;21;27,6;26,6;21;19,9;70;65;68;13;;;
2026/01/01;1400 UTC;;939,2;939,7;939,2;2336;29,1;18,9;29,1;27,4;21;17,9;68;51;54;304;;;
2026/01/01;1500 UTC;;938,7;939,2;938,7;3823,4;29,6;18,6;31,8;29,1;19,9;17,7;56;45;52;104;;;
2026/01/01;1600 UTC;;938;938,7;938;3434,3;31,1;19,8;31,7;29,2;20,7;17,7;60;45;51;136;;;
2026/01/01;1700 UTC;;936,9;938;936,9;2787,5;30,7;19,3;31,8;30;20,3;17,9;56;45;51;119;;;
2026/01/01;1800 UTC;;935,5;936,9;935,5;3349,5;30,9;18,5;32,2;30,5;20,2;18,4;54;45;48;126;;;
2026/01/01;1900 UTC;;934,3;935,5;934,3;2358,8;29,7;21,4;32,1;29,3;21,8;18,1;63;45;61;109;;;
2026/01/01;2000 UTC;;933,7;934,3;933,7;2056,8;31,3;19,5;31,5;29,7;21,6;18,6;61;47;50;138;;;
2026/01/01;2100 UTC;;933,8;933,9;933,7;1016,7;30,3;19,5;31,3;30,1;20,9;18,3;58;47;52;145;;;
2026/01/01;2200 UTC;;934,4;934,5;933,8;207;27,5;21,3;30,3;27,1;22,4;19,7;75;53;69;116;;;
2026/01/01;2300 UTC;;934,9;935;934,4;,6;25,6;20,5;27,7;25,6;21,7;20,5;75;68;73;111;;;
2026/01/02;0000 UTC;;936;936;934,9;;24,3;20,2;26,4;24,1;20,6;20,1;79;69;78;71;;;
2026/01/02;0100 UTC;;936,8;936,8;935,9;;23,8;20,2;24,3;23,8;20,4;20,1;81;78;81;62;;;
2026/01/02;0200 UTC;;937,5;937,5;936,8;;23,2;20,1;23,8;23,2;20,3;20;83;81;83;340;;;
2026/01/02;0300 UTC;;937,4;937,7;937,4;;23,8;20,2;23,8;23,2;20,3;19,9;83;80;80;286;;;
2026/01/02;0400 UTC;;937,1;937,5;937,1;;23,4;20,6;23,9;23,4;20,8;20,1;85;80;84;270;;;
2026/01/02;0500 UTC;;936,5;937,1;936,5;;21,8;19;23,4;21,8;20,7;19;89;84;84;22;;;
2026/01/02;0600 UTC;;936,5;936,6;936;;21,6;19,6;21,9;21,5;19,7;18,8;89;84;88;54;;;
2026/01/02;0700 UTC;;936,5;936,6;936,2;,7;20,4;18,5;21,6;20,3;19,6;18,4;89;87;89;311;;;
