REGIAO:;CO
UF:;MT
ESTACAO:;NOVO SANTO ANTONIO
CODIGO (WMO):;A947
LATITUDE:;-12,28805555
LONGITUDE:;-50,97138888
ALTITUDE:;205
DATA DE FUNDACAO:;28/11/25
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;988;988;987,5;0;28,9;21,6;29,6;28,9;23,5;21,5;71;64;65;149;2,5;1;
2026/01/01;0100 UTC;0;988,8;988,8;988;0;28,1;22,8;29;28,1;22,9;21,6;73;65;73;142;2,2;1,2;
2026/01/01;0200 UTC;0;989,6;989,6;988,8;0;25,5;23,7;28,1;25,5;23,7;22,8;90;73;90;277;2,1;,3;
2026/01/01;0300 UTC;0;989,1;989,6;989,1;0;24,9;23,3;25,5;24,9;23,8;23,3;92;90;91;296;2,3;,8;
2026/01/01;0400 UTC;0;988,4;989,1;988,4;0;24,6;23,2;24,9;24,6;23,4;23,2;93;91;92;249;1,4;,5;
2026/01/01;0500 UTC;0;987,4;988,4;987,4;0;24,1;23;24,6;24,1;23,3;23;94;92;93;217;1,4;,8;
2026/01/01;0600 UTC;0;987,1;987,4;987,1;0;23,8;22,6;24,1;23,8;23;22,6;94;93;94;227;1,7;,8;
2026/01/01;0700 UTC;0;986,8;987,1;986,8;0;23,4;22,2;23,8;23,4;22,7;22,2;94;93;93;230;1,4;,5;
2026/01/01;0800 UTC;0;986,9;986,9;986,7;0;23,1;21,8;23,4;23,1;22,2;21,8;93;92;93;208;1,7;,6;
2026/01/01;0900 UTC;0;987,6;987,6;986,9;,4;23;22,1;23,2;22,9;22,1;21,8;95;93;95;222;1,4;,3;
2026/01/01;1000 UTC;0;988,4;988,4;987,6;237,5;25,9;23,7;25,9;22,9;24;22,1;95;88;88;212;1,6;,5;
2026/01/01;1100 UTC;0;989,1;989,1;988,4;1017,2;28,3;22,8;28,4;25,9;23,9;22,8;88;72;72;153;2,5;1,4;
2026/01/01;1200 UTC;0;989,9;989,9;989,1;1886,8;30,6;22,8;30,6;28,3;23,6;22,8;73;63;63;144;2,5;1;
