REGIAO:;CO
UF:;MT
ESTACAO:;ITANHANGA
CODIGO (WMO):;A950
LATITUDE:;-12,23416666
LONGITUDE:;-56,60222222
ALTITUDE:;350
DATA DE FUNDACAO:;01/12/25
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;971,3;971,3;970,7;;27;;27,4;26,9;;;;;;13;1,9;1,1;
2026/01/01;0100 UTC;0;972,2;972,2;971,3;;25,8;;27;25,7;;;;;;336;2,2;1,4;
2026/01/01;0200 UTC;0;972,7;972,8;972,2;;25,6;;25,9;25,5;;;;;;342;2,2;1,5;
2026/01/01;0300 UTC;0;972,9;973;972,7;;25,6;;25,7;25,5;;;;;;22;2,3;1,4;
2026/01/01;0400 UTC;0;972,4;972,9;972,4;;24,8;;25,6;24,8;;;;;;336;2,9;1,7;
2026/01/01;0500 UTC;0;971,5;972,4;971,5;;25,1;;25,1;24,6;;;;;;270;3,9;1,7;
2026/01/01;0600 UTC;0;971,1;971,5;971,1;;24,6;;25,2;24,6;;;;;;252;4,3;1,7;
2026/01/01;0700 UTC;0;970,3;971,1;970,3;;23,9;;24,6;23,9;;;;;;217;4,2;1,3;
2026/01/01;0800 UTC;0;970,5;970,5;970,2;;23,5;;23,9;23,5;;;;;;216;4;2,1;
2026/01/01;0900 UTC;0;971,1;971,1;970,5;;22,9;;23,5;22,9;;;;;;199;3,9;2,6;
2026/01/01;1000 UTC;0;971,9;971,9;971,1;;23,1;;23,1;22,8;;;;;;198;3,9;2,8;
2026/01/01;1100 UTC;0;972,9;972,9;971,9;;24,9;;24,9;23,1;;;;;;186;4;2,7;
2026/01/01;1200 UTC;0;973,5;973,6;972,9;;26,7;;26,8;24,8;;;;;;193;5,6;3,9;
2026/01/01;1300 UTC;0;973,6;973,7;973,5;;28,6;;28,7;26,7;;;;;;188;5,8;2,7;
2026/01/01;1400 UTC;0;973,3;973,7;973,3;;30,1;;30,1;28,4;;;;;;186;4,8;1,7;
2026/01/01;1500 UTC;0;972,4;973,3;972,4;;31,4;;31,6;29,8;;;;;;29;4,3;2,3;
2026/01/01;1600 UTC;0;971,5;972,4;971,5;;31,2;;32,1;30,7;;;;;;6;4,8;2;
2026/01/01;1700 UTC;0;970,5;971,5;970,5;;32,7;;32,7;31;;;;;;28;4,6;2;
2026/01/01;1800 UTC;0;969,1;970,5;969,1;;32,4;;33;31,9;;;;;;302;5,5;1,6;
2026/01/01;1900 UTC;0;967,6;969,1;967,6;;33;;33,4;32,1;;;;;;341;4,8;1,9;
2026/01/01;2000 UTC;0;966,9;967,6;966,9;;33;;33,6;32,8;;;;;;13;5,2;1,9;
2026/01/01;2100 UTC;0;967,2;967,3;966,9;;32,8;;33,3;32,6;;;;;;356;4,7;1,9;
2026/01/01;2200 UTC;0;967,1;967,2;967,1;;31,7;;32,8;31,7;;;;;;4;3,1;,8;
2026/01/01;2300 UTC;0;968,2;968,2;967,1;;28,7;;31,7;28,7;;;;;;17;4,4;2,2;
2026/01/02;0000 UTC;0;969,1;969,1;968,2;;27,9;;28,7;27,9;;;;;;22;4,5;2;
2026/01/02;0100 UTC;0;970;970;969,1;;26,8;;27,9;26,5;;;;;;42;3,7;1,3;
2026/01/02;0200 UTC;0;970,8;970,8;969,9;;26,2;;27;26,2;;;;;;15;3,2;2,1;
2026/01/02;0300 UTC;0;970,9;971,3;970,8;;25;;26,2;25;;;;;;354;3,2;2,2;
2026/01/02;0400 UTC;0;970,6;971;970,6;;25,1;;25,1;24,8;;;;;;360;4;2,2;
2026/01/02;0500 UTC;0;969,6;970,6;969,6;;24,7;;25,2;24,7;;;;;;341;4,8;2,5;
2026/01/02;0600 UTC;0;969,1;969,6;969,1;;24,1;;24,7;23,9;;;;;;289;3,8;2,6;
2026/01/02;0700 UTC;0;969,8;969,9;969,1;;24;;24,3;24;;;;;;239;4,3;,9;
2026/01/02;0800 UTC;0;970;970;969,6;;24,1;;24,1;23,8;;;;;;326;3,5;1,3;
2026/01/02;0900 UTC;0;970;970,2;970;;24,1;;24,3;24;;;;;;235;2,7;,9;
2026/01/02;1000 UTC;,2;971,3;971,3;969,9;;23,9;;24,1;23,9;;;;;;243;3;,9;
2026/01/02;1100 UTC;0;972,1;972,1;971,3;;23,2;;24;23,2;;;;;;209;5,1;2,5;
2026/01/02;1200 UTC;0;973,1;973,1;972;;23,2;;23,4;23,2;;;;;;205;6,1;3,4;
2026/01/02;1300 UTC;0;973,4;973,5;973,1;;22,9;;23,2;22,9;;;;;;195;6,8;4,3;
2026/01/02;1400 UTC;0;973,8;973,8;973,4;;23,6;;23,6;22,8;;;;;;177;6,8;3,8;
2026/01/02;1500 UTC;0;973;973,8;973;;24,7;;24,8;23,6;;;;;;189;6,8;3,7;
2026/01/02;1600 UTC;0;971,2;973;971,2;;25,8;;25,9;24,7;;;;;;191;5,8;3,2;
2026/01/02;1700 UTC;0;969,6;971,2;969,6;;25,9;;26,1;25,3;;;;;;194;5,1;1,4;
2026/01/02;1800 UTC;0;967,7;969,6;967,7;;27,2;;27,2;25,9;;;;;;265;3,9;1,3;
2026/01/02;1900 UTC;0;966,2;967,7;966,2;;28,2;;28,2;27;;;;;;280;4,2;2,5;
2026/01/02;2000 UTC;0;966,2;966,2;966;;28,2;;28,6;27,8;;;;;;339;5,3;3,1;
2026/01/02;2100 UTC;0;967;967;966,1;;28,3;;28,5;28,1;;;;;;325;5,5;1,6;
2026/01/02;2200 UTC;0;968;968;967;;27,7;;28,3;27,7;;;;;;19;3;1;
2026/01/02;2300 UTC;0;968,7;968,7;968;;27,2;;27,7;27,1;;;;;;86;2,4;1;
2026/01/03;0000 UTC;0;969,8;969,8;968,7;;25,5;;27,2;25,5;;;;;;182;7,1;2,5;
2026/01/03;0100 UTC;2,6;970,9;970,9;969,8;;23,4;;25,5;22,6;;;;;;249;8,1;1,5;
