REGIAO:;CO
UF:;MT
ESTACAO:;ARIPUANA
CODIGO (WMO):;A964
LATITUDE:;-10,18249999
LONGITUDE:;-59,45972222
ALTITUDE:;230
DATA DE FUNDACAO:;23/02/26
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/02/23;0000 UTC;;;;;;;;;;;;;;;;;;
2026/02/23;0100 UTC;;;;;;;;;;;;;;;;;;
2026/02/23;0200 UTC;;;;;;;;;;;;;;;;;;
2026/02/23;0300 UTC;;;;;;;;;;;;;;;;;;
2026/02/23;0400 UTC;;;;;;;;;;;;;;;;;;
2026/02/23;0500 UTC;;;;;;;;;;;;;;;;;;
2026/02/23;0600 UTC;;;;;;;;;;;;;;;;;;
2026/02/23;0700 UTC;;;;;;;;;;;;;;;;;;
2026/02/23;0800 UTC;;;;;;;;;;;;;;;;;;
2026/02/23;0900 UTC;;;;;;;;;;;;;;;;;;
2026/02/23;1000 UTC;;;;;;;;;;;;;;;;;;
2026/02/23;1100 UTC;;;;;;;;;;;;;;;;;;
2026/02/23;1200 UTC;;;;;;;;;;;;;;;;;;
2026/02/23;1300 UTC;;;;;;;;;;;;;;;;;;
2026/02/23;1400 UTC;;;;;;;;;;;;;;;;;;
2026/02/23;1500 UTC;;;;;;;;;;;;;;;;;;
2026/02/23;1600 UTC;;;;;;;;;;;;;;;;;;
2026/02/23;1700 UTC;;;;;;;;;;;;;;;;;;
2026/02/23;1800 UTC;0;982,8;984,3;982,8;2772,2;;;;;;;9;8;;349;5,8;1,5;
2026/02/23;1900 UTC;0;981,8;982,8;981,8;2532;;;;;;;62;7;;340;5,5;1,2;
2026/02/23;2000 UTC;3,4;982;982;981,7;584,2;24,9;22,8;30,6;24,9;23;21,8;88;61;88;258;8;2,8;
2026/02/23;2100 UTC;23;982,8;982,8;982;128;23,6;22,5;24,9;23,3;23,3;22;93;88;93;356;5,4;,7;
2026/02/23;2200 UTC;7,8;983,8;983,8;982,8;29,3;23,3;21,9;23,6;22,6;22,4;21,4;93;92;92;18;8,1;2,2;
2026/02/23;2300 UTC;1,4;984,4;984,4;983,8;1,7;23,2;21,8;23,4;23,2;22;21,7;92;91;92;26;4;0;
2026/02/24;0000 UTC;,2;985;985;984,4;;23,3;22;23,3;23,2;22;21,8;93;92;92;317;1,3;0;
2026/02/24;0100 UTC;,4;985,6;985,6;985;;23,1;21,7;23,3;23,1;22;21,7;92;92;92;330;1,8;0;
2026/02/24;0200 UTC;,4;986,4;986,4;985,6;;23,2;21,9;23,3;23,1;21,9;21,7;92;92;92;29;1,8;0;
2026/02/24;0300 UTC;,4;986,4;986,6;986,4;;23,1;21,8;23,2;23,1;21,9;21,8;92;92;92;17;1,1;0;
2026/02/24;0400 UTC;,2;985,9;986,4;985,9;;23,2;21,9;23,2;23,1;21,9;21,8;93;92;93;225;0;0;
2026/02/24;0500 UTC;,2;985,8;985,9;985,8;;23,1;21,8;23,2;23;21,9;21,8;93;92;93;230;0;0;
2026/02/24;0600 UTC;;;;;;;;;;;;;;;;;;
2026/02/24;0700 UTC;0;985,2;985,4;985,2;;23;21,8;23,1;23;21,8;21,7;93;93;93;222;1,1;0;
2026/02/24;0800 UTC;,2;985;985,2;985;;23;21,7;23;22,9;21,8;21,7;93;92;93;220;1,1;0;
