REGIAO:;NE
UF:;BA
ESTACAO:;ITABERABA
CODIGO (WMO):;A408
LATITUDE:;-12,52416666
LONGITUDE:;-40,29972221
ALTITUDE:;250,11
DATA DE FUNDACAO:;29/01/03
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;985,6;985,6;984,6;;28,1;23,5;29,4;28,1;23,5;22,8;76;67;76;104;10,3;4,2;
2026/01/01;0100 UTC;0;986,4;986,4;985,6;;27,1;22,7;28,1;27,1;23,6;22,7;79;76;77;105;8,1;3,9;
2026/01/01;0200 UTC;0;986,2;986,5;986,1;;26,6;22,6;27,2;26,6;22,7;22;79;73;79;93;8;3,9;
2026/01/01;0300 UTC;0;985,7;986,2;985,7;;26;22,5;26,6;26;22,8;22,5;81;79;81;79;7,6;2,7;
2026/01/01;0400 UTC;0;985,1;985,7;985,1;;25,3;22,7;26;25,3;22,7;22,5;86;81;86;78;4,3;1,1;
2026/01/01;0500 UTC;0;984,5;985,1;984,5;;24,6;22,7;25,3;24,6;22,8;22,7;89;86;89;97;2,6;,8;
2026/01/01;0600 UTC;0;984,1;984,6;984,1;;24,3;22,8;24,6;24,2;22,8;22,7;92;89;92;121;1,9;1;
2026/01/01;0700 UTC;0;983,9;984,2;983,8;;24;22,8;24,3;23,9;22,8;22,6;93;91;93;94;2,5;1,3;
2026/01/01;0800 UTC;0;984,5;984,5;983,9;;24,2;23,2;24,2;24;23,2;22,8;94;93;94;114;3;1,1;
2026/01/01;0900 UTC;0;984,9;984,9;984,5;8,9;24,2;23,1;24,6;24,1;23,3;23,1;95;92;94;122;4,4;2,4;
2026/01/01;1000 UTC;0;985,4;985,4;984,9;117,6;24,5;23,4;24,5;23,8;23,6;23,1;97;94;94;100;4,8;1,2;
2026/01/01;1100 UTC;0;985,7;985,7;985,4;322,6;25,3;23,5;25,3;24,5;23,5;23,2;94;89;90;109;3,6;1,3;
2026/01/01;1200 UTC;0;985,9;986;985,7;987,4;27,5;22,9;27,5;25,3;23,7;22,4;90;76;76;126;2,8;1,1;
2026/01/01;1300 UTC;0;985,8;985,9;985,7;829,8;27,5;22,7;28,4;27;23,2;22,5;77;72;75;41;3,4;1,2;
