REGIAO:;NE
UF:;BA
ESTACAO:;CORRENTINA
CODIGO (WMO):;A416
LATITUDE:;-13,33249999
LONGITUDE:;-44,61749999
ALTITUDE:;551,71
DATA DE FUNDACAO:;09/11/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;;951;951,1;950,6;;23;22,2;23,6;23;22,3;22;95;92;95;301;3,6;,7;
2026/01/01;0100 UTC;;950,9;951;950,7;;22,5;22,1;23,1;22,5;22,3;22,1;98;95;98;42;1,9;,6;
2026/01/01;0200 UTC;;950,8;951;950,8;;22;22;22,5;21,9;22,1;21,9;100;97;100;330;1,5;,5;
2026/01/01;0300 UTC;;950,5;950,9;950,5;;21,8;21,8;22;21,8;22;21,8;100;100;100;294;2;1;
2026/01/01;0400 UTC;;950,2;950,5;950,2;;21,3;21,3;21,8;21,3;21,8;21,3;100;100;100;232;1,8;,5;
2026/01/01;0500 UTC;;949,3;950,2;949,2;;21;;21,4;21;21,4;21;100;100;;287;1,6;,5;
2026/01/01;0600 UTC;;948,9;949,3;948,9;;20,7;;21;20,7;;;;;;34;1,2;,2;
2026/01/01;0700 UTC;;949,1;949,3;948,8;;20,5;;20,7;20,5;;;;;;231;1,5;,2;
2026/01/01;0800 UTC;;949,8;949,8;949,1;;20,5;;20,7;20,4;;;;;;330;1,7;1,1;
2026/01/01;0900 UTC;;950,4;950,4;949,8;26,9;20,8;;20,8;20,5;;;;;;65;1,7;,6;
