REGIAO:;NE
UF:;BA
ESTACAO:;SENHOR DO BONFIM
CODIGO (WMO):;A428
LATITUDE:;-10,44305555
LONGITUDE:;-40,14833333
ALTITUDE:;532,09
DATA DE FUNDACAO:;27/03/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;;953,7;953,7;953;;26,1;16,8;27,4;26;16,8;16,3;57;52;57;202;3,1;1,5;
2026/01/01;0100 UTC;;953,9;953,9;953,6;;27,1;17,1;27,1;26;17,1;16,7;57;55;55;142;7,8;3,2;
2026/01/01;0200 UTC;;954,5;954,5;953,9;;25,8;18,1;27,1;25,7;18,1;16,8;63;54;63;97;7,8;2,2;
2026/01/01;0300 UTC;;954,1;954,5;954;;24,9;18,4;25,9;24,9;18,4;18,2;67;63;67;61;6,2;1,4;
2026/01/01;0400 UTC;;953,7;954,1;953,6;;23,8;18,3;24,9;23,8;18,5;18,2;71;67;71;102;3,4;1,3;
2026/01/01;0500 UTC;;952,8;953,7;952,8;;23;17,9;23,8;23;18,2;17,9;73;71;73;145;2,9;,7;
2026/01/01;0600 UTC;;952,4;952,8;952,4;;22,6;17,9;23,1;22,4;18,1;17,7;75;73;75;199;1,8;,6;
2026/01/01;0700 UTC;;952,4;952,5;952,4;;21,8;17,4;22,6;21,8;17,9;17,4;76;75;76;241;1,7;,7;
2026/01/01;0800 UTC;;952,6;952,6;952,4;;22,4;18,2;22,4;21,8;18,2;17,5;78;76;77;152;2,3;1,3;
2026/01/01;0900 UTC;;953,3;953,3;952,6;37,7;22,1;18,3;22,4;21,7;18,3;17,7;79;77;79;203;2;1,2;
2026/01/01;1000 UTC;;953,2;953,3;953,1;306,6;23,4;19;23,6;22,1;19,3;18,3;79;76;76;191;1,9;1,2;
