REGIAO:;NE
UF:;CE
ESTACAO:;JAGUARUANA
CODIGO (WMO):;A339
LATITUDE:;-4,83777777
LONGITUDE:;-37,69972221
ALTITUDE:;12
DATA DE FUNDACAO:;10/11/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;;1010,2;1010,3;1009,9;;26,9;21,2;27,1;26,9;21,2;21;71;70;71;52;6,2;3,2;
2026/01/01;0100 UTC;;1010,5;1010,5;1010,2;;26,6;21,4;26,9;26,5;21,4;21,2;73;71;73;59;6,2;3,4;
2026/01/01;0200 UTC;;1010,2;1010,5;1010,2;;26,6;21,5;26,6;26,5;21,5;21,4;74;73;74;64;5,5;2,9;
2026/01/01;0300 UTC;;1009,9;1010,2;1009,9;;26,6;21,6;26,6;26,6;21,6;21,5;74;74;74;60;4,9;2,6;
2026/01/01;0400 UTC;;1008,9;1009,9;1008,9;;26,3;21,4;26,6;26,3;21,6;21,4;74;74;74;74;5;2,1;
2026/01/01;0500 UTC;;1008,3;1008,9;1008,3;;26;21,3;26,4;26;21,4;21,3;75;74;75;68;3,9;1,8;
2026/01/01;0600 UTC;;1007,8;1008,3;1007,8;;25,6;21,2;26;25,6;21,3;21,2;77;75;77;72;2,8;1,4;
2026/01/01;0700 UTC;;1007,8;1007,9;1007,6;;25,3;21;25,6;25,3;21,2;21;78;77;77;95;3,1;1,8;
2026/01/01;0800 UTC;;1008,1;1008,2;1007,8;;25,1;21;25,3;25;21;20,8;78;77;78;110;3;1,4;
2026/01/01;0900 UTC;;1008,5;1008,5;1008,1;42,5;25,2;21,1;25,2;25,1;21,1;21;78;78;78;97;3,5;1,8;
