REGIAO:;NE
UF:;MA
ESTACAO:;CAXIAS
CODIGO (WMO):;A237
LATITUDE:;-4,82138888
LONGITUDE:;-43,3436111
ALTITUDE:;84,85
DATA DE FUNDACAO:;13/07/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;1003;1003;1002,5;;;;;;;;83;75;83;179;2,4;,4;
2026/01/01;0100 UTC;0;1003,5;1003,5;1002,9;;;;;;;;83;76;76;356;3,6;1,6;
2026/01/01;0200 UTC;0;1003,6;1003,7;1003,3;;;;;;;;76;70;72;346;7,7;3;
2026/01/01;0300 UTC;0;1003,3;1003,9;1003,3;;;;;;;;76;72;76;342;7,4;2,9;
2026/01/01;0400 UTC;0;1003,1;1003,4;1003,1;;;;;;;;79;76;79;357;5,1;1,7;
2026/01/01;0500 UTC;0;1002,2;1003,1;1002,2;;;;;;;;82;79;82;8;3,3;,6;
2026/01/01;0600 UTC;0;1001,7;1002,2;1001,7;;;;;;;;84;82;84;290;1,9;1,1;
2026/01/01;0700 UTC;0;1001,7;1001,7;1001,5;;;;;;;;86;84;85;325;2,2;,9;
2026/01/01;0800 UTC;0;1002,1;1002,1;1001,6;;;;;;;;89;85;89;36;1,9;,5;
2026/01/01;0900 UTC;0;1002,1;1002,2;1002,1;2,2;;;;;;;90;88;89;326;1,7;,8;
2026/01/01;1000 UTC;0;1002,3;1002,4;1002,1;327,3;;;;;;;90;82;82;17;4,1;2;
2026/01/01;1100 UTC;0;1003,1;1003,1;1002,3;828,6;;;;;;;82;74;74;18;6,2;2,7;
2026/01/01;1200 UTC;0;1003,8;1003,9;1003,1;1063,5;;;;;;;76;65;68;32;6,3;2,2;
2026/01/01;1300 UTC;0;1003,9;1004,1;1003,8;1621,7;;;;;;;68;58;58;58;6;1,8;
2026/01/01;1400 UTC;0;1003,1;1003,9;1003,1;2986,4;;;;;;;59;51;52;39;7,6;2,6;
2026/01/01;1500 UTC;0;1002,5;1003,1;1002,5;2808,9;;;;;;;56;48;49;69;7,6;2,1;
2026/01/01;1600 UTC;0;1001,6;1002,5;1001,6;2320,7;;;;;;;53;47;50;38;5,3;1,5;
2026/01/01;1700 UTC;0;1000,4;1001,6;1000,4;1962,8;;;;;;;54;47;47;297;4,2;1,1;
2026/01/01;1800 UTC;0;999,6;1000,4;999,6;1768,7;;;;;;;55;45;47;101;4,6;,6;
2026/01/01;1900 UTC;0;999,2;999,6;999,2;1500,5;;;;;;;51;43;50;54;3,2;,7;
2026/01/01;2000 UTC;0;999,2;999,2;999,1;856;;;;;;;54;48;50;293;3;1,1;
2026/01/01;2100 UTC;0;999,4;999,5;999,2;180;;;;;;;65;50;64;233;2,4;1,1;
2026/01/01;2200 UTC;0;1000;1000;999,4;;;;;;;;74;63;65;186;4,1;2,2;
2026/01/01;2300 UTC;0;1000,5;1000,5;1000;;;;;;;;72;65;72;196;4,1;,9;
2026/01/02;0000 UTC;0;1001;1001,1;1000,5;;;;;;;;79;72;79;229;1,9;,6;
2026/01/02;0100 UTC;0;1001,5;1001,5;1001;;;;;;;;83;79;83;350;1,4;,6;
2026/01/02;0200 UTC;0;1002,2;1002,3;1001,5;;;;;;;;86;72;72;347;5,5;2,4;
2026/01/02;0300 UTC;0;1001,9;1002,3;1001,9;;;;;;;;73;70;73;337;4,7;1,8;
2026/01/02;0400 UTC;0;1001;1001,9;1001;;;;;;;;75;73;75;341;5,8;2,3;
2026/01/02;0500 UTC;0;1000,3;1001;1000,3;;;;;;;;81;75;81;330;4,4;1,5;
2026/01/02;0600 UTC;0;1000,2;1000,4;1000,2;;;;;;;;85;81;84;348;2,9;1,1;
2026/01/02;0700 UTC;0;999,9;1000,3;999,9;;;;;;;;85;84;85;320;2,3;1,5;
2026/01/02;0800 UTC;0;1000,6;1000,6;999,9;;;;;;;;86;85;86;302;2,3;,7;
2026/01/02;0900 UTC;0;1001;1001;1000,6;1,1;;;;;;;88;86;88;18;1,4;,5;
2026/01/02;1000 UTC;0;1001,6;1001,6;1001;278,9;;;;;;;89;83;83;359;4,9;1,9;
2026/01/02;1100 UTC;0;1001,6;1001,8;1001,5;887,7;;;;;;;83;75;77;3;8,4;4;
