REGIAO:;NE
UF:;MA
ESTACAO:;BURITICUPU
CODIGO (WMO):;A238
LATITUDE:;-4,32055554
LONGITUDE:;-46,44944444
ALTITUDE:;174,91
DATA DE FUNDACAO:;11/09/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;992,3;992,3;991,9;;27,3;23;27,9;27,3;23,1;22,8;78;74;77;;;;
2026/01/01;0100 UTC;0;992,8;992,9;992,3;;26,2;23,1;27,3;26,2;23,1;22,9;83;77;83;;;;
2026/01/01;0200 UTC;0;992,8;993;992,8;;26,3;22,9;26,6;26,1;23,2;22,8;84;81;82;;;;
2026/01/01;0300 UTC;0;992,4;992,9;992,4;;25,7;22,9;26,5;25,7;23;22,8;84;81;84;;;;
2026/01/01;0400 UTC;0;992,4;992,6;992,4;;25,2;22,7;25,8;25,2;22,9;22,7;86;84;86;;;;
2026/01/01;0500 UTC;0;991,8;992,4;991,8;;25;22,1;25,2;24,9;22,7;22,1;86;84;84;;;;
2026/01/01;0600 UTC;0;991,3;991,8;991,3;;24,7;22,4;25,1;24,7;22,4;22,1;87;84;87;;;;
2026/01/01;0700 UTC;0;991,5;991,5;991,1;;24,3;22,5;24,7;24,3;22,5;22,4;90;87;90;;;;
2026/01/01;0800 UTC;0;991,2;991,5;991,2;;23,9;22,5;24,3;23,9;22,5;22,5;92;90;92;;;;
2026/01/01;0900 UTC;0;991,5;991,5;991,2;;23,5;22,4;23,9;23,5;22,6;22,4;94;92;94;;;;
2026/01/01;1000 UTC;0;992,3;992,3;991,5;194;24,3;22,8;24,3;23,5;23;22,5;94;92;92;;;;
2026/01/01;1100 UTC;0;992,7;992,7;992,3;617,8;25,1;22,8;25,3;24,3;23,2;22,6;92;87;87;;;;
2026/01/01;1200 UTC;0;993,2;993,2;992,7;945,2;26,2;22,5;26,2;25,1;23,2;22,4;88;80;80;;;;
2026/01/01;1300 UTC;0;993,4;993,5;993,2;1673,3;28;22,4;28,4;26,2;23,2;22;80;71;72;;;;
2026/01/01;1400 UTC;0;993;993,4;993;1982,7;29,4;21,7;30;27,6;23,5;21,7;73;63;63;;;;
2026/01/01;1500 UTC;0;992,4;993;992,4;1647,5;29,5;21,3;30;29;22,5;21,3;66;61;61;;;;
2026/01/01;1600 UTC;0;991,5;992,4;991,5;1896,6;30;21,8;30,9;29,3;23,1;21,3;65;59;61;;;;
