REGIAO:;NE
UF:;PB
ESTACAO:;CAMPINA GRANDE
CODIGO (WMO):;A313
LATITUDE:;-7,22555554
LONGITUDE:;-35,90472222
ALTITUDE:;546,17
DATA DE FUNDACAO:;22/12/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;954,7;954,7;953,9;;23,1;20,5;23,7;23,1;20,5;20,1;85;80;85;63;10,8;4,7;
2026/01/01;0100 UTC;0;954,8;954,9;954,7;;22,8;21;23,2;22,7;21;20,5;89;85;89;152;8,8;5;
2026/01/01;0200 UTC;0;954,2;954,8;954,2;;22,4;21,2;22,8;22,3;21,2;20,9;93;89;93;178;8,8;4,4;
2026/01/01;0300 UTC;0;953,8;954,3;953,8;;22,3;21,3;22,5;22,3;21,3;21,2;94;93;94;159;7,5;3,9;
2026/01/01;0400 UTC;0;953,4;953,8;953,4;;22,1;21,3;22,4;22,1;21,4;21,2;95;94;95;186;6,4;3,1;
2026/01/01;0500 UTC;0;952,9;953,4;952,9;;22;21,2;22,2;22;21,3;21,2;95;95;95;176;5,8;2,5;
2026/01/01;0600 UTC;0;952,3;952,9;952,3;;22,1;21,3;22,2;22;21,3;21,2;95;94;95;169;6,5;3,2;
2026/01/01;0700 UTC;0;952,1;952,3;952;;22,2;21,1;22,2;22;21,3;21,1;95;94;94;166;6;3,1;
2026/01/01;0800 UTC;0;952,4;952,4;952;;22;21,2;22,2;21,9;21,3;21,1;96;94;95;349;7;2,8;
2026/01/01;0900 UTC;0;952,9;952,9;952,4;70,8;22,2;21,2;22,2;22;21,3;21,1;95;94;94;3;6,3;2,6;
2026/01/01;1000 UTC;0;952,9;953;952,8;359,1;23;21;23,1;22,1;21,4;20,9;94;88;88;9;6,2;2,9;
2026/01/01;1100 UTC;0;953,4;953,4;952,8;891,2;24;20,5;24,5;22,9;21,4;20,2;88;79;81;41;7,5;3,7;
2026/01/01;1200 UTC;0;953,4;953,5;953,3;1661,5;26,4;20,8;26,6;24;20,8;19,9;81;70;71;6;7,6;3,4;
2026/01/01;1300 UTC;0;953,2;953,4;953,2;2700;28,1;19,7;28,8;26,3;21,1;19,4;71;60;61;359;7,6;3,3;
2026/01/01;1400 UTC;0;952,3;953,2;952,3;2419,8;29,5;20,1;29,5;27,3;20,1;19,1;62;57;57;184;7,5;3,7;
2026/01/01;1500 UTC;0;951,7;952,4;951,7;3310,7;30,6;19,5;30,6;28,7;20,1;18,8;58;51;52;174;7,6;3,3;
2026/01/01;1600 UTC;0;950,9;951,7;950,9;1975,3;29,9;18,4;31,1;29,5;19,7;18,4;53;49;50;192;7,6;3,9;
2026/01/01;1700 UTC;0;949,8;950,9;949,8;3101,9;31,5;18,6;32,5;29,8;18,9;18;51;44;46;347;7,6;3;
2026/01/01;1800 UTC;0;949,2;949,9;949,2;2573,3;31,6;17,9;32,6;30,9;18,9;17,6;47;42;44;216;8,4;3,4;
2026/01/01;1900 UTC;0;949,3;949,3;949,2;1856,4;31,3;19,5;32;30,7;19,5;18,2;50;44;50;357;9;2,8;
2026/01/01;2000 UTC;0;949,7;949,7;949,2;795,4;28,5;19,8;31,3;28,4;20;19,5;60;50;60;55;9,3;4,2;
2026/01/01;2100 UTC;0;950,2;950,2;949,7;78,2;26,5;19,7;28,5;26,5;19,9;19,5;66;59;66;67;10,4;4,9;
2026/01/01;2200 UTC;0;951;951;950,2;;25;20,1;26,5;24,9;20,2;19,7;75;66;74;100;10,7;4,4;
2026/01/01;2300 UTC;0;951,7;951,7;951;;23,8;20,3;25;23,8;20,3;20;81;74;81;103;10,9;4,8;
2026/01/02;0000 UTC;0;952,2;952,2;951,7;;23,1;20,9;23,8;23;20,9;20,3;88;81;88;21;11,4;4;
2026/01/02;0100 UTC;0;952,1;952,2;952;;22,5;20,8;23,1;22,5;20,9;20,6;90;87;90;46;11,6;5,1;
2026/01/02;0200 UTC;0;952,1;952,2;951,9;;22,4;20,8;22,6;22,4;21,1;20,7;91;90;91;8;9,3;3,9;
2026/01/02;0300 UTC;0;951,5;952,1;951,5;;22,3;20,8;22,6;22,3;21,2;20,8;92;91;91;11;7,2;3;
