REGIAO:;NE
UF:;PB
ESTACAO:;CABACEIRAS
CODIGO (WMO):;A348
LATITUDE:;-7,48333333
LONGITUDE:;-36,28638888
ALTITUDE:;391,96
DATA DE FUNDACAO:;28/02/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;971;971;970,2;;25,5;18,7;26,5;25,5;18,7;18,2;66;60;66;142;11,2;4,8;
2026/01/01;0100 UTC;0;971,1;971,2;971;;24,6;19,1;25,5;24,6;19,1;18,7;72;66;72;144;8,4;5,1;
2026/01/01;0200 UTC;0;971;971,3;971;;24,3;19,2;24,6;24,3;19,2;19,1;73;72;73;144;7,7;3,2;
2026/01/01;0300 UTC;0;970,4;971;970,4;;24;19,4;24,3;24;19,5;19,2;76;73;76;147;5,9;3,6;
2026/01/01;0400 UTC;0;970;970,4;970;;23,9;19,8;24,1;23,8;19,8;19,4;78;76;78;110;5,9;2,4;
2026/01/01;0500 UTC;0;969,3;970;969,3;;24,1;19,5;24,1;23,9;19,9;19,5;78;76;76;142;5,7;2,7;
2026/01/01;0600 UTC;0;968,6;969,3;968,6;;23,8;19,5;24,2;23,8;19,6;19,4;77;75;77;134;5,4;2,6;
2026/01/01;0700 UTC;0;968,6;968,6;968,5;;23,9;19,7;23,9;23,8;19,7;19,5;77;77;77;133;4,5;2,2;
2026/01/01;0800 UTC;0;968,9;968,9;968,6;;23,6;19,9;23,9;23,6;20;19,6;80;77;80;158;4,4;2,1;
2026/01/01;0900 UTC;0;969,2;969,2;968,9;88;23,7;19,9;23,7;23,5;19,9;19,7;80;79;79;136;4,3;2;
2026/01/01;1000 UTC;0;969,5;969,5;969,2;472,6;24,8;19,2;24,8;23,7;19,9;19,2;79;71;71;110;5;3,2;
2026/01/01;1100 UTC;0;969,6;969,7;969,4;1037;27,4;18,9;27,4;24,7;19,2;18,7;71;60;60;122;7,3;3,3;
2026/01/01;1200 UTC;0;969,8;969,9;969,6;1038,1;27,2;18,2;27,5;26,4;18,9;18,2;62;57;58;136;7,9;3,7;
2026/01/01;1300 UTC;0;969,3;969,8;969,2;2480,5;29,8;17,3;30,4;27,2;18,4;17,1;58;46;47;128;7,5;4,5;
2026/01/01;1400 UTC;0;968,6;969,3;968,6;1080,9;30,7;17,1;30,7;29;17,4;16,8;49;44;44;141;7,6;2,9;
2026/01/01;1500 UTC;0;967,7;968,6;967,7;1251,6;31,4;16,1;31,5;30,2;16,9;15,8;45;40;40;130;6,2;1,8;
2026/01/01;1600 UTC;0;966,7;967,7;966,7;1310,8;33,5;15,7;33,5;31,1;16,1;15,6;40;34;34;92;7,1;3,4;
2026/01/01;1700 UTC;0;965,7;966,7;965,6;2983,5;35;14,9;35;33,1;15,4;14,3;34;30;30;113;7,3;4,1;
2026/01/01;1800 UTC;0;964,9;965,7;964,9;1974,9;34,8;13,3;35,2;33,2;14,7;13,3;31;27;27;69;7,8;2,5;
2026/01/01;1900 UTC;0;964,6;964,9;964,5;1359,6;34,4;13,7;35,1;33,8;13,8;12;29;25;29;128;6,5;3,6;
2026/01/01;2000 UTC;0;964,9;964,9;964,6;728;33,1;14;34,4;33;14,1;13,1;32;28;32;141;7,8;5,1;
2026/01/01;2100 UTC;0;965,6;965,7;964,8;93,5;29,8;17,4;33,1;29,8;17,4;14;47;32;47;121;11,3;5,9;
2026/01/01;2200 UTC;0;966,6;966,6;965,6;;28,3;17,6;29,8;28,3;17,6;17,4;52;47;52;119;11,1;5,7;
2026/01/01;2300 UTC;0;967,6;967,6;966,6;;26,7;18,1;28,3;26,6;18,2;17,6;60;52;60;128;10,4;5,8;
2026/01/02;0000 UTC;0;968,5;968,5;967,6;;25,5;18,5;26,7;25,5;18,5;18;65;60;65;116;10,1;4,4;
2026/01/02;0100 UTC;0;968,8;968,8;968,5;;24,7;18,9;25,5;24,7;18,9;18,1;71;65;71;129;8,8;3,4;
2026/01/02;0200 UTC;0;968,7;968,9;968,5;;24,4;18,6;24,7;24,4;18,9;18,6;71;70;70;119;7,7;3,5;
2026/01/02;0300 UTC;0;968,2;968,7;968,2;;24,1;18,6;24,5;24,1;18,6;18,3;71;69;71;124;6,8;2,8;
2026/01/02;0400 UTC;0;967,6;968,2;967,5;;24;18,8;24,2;24;18,9;18,6;73;71;73;123;6,3;2,8;
2026/01/02;0500 UTC;0;967,3;967,6;967,3;;23,7;18,9;24;23,7;18,9;18,8;74;73;74;132;5,4;1,6;
2026/01/02;0600 UTC;0;967;967,3;967;;23,3;18,8;23,8;23,3;19,1;18,8;76;74;76;135;3;,4;
2026/01/02;0700 UTC;0;966,9;967;966,8;;23;19,1;23,3;23;19,1;18,6;78;76;78;138;1,9;1;
2026/01/02;0800 UTC;0;967,4;967,4;966,7;;22,1;18,4;23;22,1;19,1;18,4;81;78;80;35;2,2;,7;
2026/01/02;0900 UTC;0;968;968;967,4;70,9;22,3;18,8;22,3;21,7;18,8;18,2;81;80;81;61;1,5;,6;
