REGIAO:;NE
UF:;PE
ESTACAO:;IBIMIRIM
CODIGO (WMO):;A349
LATITUDE:;-8,50944444
LONGITUDE:;-37,71166666
ALTITUDE:;434,23
DATA DE FUNDACAO:;14/10/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;964,8;964,8;964,3;;27,6;19,6;28,3;27,5;20,2;19,2;64;59;62;31;5,3;1,4;
2026/01/01;0100 UTC;0;964,9;964,9;964,8;;26,1;18,9;27,6;26,1;19,7;18,9;65;61;65;202;2,7;,9;
2026/01/01;0200 UTC;0;965,2;965,2;964,9;;26,9;18;26,9;25,6;19,2;17,9;68;58;58;112;4,6;2,3;
2026/01/01;0300 UTC;0;965,1;965,2;965,1;;26,6;18,9;26,9;26,1;19;17,8;63;58;63;64;5,2;2,7;
2026/01/01;0400 UTC;0;964,6;965,1;964,6;;25,5;18,6;26,6;25,5;18,9;18,5;66;61;65;54;8,4;3,6;
2026/01/01;0500 UTC;0;964,2;964,7;964,2;;24,8;18,3;25,5;24,8;19;18;69;65;67;56;7,7;3,3;
2026/01/01;0600 UTC;0;963,8;964,2;963,7;;24,2;18,8;24,8;24,1;18,8;18,1;72;67;72;60;8;3,5;
2026/01/01;0700 UTC;0;963,8;963,8;963,6;;23,7;18,4;24,2;23,7;18,8;18,2;73;70;72;61;7,7;3;
2026/01/01;0800 UTC;0;964,2;964,2;963,8;;23,3;18,5;23,7;23,3;18,7;18,2;74;72;74;69;6,2;1,9;
2026/01/01;0900 UTC;0;964,7;964,7;964,2;53;24;19,1;24;23,3;19,1;18,5;74;73;74;66;5,8;2,1;
2026/01/01;1000 UTC;0;964,8;964,9;964,7;801,9;25,4;19,1;25,5;24;19,2;18,8;74;67;68;54;5,9;2,8;
