REGIAO:;NE
UF:;PE
ESTACAO:;OURICURI
CODIGO (WMO):;A366
LATITUDE:;-7,88583333
LONGITUDE:;-40,10277777
ALTITUDE:;457,85
DATA DE FUNDACAO:;11/08/10
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;;960,9;961,1;960,7;;29,4;16,2;29,8;29,1;16,3;15,8;45;43;45;12;4,8;2,7;
2026/01/01;0100 UTC;;961,9;961,9;960,9;;28,1;16,7;29,3;28;16,8;16,2;50;45;50;322;6,6;3,7;
2026/01/01;0200 UTC;;961,9;962,2;961,9;;27,4;16,9;28;27,4;16,9;16,7;53;50;53;333;6,6;2,3;
2026/01/01;0300 UTC;;961,2;961,9;961,2;;26,1;16,7;27,5;26,1;17;16,6;56;53;56;276;3,5;,7;
2026/01/01;0400 UTC;;960,6;961,2;960,6;;25,4;17,1;26,1;25,4;17,1;16,7;60;56;60;232;2,1;1,4;
2026/01/01;0500 UTC;;959,8;960,6;959,8;;24,7;17,4;25,4;24,7;17,4;16,9;64;60;64;259;2,1;1,4;
2026/01/01;0600 UTC;;960,2;960,2;959,8;;25,7;17;25,9;24,7;17,7;17;64;58;59;144;5,4;1;
2026/01/01;0700 UTC;;960,4;960,4;960,2;;25,8;16,7;26;25,5;17,4;16,7;60;57;57;163;3,5;1,3;
2026/01/01;0800 UTC;;960,8;960,8;960,4;;25,9;17,4;25,9;25,7;17,6;16,7;60;57;60;335;2,6;1,2;
2026/01/01;0900 UTC;;961,3;961,3;960,8;39;25,8;18,2;25,9;25,6;18,2;17,1;63;59;63;338;3,6;2;
