REGIAO:;NE
UF:;RN
ESTACAO:;NATAL
CODIGO (WMO):;A304
LATITUDE:;-5,83722221
LONGITUDE:;-35,20805555
ALTITUDE:;47,46
DATA DE FUNDACAO:;24/02/03
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;1010;1010;1009,5;0;26,8;23,4;27;26,8;23,7;23;82;79;81;;;;
2026/01/01;0100 UTC;0;1009,9;1010,1;1009,9;0;26,8;23,4;27;26,7;23,6;23,3;82;81;82;;;;
2026/01/01;0200 UTC;0;1009,3;1009,9;1009,3;0;26,8;23,4;26,8;26,7;23,7;23,2;83;81;81;;;;
2026/01/01;0300 UTC;0;1008,9;1009,3;1008,9;0;26,8;23,7;26,9;26,7;23,8;23,4;84;81;83;;;;
2026/01/01;0400 UTC;0;1008,1;1008,9;1008,1;0;26,6;23,2;26,8;26,6;23,7;23;83;80;82;;;;
2026/01/01;0500 UTC;0;1007,7;1008,1;1007,6;0;26,4;23,3;26,6;26,4;23,4;23,1;83;81;83;;;;
2026/01/01;0600 UTC;0;1007,2;1007,7;1007,2;0;26,4;23,1;26,6;26,3;23,3;23;83;82;82;;;;
2026/01/01;0700 UTC;0;1007,2;1007,2;1007;0;26,3;23,2;26,4;26,2;23,2;22,8;83;81;83;;;;
2026/01/01;0800 UTC;0;1007,7;1007,7;1007,2;0;26,3;22,8;26,4;26,2;23,2;22,6;83;81;81;;;;
2026/01/01;0900 UTC;0;1008;1008;1007,6;122,2;27;23,3;27;26,1;23,3;22,8;82;80;80;;;;
2026/01/01;1000 UTC;0;1008,2;1008,3;1008;746;27,9;23,2;27,9;27;23,4;22,8;80;75;76;;;;
2026/01/01;1100 UTC;0;1008,7;1008,7;1008,2;1702,5;28,5;23;29;27,7;23,4;22,5;76;70;72;;;;
2026/01/01;1200 UTC;0;1008,8;1008,9;1008,7;2351,6;29,3;23,3;29,9;28;23,9;22,6;75;68;70;;;;
2026/01/01;1300 UTC;0;1008,6;1008,8;1008,6;2861,5;29,2;23,4;30,8;28,9;23,8;22,6;72;64;71;;;;
2026/01/01;1400 UTC;0;1008,4;1008,6;1008,3;3539;30,3;23,4;30,9;29,1;23,9;22,7;72;64;67;;;;
2026/01/01;1500 UTC;0;1007,7;1008,4;1007,6;3450,2;30,3;23,3;30,9;29,5;23,6;22,6;69;63;66;;;;
2026/01/01;1600 UTC;0;1007;1007,7;1007;3100,6;30,8;24;31,8;29,3;24,2;22,6;70;62;67;;;;
2026/01/01;1700 UTC;0;1006,2;1007;1006,2;2630,8;30,6;23,1;31,3;29,2;24,2;22,7;72;64;64;;;;
2026/01/01;1800 UTC;0;1005,6;1006,2;1005,6;2059;29,5;23,4;30,7;28,7;23,7;22,6;73;64;70;;;;
2026/01/01;1900 UTC;0;1005,6;1005,6;1005,5;1479,9;28,6;23,2;29,9;28,5;23,8;23,1;74;69;72;;;;
2026/01/01;2000 UTC;0;1005,8;1005,8;1005,5;693;27,7;22,9;29,1;27,7;23,6;22,8;75;71;75;;;;
2026/01/01;2100 UTC;0;1006,1;1006,1;1005,8;56,8;26,9;23,2;27,7;26,9;23,2;22,9;80;75;80;;;;
