REGIAO:;NE
UF:;RN
ESTACAO:;IPANGUACU
CODIGO (WMO):;A372
LATITUDE:;-5,53499999
LONGITUDE:;-36,87222221
ALTITUDE:;19
DATA DE FUNDACAO:;08/11/17
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;1012,6;1012,6;1011,8;;27,7;19,9;28,4;27,7;20,3;19,8;63;60;63;46;6,3;2,2;
2026/01/01;0100 UTC;0;1012,8;1012,9;1012,6;;26,9;19,9;27,7;26,9;20;19,9;66;63;66;63;5;1;
2026/01/01;0200 UTC;0;1012,6;1012,9;1012,6;;26,6;20,3;26,9;26,6;20,3;19,9;69;66;69;86;3,6;1,5;
2026/01/01;0300 UTC;0;1012,3;1012,7;1012,3;;26,6;21;26,6;26,4;21;20,3;71;69;71;80;4,1;2,2;
2026/01/01;0400 UTC;0;1011,5;1012,3;1011,5;;26,4;21,5;26,6;26,4;21,5;21;74;71;74;79;4,2;,7;
2026/01/01;0500 UTC;0;1010,9;1011,5;1010,9;;26,2;21,7;26,4;26,2;21,7;21,5;76;74;76;66;3,1;1,1;
2026/01/01;0600 UTC;0;1010,4;1010,9;1010,4;;25,7;21,7;26,2;25,7;21,8;21,7;78;76;78;89;3,1;,7;
2026/01/01;0700 UTC;0;1010,3;1010,4;1010,3;;24,4;21,4;25,7;24,4;21,7;21,2;83;78;83;104;1,9;0;
2026/01/01;0800 UTC;0;1010,7;1010,7;1010,3;;24,6;21,5;25;24,5;21,7;21,5;83;82;83;98;1,6;,2;
2026/01/01;0900 UTC;0;1011,1;1011,1;1010,7;88,5;24,6;21,7;24,6;23,8;21,7;21;85;83;84;96;1,7;,4;
2026/01/01;1000 UTC;0;1011,4;1011,4;1011,1;746;27,2;22,2;27,4;24,6;22,4;21,7;84;74;74;67;4,3;2;
2026/01/01;1100 UTC;0;1011,8;1011,8;1011,4;1010,1;29,2;21,8;29,3;27;22,4;21,6;74;65;65;72;5;2,8;
2026/01/01;1200 UTC;0;1011,5;1011,8;1011,5;2187,7;31,4;20,2;32;28,8;22;20;65;51;51;67;7,9;2,8;
2026/01/01;1300 UTC;0;1011;1011,5;1011;3002,3;32,8;19,6;33,5;30,9;20,6;19,6;52;46;46;86;8,7;3,3;
2026/01/01;1400 UTC;0;1010,3;1011;1010,3;3195,6;34,6;19,3;34,7;32,4;20,2;18,6;47;40;41;59;8,2;4;
2026/01/01;1500 UTC;0;1009,6;1010,4;1009,6;2320,3;33,2;20,6;35,4;33,1;20,7;18,3;48;38;48;11;10;6;
2026/01/01;1600 UTC;0;1008,8;1009,6;1008,8;2143,5;35,1;20,2;35,5;32,9;21,1;19,9;48;42;42;19;10;5,1;
2026/01/01;1700 UTC;0;1007,8;1008,8;1007,8;3260,5;33,9;20;35,5;33,9;20,8;19,3;44;41;44;4;11,1;7,4;
2026/01/01;1800 UTC;0;1007,4;1007,9;1007,4;2006,4;33,6;19,6;34,8;32,9;20,1;18,6;46;41;44;7;11,1;7,6;
2026/01/01;1900 UTC;0;1007,6;1007,6;1007,3;1772,9;32,5;19,5;33,9;32,1;19,8;18,6;47;42;46;14;11,6;7,4;
2026/01/01;2000 UTC;0;1007,9;1008;1007,5;535,1;30,3;20,7;32,6;30,3;20,7;18,8;57;46;57;17;11,3;5,5;
2026/01/01;2100 UTC;0;1008,5;1008,5;1007,9;73,1;28,8;21;30,3;28,8;21;20,2;63;56;63;15;10,8;5,8;
2026/01/01;2200 UTC;0;1009,4;1009,4;1008,5;;28;22;28,8;28;22;21;70;63;70;21;9,8;4,6;
2026/01/01;2300 UTC;0;1010;1010;1009,4;;27,3;21,9;28;27,3;22;21,9;73;70;73;27;7,8;4,1;
2026/01/02;0000 UTC;0;1010,5;1010,5;1010;;26,9;22;27,3;26,9;22,1;21,9;75;73;75;28;7,4;3,7;
2026/01/02;0100 UTC;0;1010,6;1010,6;1010,5;;26,5;21,8;26,9;26,5;22,1;21,8;76;75;75;35;6,6;2,2;
2026/01/02;0200 UTC;0;1010,1;1010,6;1010,1;;26;21,3;26,5;26;21,7;21,3;76;75;76;51;4,3;2,1;
2026/01/02;0300 UTC;0;1009,9;1010,3;1009,9;;25,1;21,3;26;25,1;21,3;21,2;79;76;79;51;4;,4;
2026/01/02;0400 UTC;0;1009,3;1009,9;1009,3;;23,4;20,7;25,1;23,4;21,3;20,7;85;79;85;120;2;0;
2026/01/02;0500 UTC;0;1009;1009,3;1009;;23;20,7;23,4;22,9;21,1;20,7;88;85;87;144;1,4;0;
2026/01/02;0600 UTC;0;1009;1009,1;1009;;23,1;21,1;23,2;22,5;21,3;20,6;90;87;89;154;1,2;,1;
2026/01/02;0700 UTC;0;1008,9;1009;1008,8;;23;21,1;23,4;22,7;21,3;20,8;90;87;89;208;1,2;0;
2026/01/02;0800 UTC;0;1009,2;1009,2;1008,9;;24,2;21,7;24,2;22,9;21,7;21;89;85;86;45;2,2;,9;
2026/01/02;0900 UTC;0;1010;1010;1009,2;58,4;24;21,6;24,2;23,9;21,7;21,5;87;86;87;61;2,5;0;
2026/01/02;1000 UTC;0;1010,4;1010,4;1009,9;699,5;27,1;22,6;27,2;24;22,8;21,7;87;76;76;70;4,4;1,8;
2026/01/02;1100 UTC;0;1010,4;1010,6;1010,3;1609,6;29,3;21,6;29,4;26,9;22,7;21,6;77;63;63;51;7,4;3,9;
2026/01/02;1200 UTC;0;1010,4;1010,6;1010,4;2432;31,4;20,8;31,6;29;21,7;20,6;64;53;53;70;8,2;3,6;
2026/01/02;1300 UTC;0;1010,1;1010,4;1010;3053,2;32,7;20;33;30,7;21,3;20;56;47;47;80;8,2;3,4;
2026/01/02;1400 UTC;0;1009,5;1010,1;1009,5;3337,9;34,4;19,6;34,4;32,6;20,3;19,3;48;42;42;40;8,4;3,8;
2026/01/02;1500 UTC;0;1008,9;1009,5;1008,9;2056,6;33,3;20,2;35,5;32,5;21;19,8;49;42;46;12;8,5;3,9;
2026/01/02;1600 UTC;0;1007,9;1008,9;1007,9;2606,1;33,9;21,6;35,8;32,3;22,2;19,9;53;44;48;15;10,3;5;
2026/01/02;1700 UTC;0;1007;1007,9;1006,9;3205,9;34;21,5;35,2;33,7;21,9;20,6;49;45;48;12;11,4;7,5;
2026/01/02;1800 UTC;0;1006,3;1007;1006,2;2056,3;32,4;20,5;34;32,3;21,8;20,3;50;47;49;26;13,8;6,9;
2026/01/02;1900 UTC;0;1006,4;1006,5;1006,3;1214,9;31,7;20;32,8;31,6;20,6;19,7;51;47;50;8;11,2;7,3;
2026/01/02;2000 UTC;0;1006,6;1006,6;1006,4;762,9;30,3;21;31,8;30,2;21;19,7;58;49;58;19;11,7;7;
