REGIAO:;N
UF:;AM
ESTACAO:;MANACAPURU
CODIGO (WMO):;A119
LATITUDE:;-3,29472221
LONGITUDE:;-60,62833332
ALTITUDE:;36,57
DATA DE FUNDACAO:;10/04/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;1007;1007;1005,9;0;25,9;22,3;26,7;25,9;22,4;22,2;80;76;80;236;3,8;1,8;
2026/01/01;0100 UTC;0;1007,4;1007,4;1007;0;25,9;22,3;25,9;25,8;22,3;22,3;81;80;80;236;3,8;,9;
2026/01/01;0200 UTC;0;1008,1;1008,1;1007,4;0;25,6;22,3;25,9;25,5;22,3;22,1;82;80;82;14;2,7;,8;
2026/01/01;0300 UTC;0;1008,2;1008,2;1007,9;0;25,2;22,2;25,6;25,2;22,3;22,2;83;82;83;236;2,4;,7;
2026/01/01;0400 UTC;0;1007,8;1008,2;1007,7;0;24,8;22,3;25,2;24,8;22,3;22,2;86;83;86;236;2,5;1,6;
2026/01/01;0500 UTC;0;1006,7;1007,8;1006,7;0;24,9;22,2;24,9;24,8;22,4;22,2;86;85;85;236;2,5;1,1;
2026/01/01;0600 UTC;0;1006;1006,7;1006;0;24,7;22,1;24,9;24,7;22,2;22;85;84;85;236;1,7;0;
2026/01/01;0700 UTC;0;1005,9;1006,1;1005,9;0;24,4;22,3;24,8;24,4;22,3;22;88;85;88;236;1,5;,2;
2026/01/01;0800 UTC;0;1005,7;1005,9;1005,7;0;24,1;22,3;24,4;24;22,4;22,2;90;88;90;236;1;0;
2026/01/01;0900 UTC;0;1005,7;1005,8;1005,6;0;23,9;22,4;24,2;23,9;22,5;22,3;91;90;91;236;,9;0;
2026/01/01;1000 UTC;0;1006,4;1006,4;1005,7;1,2;23,6;22,3;23,9;23,6;22,5;22,2;92;91;92;236;1,1;0;
