REGIAO:;N
UF:;AM
ESTACAO:;MANICORE
CODIGO (WMO):;A133
LATITUDE:;-5,7886111
LONGITUDE:;-61,28833333
ALTITUDE:;40,64
DATA DE FUNDACAO:;12/12/11
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;1006;1006;1005;;27,3;24,1;27,8;27,3;24,3;24;83;80;83;;;;
2026/01/01;0100 UTC;0;1006,8;1006,8;1006;;26,5;24;27,3;26,4;24,1;23,7;86;82;86;;;;
2026/01/01;0200 UTC;0;1006,8;1006,9;1006,7;;25,7;23,9;26,5;25,7;24,1;23,8;90;86;90;;;;
2026/01/01;0300 UTC;0;1006,9;1007;1006,8;;25,6;23,7;25,7;25,3;23,9;23,6;91;89;90;;;;
2026/01/01;0400 UTC;0;1007,3;1007,3;1006,9;;25,6;23,7;25,6;25,4;23,7;23,5;90;89;89;;;;
2026/01/01;0500 UTC;0;1006,7;1007,3;1006,7;;25,4;23,7;25,7;25,4;24;23,6;91;89;90;;;;
2026/01/01;0600 UTC;0;1006,2;1006,7;1006,1;;25;23,6;25,4;24,9;23,7;23,5;92;90;92;;;;
2026/01/01;0700 UTC;0;1005,6;1006,2;1005,6;;24,8;23,4;25;24,7;23,6;23,4;93;92;92;;;;
2026/01/01;0800 UTC;0;1005,1;1005,6;1004,9;;24,3;23,2;24,8;24,3;23,5;23,2;93;92;93;;;;
2026/01/01;0900 UTC;0;1005;1005,2;1005;;23,9;22,9;24,4;23,8;23,2;22,8;94;93;94;;;;
2026/01/01;1000 UTC;0;1005,8;1005,8;1005;;24;23;24;23,8;23;22,8;94;94;94;;;;
2026/01/01;1100 UTC;0;1006,7;1006,7;1005,8;147,8;24,6;23,5;24,6;23,9;23,5;23;94;93;93;;;;
2026/01/01;1200 UTC;0;1007,6;1007,6;1006,7;494,2;25,9;24,1;25,9;24,6;24,1;23,3;93;90;90;;;;
2026/01/01;1300 UTC;0;1008;1008;1007,6;744,8;27,2;24;27,2;25,9;24,5;23,6;90;82;82;;;;
2026/01/01;1400 UTC;0;1008,3;1008,3;1008;1663,9;29;24,3;29,1;27;25,1;23,2;83;73;76;;;;
2026/01/01;1500 UTC;0;1007,9;1008,4;1007,9;1947,3;29,9;24,6;30,3;28,5;25;23,5;77;71;74;;;;
2026/01/01;1600 UTC;0;1007,1;1007,9;1007,1;2699,5;31,3;24,3;31,7;29,9;25,4;23,3;74;66;66;;;;
2026/01/01;1700 UTC;0;1005,8;1007,1;1005,8;2290,9;31,1;24,2;31,8;30,7;25,1;23,5;70;64;67;;;;
2026/01/01;1800 UTC;0;1004,5;1005,8;1004,5;2340,7;32,2;24;33,2;31,1;25,3;23,1;68;58;62;;;;
2026/01/01;1900 UTC;0;1002,7;1004,5;1002,7;2569,4;33,3;23,7;33,7;32,2;24,9;22,8;64;56;57;;;;
2026/01/01;2000 UTC;0;1002,4;1002,7;1002,2;1765,9;28,5;23,7;34,5;28,5;24,6;22,8;75;53;75;;;;
2026/01/01;2100 UTC;0;1002,9;1003;1002,4;223,1;27,4;23,3;28,5;27,4;24,3;23;79;74;78;;;;
2026/01/01;2200 UTC;0;1003,7;1003,7;1002,8;47,2;27,1;23;27,4;26,9;23,4;22,8;79;77;78;;;;
2026/01/01;2300 UTC;0;1004,2;1004,2;1003,6;;26,1;23,9;27,1;26;24,1;23;88;78;88;;;;
2026/01/02;0000 UTC;0;1004,7;1004,7;1004,1;;25,6;23,2;26,1;25,6;23,9;23,2;88;86;87;;;;
2026/01/02;0100 UTC;0;1005,2;1005,2;1004,7;;25,6;23,3;25,8;25,6;23,5;23,1;88;85;87;;;;
2026/01/02;0200 UTC;0;1006,2;1006,2;1005,2;;25,3;23,4;25,6;25,1;23,4;23;89;87;89;;;;
