REGIAO:;N
UF:;PA
ESTACAO:;PACAJA
CODIGO (WMO):;A210
LATITUDE:;-3,8436111
LONGITUDE:;-50,63805555
ALTITUDE:;89,02
DATA DE FUNDACAO:;27/02/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;1002,1;1002,1;1000,8;;27,2;23,4;28,1;27,2;23,4;22,4;80;71;80;109;1,4;0;
2026/01/01;0100 UTC;0;1002,6;1002,6;1002,1;;26,3;23,4;27,1;26,3;23,6;23,1;84;80;84;184;0;0;
2026/01/01;0200 UTC;0;1002,9;1002,9;1002,6;;25,8;23,3;26,3;25,8;23,5;23,2;86;84;86;41;0;0;
2026/01/01;0300 UTC;0;1002,8;1002,9;1002,8;;25,3;23;25,8;25,3;23,3;22,9;87;86;87;338;0;0;
2026/01/01;0400 UTC;0;1002,2;1002,8;1002,2;;25;23;25,3;25;23,1;22,9;88;87;88;61;0;0;
2026/01/01;0500 UTC;0;1001,2;1002,2;1001,2;;25;22,7;25,1;25;23;22,7;88;87;87;50;1,8;1,1;
2026/01/01;0600 UTC;0;1001;1001,2;1000,9;;25;22,1;25;24,8;22,7;22,1;88;84;84;39;3,6;1,6;
2026/01/01;0700 UTC;0;1001;1001,1;1000,9;;24,9;21,9;25;24,9;22,1;21,8;84;83;83;44;3,7;1,9;
2026/01/01;0800 UTC;0;1001,3;1001,3;1001;;24,7;21,8;24,9;24,7;22;21,8;84;83;84;33;3,6;1,7;
2026/01/01;0900 UTC;0;1001,8;1001,9;1001,3;;24,7;21,7;24,8;24,7;21,8;21,6;84;83;84;39;4;1,6;
2026/01/01;1000 UTC;0;1002,5;1002,5;1001,8;82,5;24,6;22;24,7;24,4;22;21,7;86;84;86;69;3,1;1,4;
2026/01/01;1100 UTC;0;1003,3;1003,3;1002,5;623,7;26;21,8;26,1;24,6;22,1;21,7;86;78;78;56;4;1,9;
2026/01/01;1200 UTC;0;1003,9;1003,9;1003,3;804;26,7;21,9;26,7;26;22,1;21,6;79;75;75;40;6,6;2,9;
2026/01/01;1300 UTC;0;1003,6;1003,9;1003,6;951,8;27,5;21,8;27,5;26,7;22,1;21,6;75;71;71;46;7,6;3,3;
2026/01/01;1400 UTC;0;1003,5;1003,6;1003,5;1515,9;28,6;21,8;29,2;27,5;22,4;21,4;71;65;67;61;6,9;4,1;
2026/01/01;1500 UTC;0;1003;1003,5;1003;2569,9;30;22,2;30,2;28,6;22,5;21,5;67;61;63;42;7;2,4;
2026/01/01;1600 UTC;0;1002,1;1003;1002,1;2615,7;31,4;21,7;31,7;29,6;22,5;21,1;63;55;56;66;5,8;3,2;
2026/01/01;1700 UTC;0;1000,9;1002,1;1000,9;2655,2;31,9;21,9;32;30,4;22,6;21,3;60;55;56;63;5,8;2,1;
2026/01/01;1800 UTC;0;999,7;1000,9;999,7;2179,3;32,4;21,2;32,5;30,8;22;20,4;58;50;52;83;4,8;1,4;
2026/01/01;1900 UTC;0;998,9;999,7;998,9;1678,1;31,7;21;32,5;31,4;21,8;20,5;55;49;53;66;5,2;2,3;
2026/01/01;2000 UTC;0;998,7;998,9;998,7;1528,4;32,3;21,6;32,8;31,7;21,6;20,8;54;50;53;21;4,1;1,4;
2026/01/01;2100 UTC;0;998,9;998,9;998,6;593,3;31;21,8;32,3;31;21,9;20,8;58;52;58;52;4,4;1,4;
2026/01/01;2200 UTC;0;999,4;999,4;998,9;46,8;29,4;22,9;31;29,4;22,9;21,2;68;57;68;47;2,7;0;
2026/01/01;2300 UTC;0;1000;1000;999,3;;28,1;23,3;29,4;28,1;23,4;22,2;75;67;75;169;,6;0;
2026/01/02;0000 UTC;0;1000,4;1000,4;1000;;27;23,6;28,1;27;23,7;23,3;81;75;81;227;,4;0;
2026/01/02;0100 UTC;0;1001;1001;1000,4;;26,4;23,3;27;26,4;23,6;23,2;84;81;83;88;0;0;
2026/01/02;0200 UTC;0;1001,3;1001,4;1001;;25,8;23,3;26,5;25,8;23,5;23,1;86;83;86;212;0;0;
2026/01/02;0300 UTC;0;1001,1;1001,3;1001;;25,4;23;25,9;25,4;23,4;23;87;86;87;29;,7;,1;
2026/01/02;0400 UTC;0;1001;1001,1;1001;;24,9;23,2;25,4;24,9;23,4;23;90;87;90;4;,6;0;
2026/01/02;0500 UTC;0;1000;1001;1000;;24,7;23;25;24,6;23,2;22,9;90;90;90;17;1,2;0;
2026/01/02;0600 UTC;0;999,7;1000;999,6;;24,8;22,6;24,8;24,6;23;22,6;90;88;88;39;2,7;1,5;
2026/01/02;0700 UTC;0;999,6;999,7;999,5;;24,6;22,2;24,8;24,6;22,6;22,2;88;86;86;58;3,4;1,3;
2026/01/02;0800 UTC;0;999,7;999,9;999,6;;24,5;22,1;24,6;24,4;22,2;22;87;86;86;26;2,1;,5;
