REGIAO:;N
UF:;PA
ESTACAO:;PARAGOMINAS
CODIGO (WMO):;A212
LATITUDE:;-2,90055555
LONGITUDE:;-47,49499999
ALTITUDE:;88
DATA DE FUNDACAO:;18/10/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;1001,1;1001,1;1000,4;0;27,3;25;28,1;27,2;26,1;25;92;85;87;;2,4;1,1;
2026/01/01;0100 UTC;0;1001,8;1001,9;1001,1;0;27;25;27,3;26,8;25,3;24,6;91;87;89;;3,1;2,1;
2026/01/01;0200 UTC;3,8;1002,2;1002,5;1001,8;2,4;25,4;25,4;27;25,4;25,6;24,4;100;86;100;;7,7;3,8;
2026/01/01;0300 UTC;0;1002;1002,2;1002;1,7;25,3;25,3;25,5;25,3;25,4;25,1;100;98;100;;6,9;,6;
2026/01/01;0400 UTC;0;1001,5;1002;1001,5;1;25,2;25,2;25,3;25,2;25,3;25,2;100;100;100;;2,8;1,8;
2026/01/01;0500 UTC;0;1000,7;1001,5;1000,7;,1;25;25;25,2;25;25,1;24,9;100;100;100;;2,4;1,3;
2026/01/01;0600 UTC;0;1000;1000,7;1000;,3;24,7;24,7;25;24,7;25;24,7;100;100;100;;2,4;1,5;
2026/01/01;0700 UTC;0;999,8;1000;999,8;0;24,4;24,4;24,7;24,4;24,7;24,4;100;100;100;;2,8;1,2;
2026/01/01;0800 UTC;0;1000,1;1000,1;999,8;0;24;24;24,4;24;24,4;24;100;100;100;;2,5;1,4;
2026/01/01;0900 UTC;0;1000,3;1000,3;1000;,2;23,8;23,8;24;23,7;24;23,6;100;100;100;;2,3;,3;
2026/01/01;1000 UTC;0;1000,9;1000,9;1000,3;109;24;24;24;23,7;24;23,7;100;100;100;;1,2;,3;
2026/01/01;1100 UTC;0;1001,5;1001,5;1000,9;687;25,5;25,3;25,5;24;25,3;24;100;97;98;;5,5;3,1;
2026/01/01;1200 UTC;0;1002;1002;1001,5;1787,1;27,2;24,8;27,2;25,5;25,3;24,4;98;85;87;;8,5;5,4;
2026/01/01;1300 UTC;0;1002,2;1002,2;1001,9;1814,6;27,9;24,1;27,9;27,1;25;23,8;87;80;80;;9,2;4,5;
2026/01/01;1400 UTC;0;1001,8;1002,2;1001,8;2766,7;29,9;23,5;30;27,7;24,3;23,3;82;68;69;;8,6;4,2;
2026/01/01;1500 UTC;0;1001,2;1001,8;1001,2;3322,5;30,7;23,4;31,3;29,8;24,6;22,9;72;62;65;;7,8;4,2;
2026/01/01;1600 UTC;0;1000,3;1001,2;1000,3;2666,4;31,8;23;31,9;30,4;24,2;22,6;68;59;59;;6,8;3,4;
2026/01/01;1700 UTC;0;999,3;1000,3;999,3;2466,2;31,9;23,1;31,9;31,2;24,2;22,5;65;58;60;;6,5;2,1;
2026/01/01;1800 UTC;0;998,1;999,3;998,1;2693,9;32,4;22,3;33;31,9;23,8;21,4;62;53;55;;6,2;2,1;
2026/01/01;1900 UTC;0;997,4;998,1;997,4;1880,6;32,7;23,5;33;32;23,9;21,7;62;53;59;;5,3;1,3;
2026/01/01;2000 UTC;0;997,2;997,4;997,2;1076,3;32,4;23,1;32,7;32,3;24,7;22,5;64;56;58;;4,7;,6;
2026/01/01;2100 UTC;0;997,4;997,4;997,2;329,3;29,3;24,1;32,6;29,3;24,7;22,8;74;57;74;;2,6;1,1;
2026/01/01;2200 UTC;0;998;998;997,4;15,9;28,3;24;29,3;28,3;24,5;23,6;80;74;77;;2,4;1,2;
2026/01/01;2300 UTC;0;998,6;998,6;998;0;27,9;26,8;28,3;27,9;27,1;23,8;95;77;94;;4,2;1;
2026/01/02;0000 UTC;0;999,4;999,4;998,6;0;27,2;25,2;27,9;27,2;26,8;24,1;94;82;89;;3,4;,9;
2026/01/02;0100 UTC;0;1000,6;1000,6;999,4;0;26,8;24,5;27,3;26,8;26;24,3;93;86;87;;6,9;4,5;
2026/01/02;0200 UTC;0;1000,5;1000,6;1000,3;0;26;24,5;26,8;26;24,6;24,4;92;87;92;;6,9;1,1;
2026/01/02;0300 UTC;0;1000,4;1000,6;1000,4;0;25,7;24,6;26;25,7;24,9;24,6;95;92;94;;4,5;2,9;
2026/01/02;0400 UTC;0;999,6;1000,4;999,6;0;25,2;24,2;25,8;25,2;24,6;24,2;94;92;94;;5,7;2,7;
2026/01/02;0500 UTC;0;999,1;999,6;999,1;0;24,7;24,4;25,2;24,7;24,4;24,2;98;94;98;;4,8;1,6;
2026/01/02;0600 UTC;0;998,7;999,1;998,7;0;24,5;24,4;24,7;24,5;24,4;24,3;99;98;99;;2,7;,5;
2026/01/02;0700 UTC;0;998,3;998,7;998,2;0;24,3;24,2;24,5;24,2;24,4;24,2;100;99;100;;1,5;,8;
2026/01/02;0800 UTC;0;998,7;998,7;998,3;0;24,3;24,3;24,3;24,2;24,3;24,2;100;100;100;;1,4;,6;
2026/01/02;0900 UTC;0;999;999;998,7;,1;24,4;24,4;24,4;24,2;24,4;24,2;100;100;100;;4,1;2,3;
2026/01/02;1000 UTC;0;999,2;999,3;999;107,1;24,6;24,6;24,7;24,3;24,7;24,3;100;100;100;;4,2;2,7;
2026/01/02;1100 UTC;0;999,9;999,9;999,2;693,5;26,1;24,8;26,1;24,6;25,2;24,6;100;92;92;;6,9;4,3;
2026/01/02;1200 UTC;0;1000,4;1000,4;999,9;1416,2;27;24,2;27,7;26,1;24,9;24;93;82;84;;9,7;6,2;
2026/01/02;1300 UTC;0;1000,6;1000,6;1000,4;2431,6;29,2;23,5;29,3;27;24,4;23,3;84;71;71;;10,4;4,9;
2026/01/02;1400 UTC;0;1000,2;1000,6;1000,2;2687,6;30,1;23;30,4;29,1;24;22,8;73;65;66;;9,4;4,8;
2026/01/02;1500 UTC;0;999,8;1000,2;999,7;2385,7;30,6;22,9;31,1;29,9;23,5;22,6;68;62;64;;7,8;4,5;
2026/01/02;1600 UTC;0;999,1;999,8;999,1;2751,2;31,9;23,1;31,9;30,6;23,7;22,3;65;58;60;;7;3,1;
2026/01/02;1700 UTC;0;998;999,1;998;2272,8;32,1;22,3;32,3;31,3;23,8;21,7;64;55;56;;6,1;1,1;
2026/01/02;1800 UTC;0;996,8;998;996,8;2636;32,9;22,8;32,9;31,8;24,3;22,2;63;55;56;;5,6;1,8;
2026/01/02;1900 UTC;0;996;996,8;996;1705,6;32,9;22,2;33,1;32,1;24,5;21,9;63;52;53;;6,7;3,8;
2026/01/02;2000 UTC;0;995,4;996;995,4;1336,2;32,9;22,1;33,1;32,8;23,1;21,9;57;52;53;;5,7;2;
2026/01/02;2100 UTC;0;995,6;995,7;995,4;268,1;31,5;22,9;33,1;31,5;23;22;61;53;61;;6;1,7;
2026/01/02;2200 UTC;0;996,3;996,3;995,6;17,2;30,1;23,7;31,5;30,1;23,9;22,9;69;61;69;;2,6;,7;
2026/01/02;2300 UTC;0;996,9;996,9;996,3;,1;28,9;24,8;30,1;28,9;24,8;23,7;79;69;79;;2,8;1,2;
2026/01/03;0000 UTC;0;998,1;998,1;996,9;1,7;26,6;24,2;28,9;26,6;25,5;24,2;92;79;87;;11;6,3;
2026/01/03;0100 UTC;,8;999,3;999,3;998,1;1,2;25,3;25;26,6;25,3;25;23,9;99;87;99;;13,1;2,4;
2026/01/03;0200 UTC;1,6;999,6;999,6;999,3;0;25,2;25,2;25,3;25;25,2;25;100;99;100;;5;1,8;
2026/01/03;0300 UTC;0;999,9;1000;999,6;2,5;25,3;25,3;25,4;25,1;25,4;25,1;100;100;100;;2,9;1,7;
2026/01/03;0400 UTC;0;999,7;1000;999,7;2,1;25,3;25,1;25,4;25,2;25,3;24,9;100;98;99;;2,7;,1;
2026/01/03;0500 UTC;0;999,3;999,7;999,3;,3;25,3;25,3;25,3;25,1;25,3;25,1;100;99;100;;1,4;0;
2026/01/03;0600 UTC;0;998,7;999,3;998,7;,2;25;25;25,3;25;25,2;25;100;100;100;;1,6;0;
2026/01/03;0700 UTC;0;998,8;998,8;998,7;,1;24,8;24,8;25,2;24,7;25,2;24,7;100;100;100;;1,9;,6;
2026/01/03;0800 UTC;0;998,8;998,9;998,7;0;24,7;24,7;24,8;24,7;24,8;24,7;100;100;100;;1,6;,4;
2026/01/03;0900 UTC;0;999,3;999,3;998,8;,2;24,7;24,7;24,7;24,6;24,7;24,6;100;100;100;;1,2;,5;
2026/01/03;1000 UTC;0;1000,1;1000,1;999,3;143,4;24,7;24,7;24,8;24,6;24,8;24,6;100;100;100;;1,5;0;
2026/01/03;1100 UTC;0;1001,1;1001,1;1000,1;422,4;25,5;25,5;25,5;24,7;25,5;24,8;100;100;100;;2,3;1,3;
2026/01/03;1200 UTC;0;1001,4;1001,4;1001,1;1202,2;26,5;25,3;26,7;25,5;26;25,1;100;91;93;;4,6;2,9;
2026/01/03;1300 UTC;0;1001,7;1001,7;1001,4;1161,8;27,6;25,4;27,6;26,5;25,6;24,9;94;88;88;;5,6;2,8;
2026/01/03;1400 UTC;0;1001,2;1001,7;1001,2;1840,2;28,7;24,5;28,7;27,6;25,5;23,6;88;75;78;;5,7;3,2;
2026/01/03;1500 UTC;0;1000,5;1001,2;1000,5;3256,5;30,7;22,6;31,1;28,7;24,8;22,3;79;60;62;;8,3;5,7;
2026/01/03;1600 UTC;0;1000;1000,5;1000;2625;31,6;22,7;31,6;30;25,3;22,2;74;58;59;;7,8;3,9;
2026/01/03;1700 UTC;0;999,2;1000;999,2;2841,7;32,5;22;32,5;31,4;23,2;21,6;61;54;54;;7,6;4,2;
2026/01/03;1800 UTC;0;998;999,2;998;2803,6;33,3;21,5;33,4;32,1;23,1;21,2;58;49;50;;7,4;3,6;
2026/01/03;1900 UTC;0;997,5;998;997,5;1861,8;32,5;22,3;33,7;32,5;22,7;20,9;55;48;55;;6,4;3;
2026/01/03;2000 UTC;0;997,3;997,5;997,2;1089,9;31,5;23;33;31,4;23,4;21,4;63;51;61;;5,4;1,8;
