REGIAO:;N
UF:;PA
ESTACAO:;BRAGANCA
CODIGO (WMO):;A226
LATITUDE:;-1,05583333
LONGITUDE:;-46,78277777
ALTITUDE:;5,6
DATA DE FUNDACAO:;11/03/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;1010,6;1010,6;1010,3;0;26,5;;26,8;26,4;;;;;;74;4;1,8;
2026/01/01;0100 UTC;0;1011;1011;1010,6;0;26,3;;26,5;26,3;;;;;;71;4;1,9;
2026/01/01;0200 UTC;0;1011;1011,2;1011;0;26,5;;26,5;26,3;;;;;;74;4,5;2,3;
2026/01/01;0300 UTC;0;1010,6;1011,1;1010,6;0;26,4;;26,6;26,4;;;;;;75;6,5;2,1;
2026/01/01;0400 UTC;0;1010;1010,6;1010;0;26,1;;26,4;26,1;;;;;;79;4,4;1,8;
2026/01/01;0500 UTC;0;1009,1;1010;1009,1;0;25,4;;26,1;25,4;;;;;;83;3,9;1,1;
2026/01/01;0600 UTC;0;1008,5;1009,1;1008,5;0;25,1;;25,4;25;;;;;;87;2,7;,9;
2026/01/01;0700 UTC;0;1008,4;1008,5;1008,3;0;24,5;;25,1;24,5;;;;;;78;1,8;,5;
2026/01/01;0800 UTC;0;1008,5;1008,5;1008,3;0;23,8;;24,5;23,8;;;;;;12;1,5;0;
2026/01/01;0900 UTC;0;1008,8;1008,8;1008,5;,1;23,8;;23,8;23,4;;;;;;22;,5;0;
2026/01/01;1000 UTC;0;1009,3;1009,3;1008,8;199,4;25,2;;25,2;23,5;;;;;;110;,6;,1;
2026/01/01;1100 UTC;0;1009,9;1009,9;1009,3;966,9;28,1;;28,1;25,2;;;;;;80;5,6;2,9;
2026/01/01;1200 UTC;0;1010,4;1010,4;1009,9;1696,1;29,4;;29,6;28,1;;;;;;80;9,1;5,1;
2026/01/01;1300 UTC;0;1010,7;1010,7;1010,3;1620,3;29,2;;29,8;28,8;;;;;;74;10,9;4;
2026/01/01;1400 UTC;0;1010,5;1010,7;1010,4;1995,4;30,1;;31,2;28,9;;;;;;69;8,7;4,3;
2026/01/01;1500 UTC;0;1010,1;1010,5;1010;2615,4;31,4;;31,8;30;;;;;;71;10,2;4,4;
2026/01/01;1600 UTC;0;1009,3;1010,1;1009,3;2906,3;31,2;;32,5;30,8;;;;;;65;9,2;4,5;
2026/01/01;1700 UTC;0;1008,5;1009,3;1008,4;3015,7;31,7;;32,4;30,8;;;;;;75;9,4;5,3;
2026/01/01;1800 UTC;0;1007,6;1008,4;1007,6;2805,2;31,5;;32,1;30,9;;;;;;80;9,7;4,6;
2026/01/01;1900 UTC;0;1007,3;1007,6;1007,2;1328,9;30,8;;31,9;30,6;;;;;;70;9;4,6;
2026/01/01;2000 UTC;0;1007,3;1007,4;1007,2;792,4;29,3;;30,8;29,3;;;;;;62;9,6;3,9;
2026/01/01;2100 UTC;0;1007,2;1007,4;1007,1;155,3;28,1;;29,4;28,1;;;;;;77;7,5;3,7;
2026/01/01;2200 UTC;0;1007,8;1007,9;1007,2;8,2;27,4;;28,1;27,4;;;;;;66;8;3,4;
2026/01/01;2300 UTC;0;1008,4;1008,4;1007,8;0;26,9;;27,4;26,9;;;;;;62;6,6;2;
2026/01/02;0000 UTC;0;1009;1009;1008,4;0;26,6;;26,9;26,5;;;;;;71;4,7;1,6;
2026/01/02;0100 UTC;0;1009,2;1009,2;1009;0;26,3;;26,6;26,3;;;;;;66;3,9;1;
2026/01/02;0200 UTC;0;1009,3;1009,3;1009,2;0;25,8;;26,3;25,8;;;;;;73;2,9;,3;
2026/01/02;0300 UTC;0;1009,1;1009,4;1009,1;0;25,5;;25,8;25,5;;;;;;59;2,7;,3;
2026/01/02;0400 UTC;0;1008,4;1009,1;1008,4;0;24,9;;25,5;24,9;;;;;;42;1;0;
2026/01/02;0500 UTC;0;1007,6;1008,4;1007,6;0;24,5;;24,9;24,5;;;;;;44;,1;0;
2026/01/02;0600 UTC;0;1007,1;1007,6;1007,1;0;24,4;;24,5;24,3;;;;;;320;,1;0;
2026/01/02;0700 UTC;0;1006,6;1007,1;1006,6;0;24,1;;24,4;24;;;;;;63;1,3;,1;
2026/01/02;0800 UTC;0;1006,5;1006,7;1006,5;0;23,8;;24,1;23,8;;;;;;69;,9;0;
2026/01/02;0900 UTC;0;1007;1007;1006,5;,2;23,8;;23,9;23,7;;;;;;350;,3;0;
2026/01/02;1000 UTC;0;1007,8;1007,8;1007;215,4;24,8;;25;23,8;;;;;;258;,1;0;
2026/01/02;1100 UTC;0;1008,4;1008,4;1007,8;959,3;28;;28,1;24,8;;;;;;79;6,5;2,7;
2026/01/02;1200 UTC;0;1008,9;1008,9;1008,4;1427;29,5;;29,5;27,7;;;;;;58;8;3,5;
2026/01/02;1300 UTC;0;1009,1;1009,2;1008,9;2741,4;30,2;;31,2;29,5;;;;;;67;9,2;5,4;
2026/01/02;1400 UTC;0;1009,1;1009,2;1009;2791,4;31,5;;31,9;30;;;;;;73;9,7;4,2;
2026/01/02;1500 UTC;0;1008,5;1009,1;1008,5;3023;32,8;;32,8;30,6;;;;;;83;9,3;3,8;
2026/01/02;1600 UTC;0;1008;1008,5;1008;3271,3;32,4;;33;31,5;;;;;;77;9,9;4,6;
2026/01/02;1700 UTC;0;1007,2;1008;1007,1;3202,9;32,5;;32,8;31,6;;;;;;71;9,9;4;
2026/01/02;1800 UTC;0;1006,4;1007,1;1006,4;2590,7;31,8;;32,7;31,5;;;;;;76;9,4;4,1;
2026/01/02;1900 UTC;0;1006,3;1006,4;1006,3;1235,3;30,6;;32,2;30,6;;;;;;59;7,9;4;
2026/01/02;2000 UTC;0;1006;1006,3;1006;798,8;29,5;;30,9;29,5;;;;;;58;8,7;3,8;
2026/01/02;2100 UTC;0;1006,3;1006,3;1005,9;141,7;28,3;;29,5;28,3;;;;;;70;10,7;3,8;
2026/01/02;2200 UTC;0;1006,4;1006,5;1006,2;5,9;27,4;;28,3;27,4;;;;;;63;7,1;3;
2026/01/02;2300 UTC;0;1006,7;1006,7;1006,3;0;27;;27,4;27;;;;;;60;6,7;2,5;
2026/01/03;0000 UTC;0;1007,5;1007,5;1006,7;0;26,7;;27;26,7;;;;;;63;6,2;2,1;
2026/01/03;0100 UTC;0;1007,8;1007,9;1007,5;0;26,4;;26,7;26,4;;;;;;60;4,9;1,4;
2026/01/03;0200 UTC;0;1008;1008,1;1007,7;0;26,3;;26,4;26,2;;;;;;53;3,8;1,7;
2026/01/03;0300 UTC;0;1008;1008,1;1007,9;0;25,9;;26,3;25,9;;;;;;64;3,8;1,2;
2026/01/03;0400 UTC;0;1007,7;1008;1007,7;0;25,5;;25,9;25,5;;;;;;58;2,3;,4;
2026/01/03;0500 UTC;0;1007,3;1007,7;1007,3;0;25,4;;25,6;25,4;;;;;;40;2,4;,2;
2026/01/03;0600 UTC;0;1007;1007,4;1007;0;25;;25,4;24,9;;;;;;299;2,5;0;
2026/01/03;0700 UTC;0;1006,7;1007;1006,7;0;24,8;;25,1;24,7;;;;;;61;2,3;0;
2026/01/03;0800 UTC;0;1007,2;1007,2;1006,7;0;24,6;;24,8;24,5;;;;;;286;1,5;0;
2026/01/03;0900 UTC;0;1007,6;1007,6;1007,2;0;24,5;;24,6;24,4;;;;;;299;1,1;0;
