REGIAO:;N
UF:;PA
ESTACAO:;ITAITUBA
CODIGO (WMO):;A231
LATITUDE:;-4,27694443
LONGITUDE:;-55,99305555
ALTITUDE:;24,46
DATA DE FUNDACAO:;17/02/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;1008,2;1008,2;1007,6;0;26,7;23,3;27,3;26,7;23,6;22,7;82;76;82;;0;0;
2026/01/01;0100 UTC;0;1008,9;1008,9;1008,2;0;26,3;23;26,8;26,3;23,4;22,7;82;80;82;;1,9;0;
2026/01/01;0200 UTC;0;1009,3;1009,3;1008,9;0;26,2;23,1;26,5;26;23,2;22,9;83;82;83;;,5;0;
2026/01/01;0300 UTC;0;1009,3;1009,4;1009,2;0;26,3;23,4;26,4;25,9;23,5;22,8;85;83;84;;1,3;,1;
2026/01/01;0400 UTC;0;1008,9;1009,4;1008,9;0;25,7;23,1;26,3;25,7;23,4;23,1;85;84;85;;1,5;,2;
2026/01/01;0500 UTC;0;1007,8;1008,9;1007,8;0;25,3;22,8;25,7;25,3;23,1;22,8;86;85;86;;1,3;0;
2026/01/01;0600 UTC;0;1007,4;1007,8;1007,4;0;24,7;22,4;25,3;24,7;22,7;22,4;87;86;87;;,9;0;
2026/01/01;0700 UTC;0;1007,4;1007,5;1007,3;,2;25;22,7;25;24,7;22,8;22,4;87;87;87;;,7;0;
2026/01/01;0800 UTC;0;1007,5;1007,5;1007,2;,1;25,3;23;25,3;25;23;22,7;87;87;87;;1,4;,1;
2026/01/01;0900 UTC;0;1007,9;1008;1007,5;,2;24,7;22,5;25,3;24,7;23;22,5;88;87;88;;2,3;,1;
2026/01/01;1000 UTC;0;1008,6;1008,6;1007,9;12,8;24,4;22,3;24,7;24,4;22,5;22,3;88;88;88;;1,3;0;
2026/01/01;1100 UTC;0;1009,7;1009,7;1008,6;250,6;25;22,8;25;24,4;22,8;22,3;88;88;88;;1,5;,2;
2026/01/01;1200 UTC;0;1010,6;1010,6;1009,7;450,8;25,4;22,6;25,6;25;23,2;22,5;88;84;85;;1,2;0;
2026/01/01;1300 UTC;0;1010,8;1010,8;1010,6;1003,4;26,1;22,8;27,1;25,4;23,5;22,4;85;77;82;;2,2;,7;
2026/01/01;1400 UTC;0;1010,4;1010,9;1010,4;1562,3;29,3;23,1;29,3;26,1;24,4;22,6;83;69;69;;3,4;,9;
2026/01/01;1500 UTC;0;1010,1;1010,5;1010;3158,9;31,3;22,5;31,3;29;23,1;21,6;69;59;59;;7,2;2,9;
2026/01/01;1600 UTC;0;1009,1;1010,1;1009,1;3264,5;31,6;21,6;32;30,5;22,9;21,1;61;54;56;;6,9;2,9;
2026/01/01;1700 UTC;0;1007,8;1009,1;1007,8;3220,1;32,4;21,4;32,9;31,4;22,3;20,6;57;50;52;;6,9;2,6;
2026/01/01;1800 UTC;0;1006,3;1007,8;1006,3;2796,3;32,8;21,3;33,2;32,1;21,7;20,2;54;48;51;;6,9;2,6;
2026/01/01;1900 UTC;0;1005,4;1006,3;1005,4;2319,5;32,2;20,7;33,4;32,2;22,1;20,3;52;47;51;;5,8;2,4;
2026/01/01;2000 UTC;0;1005;1005,4;1005;1824,4;32,6;21,2;33,1;32,2;21,5;20,3;53;48;51;;6,3;1,9;
2026/01/01;2100 UTC;0;1004,7;1005;1004,7;1020,9;31,5;21,7;32,7;31,5;21,7;20,5;56;50;56;;5,3;2,1;
2026/01/01;2200 UTC;0;1005;1005;1004,7;176,2;30,4;21,8;31,6;30,3;22,6;21,5;63;56;60;;4,9;1,5;
2026/01/01;2300 UTC;0;1005,5;1005,5;1005;,2;29,8;20,9;30,4;29,7;21,8;20,8;61;58;59;;2,8;,6;
2026/01/02;0000 UTC;0;1006,3;1006,3;1005,5;0;29,1;21,2;29,9;29;21,2;20,8;63;59;62;;2,9;,2;
2026/01/02;0100 UTC;0;1007,2;1007,2;1006,3;0;28,4;21,5;29,1;28,4;21,5;21,1;66;62;66;;2,6;,1;
2026/01/02;0200 UTC;0;1007,8;1007,8;1007,1;0;27,2;21,3;28,4;27,2;21,5;21,3;70;66;70;;1,3;0;
2026/01/02;0300 UTC;0;1008,2;1008,2;1007,8;0;26,2;22,2;27,2;26,2;22,2;21,3;79;70;79;;1,1;,1;
2026/01/02;0400 UTC;0;1007,8;1008,3;1007,8;0;25,9;22,6;26,2;25,8;22,7;22,1;82;78;82;;1,1;0;
2026/01/02;0500 UTC;0;1006,7;1007,8;1006,7;0;25,5;22,4;26;25,5;22,7;22,3;83;82;83;;1,3;0;
2026/01/02;0600 UTC;0;1006,2;1006,7;1006,1;0;24,9;22,1;25,5;24,9;22,5;22;84;83;84;;,9;0;
2026/01/02;0700 UTC;0;1005,8;1006,2;1005,8;0;24,5;21,6;25,2;24,5;22,5;21,6;85;84;84;;,6;0;
2026/01/02;0800 UTC;0;1006;1006;1005,7;0;24,3;21,3;24,8;24,3;21,8;21,3;84;83;84;;,8;0;
2026/01/02;0900 UTC;0;1006,3;1006,3;1005,9;0;24,5;21,6;24,5;24,2;21,7;21,3;84;84;84;;0;0;
2026/01/02;1000 UTC;0;1006,9;1006,9;1006,2;23,3;24,1;21,4;24,5;24;21,6;21,2;85;84;85;;,6;0;
2026/01/02;1100 UTC;0;1008;1008;1006,9;431;26,4;22,5;26,4;24,1;22,5;21,4;85;78;79;;,5;0;
2026/01/02;1200 UTC;0;1008,8;1008,8;1008;1094,8;28,2;22,6;28,3;26,3;22,9;21,7;79;71;72;;1,7;,2;
2026/01/02;1300 UTC;0;1009,3;1009,3;1008,8;2036,4;29;22,2;29;27,5;23,3;22;75;67;67;;3,3;1,7;
2026/01/02;1400 UTC;0;1009,3;1009,5;1009,3;2641,4;30,9;22,5;30,9;28,7;22,8;21,6;68;59;61;;5,8;2,7;
2026/01/02;1500 UTC;0;1009;1009,4;1008,9;3091,4;31,1;21,6;31,6;30,6;22,6;21,5;61;56;57;;5,5;2,6;
2026/01/02;1600 UTC;0;1008,1;1009;1008,1;3249,5;32,8;20,3;32,9;31,1;22,7;20,3;60;48;48;;6,8;2,5;
2026/01/02;1700 UTC;0;1006,6;1008,1;1006,6;3187,8;32,5;20;33,5;31,9;21,1;19,7;52;46;48;;7;2,6;
2026/01/02;1800 UTC;0;1004,9;1006,5;1004,9;2781,3;33,3;21,6;33,5;32,4;21,7;20;51;45;50;;6;2,6;
2026/01/02;1900 UTC;0;1003,7;1004,9;1003,7;2361,3;32,9;20,8;33,8;32,6;22,2;20,2;51;48;49;;5,9;2,6;
2026/01/02;2000 UTC;0;1003,1;1003,7;1003;1720,8;31,8;21,3;33,3;31,8;21,9;19,4;54;45;54;;6,6;2,8;
2026/01/02;2100 UTC;0;1003,4;1003,4;1003;601,4;31,1;21,2;32,1;31,1;21,8;20,7;56;52;56;;5,9;2,1;
