REGIAO:;N
UF:;PA
ESTACAO:;NOVO REPARTIMENTO
CODIGO (WMO):;A235
LATITUDE:;-4,24388888
LONGITUDE:;-49,93944444
ALTITUDE:;100,76
DATA DE FUNDACAO:;23/07/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;999;999;998,4;;23,4;;24,1;23,4;;;;;;334;1,2;,5;
2026/01/01;0100 UTC;0;999,7;999,8;999;;23,1;;23,6;23,1;;;;;;26;1,7;,7;
2026/01/01;0200 UTC;0;1000,3;1000,3;999,7;;22,9;;23,2;22,9;;;;;;49;1,3;,4;
2026/01/01;0300 UTC;0;1000,1;1000,3;1000,1;;23,1;;23,3;22,7;;;;;;338;1,7;,5;
2026/01/01;0400 UTC;0;999,3;1000,1;999,3;;22,5;;23,1;22,5;;;;;;319;1,5;,4;
2026/01/01;0500 UTC;0;998,4;999,3;998,4;;22,6;;22,8;22,2;;;;;;15;1,8;,8;
2026/01/01;0600 UTC;0;998;998,4;997,9;;22,7;;22,9;22,5;;;;;;13;2,3;,7;
2026/01/01;0700 UTC;0;998,2;998,2;998;;22,6;;22,9;22,5;;;;;;38;1,8;,9;
2026/01/01;0800 UTC;0;998,2;998,3;998,1;;22,3;;22,6;22,1;;;;;;36;3,4;1,5;
2026/01/01;0900 UTC;0;999;999;998,2;;22,3;;22,5;22,2;;;;;;30;3,6;1,4;
2026/01/01;1000 UTC;0;999,6;999,6;999;42,9;22,8;;22,8;22,3;;;;;;27;3,1;1,2;
2026/01/01;1100 UTC;0;1000,5;1000,5;999,6;280,6;23,6;23,6;23,6;22,8;;;;;100;23;2,9;,8;
2026/01/01;1200 UTC;0;1000,8;1001;1000,5;636,4;24,6;22,9;24,7;23,6;23,7;22,9;100;90;90;27;4,8;2,4;
2026/01/01;1300 UTC;0;1000,7;1000,9;1000,7;1452,6;26,3;23,1;26,3;24,6;23,5;23;91;82;83;46;5,5;3,1;
2026/01/01;1400 UTC;0;1000,6;1000,7;1000,4;2910,8;28,2;23,2;28,8;26,3;23,8;22,3;83;72;74;43;7,6;2,9;
2026/01/01;1500 UTC;0;1000,3;1000,7;1000,3;2036,5;28,1;23,5;29,1;27,2;24,1;22,8;79;71;76;41;6,5;1,9;
2026/01/01;1600 UTC;0;999,3;1000,3;999,3;2822,7;30,4;23,5;30,4;28;24,1;22,8;78;66;67;86;5,5;1,2;
2026/01/01;1700 UTC;0;998,2;999,3;998,2;2574;30,5;23,5;30,7;28,8;23,7;22,4;73;63;66;59;4,2;2,1;
2026/01/01;1800 UTC;0;997;998,2;997;1961,2;29,9;23,3;31;28,8;24,1;22,6;76;62;68;79;4,1;1,4;
2026/01/01;1900 UTC;0;996,2;997;996,2;1900,1;30,5;22,6;31,2;29,4;23,8;22,3;70;61;62;15;3,5;1,4;
2026/01/01;2000 UTC;0;995,9;996,2;995,9;1580;30,2;22,7;31,6;30,2;23,4;22,5;66;60;64;64;3,5;1,9;
2026/01/01;2100 UTC;0;996,3;996,3;995,9;646,4;28,2;24,4;30,2;28,2;24,4;22,7;80;64;80;49;3,5;,4;
2026/01/01;2200 UTC;0;996,6;996,6;996,3;42;25;23,7;28,2;25;24,9;23,6;93;80;93;353;,8;,2;
2026/01/01;2300 UTC;0;997,3;997,3;996,5;;24,2;23,5;25;24,1;23,7;23,2;97;92;96;339;1,3;,5;
2026/01/02;0000 UTC;0;997,7;997,7;997,3;;23,5;23,5;24,2;23,4;23,6;23,2;100;96;100;165;1;,3;
2026/01/02;0100 UTC;0;998,3;998,3;997,7;;23,1;;23,5;23;;;;;;5;,9;,2;
2026/01/02;0200 UTC;0;998,4;998,5;998,2;;23;;23,2;23;;;;;;318;,6;,4;
2026/01/02;0300 UTC;0;998;998,4;998;;22,6;;23;22,6;;;;;;352;1,2;,5;
2026/01/02;0400 UTC;0;997,9;998,1;997,9;;22,3;;22,7;22,3;;;;;;243;1,1;,2;
2026/01/02;0500 UTC;0;997;997,9;997;;22;;22,4;22;;;;;;16;,9;,2;
2026/01/02;0600 UTC;0;996,6;997;996,5;;22,6;;22,6;21,9;;;;;;353;3,2;1,4;
2026/01/02;0700 UTC;0;996,6;996,8;996,6;;22,7;;22,9;22,6;;;;;;4;4,8;1,8;
2026/01/02;0800 UTC;0;996,7;996,7;996,4;;22,8;;22,8;22,6;;;;;;30;4;1,2;
2026/01/02;0900 UTC;0;997,3;997,3;996,7;;22,6;;22,8;22,6;;;;;;26;3;,8;
2026/01/02;1000 UTC;0;997,9;997,9;997,2;72,3;23;;23;22,6;;;;;;14;2,3;,4;
2026/01/02;1100 UTC;0;998,4;998,5;997,9;520,5;24,3;23,8;24,3;23;;;;;97;30;4,4;2,3;
2026/01/02;1200 UTC;0;999,1;999,1;998,4;1271,3;25,5;22,7;25,5;24,3;23,6;22,4;97;84;84;31;7,5;3,8;
2026/01/02;1300 UTC;0;999,4;999,5;999;1560,8;26,4;22,3;27;25,5;23;22;84;76;78;25;8,6;3,7;
2026/01/02;1400 UTC;0;999,3;999,5;999,2;1674,2;27,8;23,1;28;26,1;23,2;22,3;81;74;76;43;7;3,5;
2026/01/02;1500 UTC;0;998,9;999,3;998,9;1902,3;27,9;22,9;28,8;27;23,8;22,7;79;71;74;38;7,2;1,8;
2026/01/02;1600 UTC;0;998,2;998,9;998,2;2630;29,2;23,1;29,8;27,9;24,1;22,3;74;66;70;39;6,4;2,4;
2026/01/02;1700 UTC;0;996,9;998,2;996,9;2279,9;30,6;23;30,7;28,5;24;22,4;75;63;64;61;4,8;1,5;
2026/01/02;1800 UTC;0;995,4;996,9;995,4;1654,4;30,3;23,5;31,2;28,7;24;22,7;73;63;67;41;5,4;2,6;
2026/01/02;1900 UTC;0;994,9;995,4;994,9;2270,8;30,4;23,1;30,8;30;23,7;21,7;68;60;65;11;6;1,8;
2026/01/02;2000 UTC;0;994,2;994,9;994,1;1441,8;29;23,1;30,6;29;23,5;22,6;71;63;71;49;4,7;2,5;
2026/01/02;2100 UTC;0;994,6;994,6;994,2;510,7;28,7;23,5;29,5;28,7;23,9;23;74;70;73;359;4,7;,8;
2026/01/02;2200 UTC;0;995;995;994,6;41;25;24,1;28,7;25;24,5;23,6;94;73;94;347;1,9;,6;
2026/01/02;2300 UTC;0;995,7;995,7;995;;24,4;24,2;25;24,4;24,2;23,9;98;94;98;251;1;,3;
2026/01/03;0000 UTC;0;996,4;996,4;995,7;;23,3;23,3;24,5;23,3;24,2;23,3;100;98;100;305;1;,5;
2026/01/03;0100 UTC;0;997,4;997,4;996,4;;23;;23,3;23;;;;;;167;1,2;,3;
2026/01/03;0200 UTC;0;997,7;997,7;997,4;;22,6;;23;22,6;;;;;;189;,8;,2;
2026/01/03;0300 UTC;0;997,5;997,8;997,5;;22,7;;22,8;22,5;;;;;;271;,9;,2;
2026/01/03;0400 UTC;0;997,6;997,6;997,4;;23,3;;23,3;22,6;;;;;;301;1,8;1;
2026/01/03;0500 UTC;0;997,3;997,7;997,3;;23,7;;23,8;23,3;;;;;;350;3,7;1,1;
2026/01/03;0600 UTC;0;997,4;997,5;997,2;;23,7;23,7;23,7;23,6;23,7;23,5;100;99;100;7;2,5;,7;
2026/01/03;0700 UTC;0;997,1;997,4;997,1;;23,5;;23,7;23,5;23,7;23,5;100;99;;21;2,1;,8;
2026/01/03;0800 UTC;,2;997,6;997,6;997,1;;22;21,2;23,5;22;23,2;21,2;100;95;95;39;5,8;2,7;
2026/01/03;0900 UTC;0;998,5;998,5;997,6;;21,5;21,5;22;21,5;21,6;20,7;100;93;100;25;5,4;,5;
2026/01/03;1000 UTC;0;999;999,1;998,5;57,6;22;;22;21,3;;;;;;280;1,4;,6;
2026/01/03;1100 UTC;0;999,4;999,4;999;382;22,9;;22,9;22;;;;;;353;2,7;1,2;
2026/01/03;1200 UTC;0;1000,1;1000,1;999,4;1084,4;24,3;22;24,3;22,9;23,2;21,8;100;87;87;9;4,2;1,8;
