REGIAO:;N
UF:;TO
ESTACAO:;FORMOSO DO ARAGUAIA
CODIGO (WMO):;A039
LATITUDE:;-11,88749999
LONGITUDE:;-49,60833333
ALTITUDE:;215,2
DATA DE FUNDACAO:;27/04/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;987;987;986;;26;23,1;26,7;26;24,1;22,9;86;81;84;236;1,4;,2;
2026/01/01;0100 UTC;;987,6;987,6;;;25,6;22,7;26;25,5;23,5;22,7;87;83;84;;;;
2026/01/01;0200 UTC;;987,9;;;;24,9;22,7;25,7;24,9;23,4;22,5;88;84;88;;;;
2026/01/01;0300 UTC;;987,8;988;987,7;;24,6;22,9;24,9;24,5;23;22,3;90;86;90;83;;,3;
2026/01/01;0400 UTC;0;987;987,8;987;;24;22,4;24,6;24;22,9;22,4;91;90;91;137;,9;,2;
2026/01/01;0500 UTC;0;986,3;987;986,3;;23,8;22,6;24;23,6;22,7;22,2;93;91;93;174;,7;,4;
2026/01/01;0600 UTC;0;985,7;986,3;985,7;;23,8;22,6;23,8;23,6;22,6;22,4;94;93;93;182;1,4;,9;
2026/01/01;0700 UTC;0;985,4;985,7;985,4;;23,4;22,2;23,8;23,4;22,6;22,2;93;93;93;209;1,5;,7;
2026/01/01;0800 UTC;0;986;986;985,4;;23,2;22;23,5;23,1;22,3;21,9;93;93;93;197;1,3;,7;
2026/01/01;0900 UTC;0;986,4;986,4;986;;23,1;21,9;23,3;23;22,2;21,8;94;93;93;164;1,5;,8;
2026/01/01;1000 UTC;0;987,2;987,2;986,4;94,1;25,5;22,6;25,5;23,1;22,8;21,7;93;84;84;197;1,9;,8;
2026/01/01;1100 UTC;0;987,7;987,7;987,2;813;28,5;22,6;28,5;25,5;23,1;22,2;84;71;71;202;3;1,5;
2026/01/01;1200 UTC;0;988,3;988,3;987,7;1938,8;30,4;22,3;30,6;28,4;23;22,2;72;61;62;239;3,3;1,6;
2026/01/01;1300 UTC;0;988,4;988,4;988,3;2707,9;31,7;21;31,8;30,3;23,2;21;63;53;53;314;2,9;1,4;
2026/01/01;1400 UTC;0;988,2;988,4;988,2;3317,1;33,2;20,3;33,4;31,5;22;19,4;57;45;47;321;3,9;1,8;
2026/01/01;1500 UTC;0;987,5;988,2;987,5;3657,8;34,1;17,7;34,5;32,4;20,2;16,3;48;36;38;290;4,5;2;
2026/01/01;1600 UTC;0;986,6;987,5;986,6;3752,7;34,3;20,5;34,8;33,6;20,8;16,6;45;34;45;300;4,4;1,5;
2026/01/01;1700 UTC;0;985,1;986,6;985,1;3564,3;34,2;20,2;34,9;33,6;22;19,1;48;42;44;276;4,3;1,4;
2026/01/01;1800 UTC;0;983,8;985,1;983,8;3199,2;34,2;20,6;35,2;33,8;22,6;20,2;49;44;45;317;4,4;2,5;
2026/01/01;1900 UTC;0;983,2;983,8;983,2;2568,2;34,6;20,4;35;34,1;22;20,4;49;43;44;296;4,4;1,6;
2026/01/01;2000 UTC;0;982,8;983,2;982,8;1737,5;34,8;20,1;35,5;34,4;22;19,7;48;41;42;289;3,5;1,1;
2026/01/01;2100 UTC;0;983,3;983,3;982,8;880,6;34,1;22,1;35,3;34;22,3;20,1;50;42;50;5;2,9;1,2;
2026/01/01;2200 UTC;0;983,9;984;983,3;166,5;30,9;24,5;34,1;30,9;24,5;21,6;69;48;69;81;2,2;,6;
2026/01/01;2300 UTC;;985,6;985,6;983,9;;28;21,8;30,9;28;25,6;21,8;76;67;69;100;;3,6;
2026/01/02;0000 UTC;0;985,8;986;985,6;;26,8;22,1;28;26,6;22,2;21,2;76;68;75;86;12;1,3;
2026/01/02;0100 UTC;0;986,9;986,9;985,8;;26,4;21,6;26,9;26,4;22,2;21,5;76;73;75;94;3;,9;
2026/01/02;0200 UTC;0;986,1;986,9;986,1;;26,4;20,5;26,6;25,8;22,5;20,2;82;68;70;57;2,7;,8;
2026/01/02;0300 UTC;0;986,1;986,1;985,7;;25,1;21,9;26,4;25,1;21,9;20,2;82;70;82;4;2,5;,6;
2026/01/02;0400 UTC;0;985,4;986,1;985,4;;24,3;21,1;25,1;24,3;21,8;21,1;85;80;82;73;2,8;1;
2026/01/02;0500 UTC;0;984,8;985,5;984,8;;23,8;21,6;24,4;23,8;21,6;21;88;82;87;87;2,1;,5;
2026/01/02;0600 UTC;0;984,3;984,8;984,2;;23,5;21,3;24,3;23,5;21,7;20,8;88;81;87;37;2,2;,8;
2026/01/02;0700 UTC;0;984,1;984,5;984,1;;23,2;21,5;23,6;23;21,6;21;91;87;90;61;1,6;,8;
2026/01/02;0800 UTC;0;984,1;984,1;983,9;;23,1;21,7;23,2;23;21,7;21,4;92;90;92;105;1,4;,6;
2026/01/02;0900 UTC;0;985;985;984,1;;22,7;21,5;23,1;22,7;21,7;21,5;93;92;93;241;1,2;,2;
2026/01/02;1000 UTC;0;985,7;985,7;985;136,1;24,5;22,7;24,6;22,7;23,3;21,5;94;90;90;350;,8;,2;
2026/01/02;1100 UTC;0;986,6;986,6;985,7;813;26,9;22,9;26,9;24,5;23,2;22,4;90;78;79;33;2,8;1,5;
2026/01/02;1200 UTC;0;987,4;987,4;986,6;1861;28,3;22,8;28,4;26,9;23,1;22,2;79;71;72;43;4;2,4;
2026/01/02;1300 UTC;0;987,4;987,6;987,4;2644,1;29,5;22,6;29,7;28,2;23,2;21,8;73;64;67;29;5,5;1,9;
2026/01/02;1400 UTC;0;987,3;987,4;987,3;3224,6;30,4;23,2;31,3;29,5;23,7;22,3;68;62;65;14;5,8;3;
2026/01/02;1500 UTC;0;986,1;987,4;986,1;3267,5;32,1;23,8;32,3;30,3;24,1;23;67;59;62;26;5,5;2,3;
2026/01/02;1600 UTC;0;983,8;986,1;983,8;2765;32,6;23,3;33;31,1;24,3;23;65;57;58;22;5,3;2,2;
2026/01/02;1700 UTC;0;982,7;983,8;982,7;3563,4;33,4;23,2;33,9;31,8;23,9;22,9;61;54;55;327;4,8;2;
2026/01/02;1800 UTC;0;981,8;982,7;981,8;3352,2;32,6;24,8;34;32,3;25,2;22,8;64;54;64;275;7;3,4;
2026/01/02;1900 UTC;0;981,8;981,9;981,6;2114,4;29,8;22,4;32,6;28,8;24,6;20,8;73;56;65;245;10,8;1,7;
2026/01/02;2000 UTC;11,8;982,1;982,2;981,7;192;25,6;23,7;29,8;23,5;23,9;22;94;65;90;69;9,4;1,9;
