REGIAO:;N
UF:;TO
ESTACAO:;SANTA ROSA DO TOCANTINS
CODIGO (WMO):;A052
LATITUDE:;-11,42888888
LONGITUDE:;-48,18499999
ALTITUDE:;306
DATA DE FUNDACAO:;14/08/15
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;977,5;977,5;976,8;;25,2;23,6;26,4;25;23,6;23,2;92;83;91;349;2;,8;
2026/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;0200 UTC;;978,5;978,6;;;25,3;22,7;25,3;24,4;23,6;22,5;94;85;86;;;;
2026/01/01;0300 UTC;0;978;978,5;978;;24,7;22,7;25,6;24,3;22,8;22,5;91;84;89;357;2,1;1,7;
2026/01/01;0400 UTC;0;977,7;978;977,7;;24,6;22,8;25;24,5;23;22,6;90;87;90;317;2,1;1,3;
2026/01/01;0500 UTC;0;976,9;977,7;976,9;;23,9;22,8;24,6;23,7;23,3;22,5;95;90;94;267;1,9;,7;
2026/01/01;0600 UTC;0;976,4;976,9;976,4;;23,2;22,4;23,9;23,1;22,8;22,3;95;94;95;336;1,8;,5;
2026/01/01;0700 UTC;0;976;976,4;975,9;;22,8;22;23,2;22,8;22,4;22;96;95;96;70;1,2;1;
2026/01/01;0800 UTC;0;976,6;976,6;976;;22,8;22,1;23,1;22,7;22,4;21,9;96;96;96;19;1,4;1,1;
2026/01/01;0900 UTC;0;977,3;977,3;976,6;2,2;23;22,3;23,2;22,6;22,5;21,9;96;96;96;27;2,7;1,4;
2026/01/01;1000 UTC;0;978,1;978,2;977,3;329;24,6;23,6;24,6;23;23,6;22,3;96;94;94;10;2,5;1,8;
2026/01/01;1100 UTC;0;978,6;978,6;978,1;916,4;26,9;23,4;27;24,6;24,3;23,3;95;82;82;327;2,6;,7;
2026/01/01;1200 UTC;0;979;979;978,6;1925,3;29,5;22;30,1;26,8;24,3;21,9;84;63;64;193;1,9;,6;
2026/01/01;1300 UTC;0;978,9;979,1;978,8;2610,8;30,5;21,4;30,9;29,2;23,3;21,4;69;57;58;266;3,6;1,8;
2026/01/01;1400 UTC;0;978,6;979;978,6;3104,2;31,7;21,7;31,7;30,6;23;20,7;63;53;55;261;4,3;1,7;
2026/01/01;1500 UTC;0;977,9;978,7;977,9;3084,3;32,5;20,8;32,8;30,9;23,6;20,8;63;50;50;50;4,2;1,1;
2026/01/01;1600 UTC;0;976,8;977,9;976,8;2725,8;32,8;21;32,9;31,2;23,4;20,4;62;49;50;233;5,3;1,9;
2026/01/01;1700 UTC;0;975,4;976,8;975,4;2257,4;31,4;22,7;33,4;31,4;24,3;20,4;63;48;60;225;5,8;3,7;
2026/01/01;1800 UTC;0;974,6;975,4;974,5;2968,9;33,2;23,7;33,2;30,8;24,2;22;64;54;58;231;5,9;3,1;
2026/01/01;1900 UTC;0;974,2;974,7;974,1;2355,5;33,8;23;34,4;32,5;24;20,6;59;45;53;;5,1;;
2026/01/01;2000 UTC;0;974,5;974,8;974,1;815,3;28,8;22,1;34,5;28,8;23,3;20,5;72;44;67;91;;2,1;
