REGIAO:;SE
UF:;ES
ESTACAO:;ECOPORANGA
CODIGO (WMO):;A631
LATITUDE:;-18,29138888
LONGITUDE:;-40,73638888
ALTITUDE:;224
DATA DE FUNDACAO:;17/03/17
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;987,6;987,6;986,8;;26,2;21,8;27,5;26,2;22,6;21,8;77;74;77;65;6,6;2,3;
2026/01/01;0100 UTC;0;988,2;988,3;987,6;;25;21,7;26,2;25;21,8;21,7;82;77;82;115;5,1;1,4;
2026/01/01;0200 UTC;0;988;988,4;988;;24,2;21,8;25;24,2;21,8;21,5;86;81;86;91;3,6;2,1;
2026/01/01;0300 UTC;0;987,5;988;987,5;;24;22,4;24,3;23,8;22,5;21,8;91;86;91;154;3,3;1;
2026/01/01;0400 UTC;0;986,7;987,4;986,7;;24;22,6;24,1;23,9;22,7;22,5;92;91;92;133;2,5;1,4;
2026/01/01;0500 UTC;0;986;986,7;986;;23,7;22,6;24;23,7;22,8;22,4;94;92;94;139;2,5;1,1;
2026/01/01;0600 UTC;0;986,1;986,1;985,8;;23,7;22,6;23,8;23,5;23;22,5;97;93;93;177;2,9;1,5;
2026/01/01;0700 UTC;0;986;986,1;985,9;;23,5;22,6;23,7;23,4;22,9;22,5;97;93;95;128;2,7;,9;
2026/01/01;0800 UTC;0;986,7;986,7;986;;23,6;22,8;23,7;23,5;23,1;22,5;97;93;96;131;1,9;,6;
2026/01/01;0900 UTC;0;987,2;987,3;986,7;61,6;23,4;22,8;23,6;23,2;22,9;22,7;98;96;97;116;2,2;1,3;
2026/01/01;1000 UTC;0;987,2;987,3;987,1;636,3;25,4;22,8;25,4;23,4;23,5;22,4;97;85;85;118;3;1,7;
2026/01/01;1100 UTC;0;987,7;987,7;987,2;1489,4;27;22,3;27,2;25,3;22,9;21,3;85;73;75;64;3,7;2;
2026/01/01;1200 UTC;0;987,7;987,9;987,7;1621,5;28,2;22,6;28,2;26,3;22,9;21,5;77;71;71;35;4,8;1,5;
2026/01/01;1300 UTC;0;987,4;987,7;987,4;2261,2;29,4;22,8;29,5;27,4;23,5;21,3;73;66;68;356;5;2,7;
2026/01/01;1400 UTC;0;986,6;987,4;986,6;2503,3;30;22,3;30,3;28,3;23,2;21,4;70;62;64;325;5,9;2,1;
2026/01/01;1500 UTC;0;985,8;986,6;985,8;3142,3;31,7;21,6;32,7;29,5;23;21,5;65;54;55;315;5,5;2,8;
2026/01/01;1600 UTC;0;984,7;985,8;984,7;2872,2;32,9;22,4;33,3;31;23,1;21,3;59;52;54;259;5,5;1,5;
2026/01/01;1700 UTC;0;983,5;984,7;983,5;2916,9;33,6;21,1;34;32,1;23,2;20,2;56;47;48;179;4,6;1,4;
2026/01/01;1800 UTC;0;982,3;983,5;982,3;3122,7;34,2;21;35;33,4;22,6;20,3;52;44;46;53;5,8;1,5;
2026/01/01;1900 UTC;0;981,5;982,4;981,5;2165,1;33,9;20;35;33,5;22;19,8;49;43;44;129;5,8;1,5;
2026/01/01;2000 UTC;0;981,6;981,6;981,3;1353,7;34;19,9;34,5;33,8;21,1;19,5;47;42;43;271;5,1;1,2;
2026/01/01;2100 UTC;0;981,8;981,9;981,5;422,4;31,5;21,1;34,3;31,5;21,1;19,5;54;42;54;107;2,7;,9;
2026/01/01;2200 UTC;0;982,1;982,1;981,7;5,5;30,4;20,1;31,8;29,8;21,8;20,1;61;51;54;166;1,7;,9;
2026/01/01;2300 UTC;0;982,5;982,5;982;;29,9;20;30,7;29,3;21,1;19,9;60;53;55;66;3,9;1,4;
2026/01/02;0000 UTC;0;983,8;983,9;982,5;;27,6;22,2;30;27,6;22,2;19,9;72;55;72;48;5,8;2;
2026/01/02;0100 UTC;0;984,2;984,3;983,8;;26,1;22,1;27,7;26,1;22,3;22,1;79;72;79;99;5,1;2,2;
2026/01/02;0200 UTC;0;983,9;984,3;983,9;;24,9;21,9;26,1;24,9;22,1;21,7;83;78;83;99;4,2;1;
2026/01/02;0300 UTC;0;983,4;983,9;983,3;;24,2;22,1;24,9;24,1;22,3;21,7;89;83;88;157;2,7;,9;
2026/01/02;0400 UTC;0;983,2;983,5;983;;23,2;22,1;24,2;23,2;22,3;21,9;94;88;94;155;2;,5;
2026/01/02;0500 UTC;0;982,9;983,2;982,9;;22,9;22,3;23,8;22,9;22,3;21,8;96;90;96;164;1,8;,3;
2026/01/02;0600 UTC;0;982,5;983;982,4;;22,6;22,3;23,7;22,5;22,3;21,8;98;90;98;235;1,7;,7;
2026/01/02;0700 UTC;0;982,4;982,5;982,3;;22,4;22,2;22,8;22,3;22,4;22,1;99;96;99;180;1,3;,4;
2026/01/02;0800 UTC;0;982,7;982,7;982,4;;22,3;22,3;22,4;22,1;22,3;22,1;100;99;100;267;1;,2;
2026/01/02;0900 UTC;0;983,5;983,5;982,7;161,6;23,2;22,6;23,2;22,1;23,1;22,2;100;96;96;164;1,4;,9;
2026/01/02;1000 UTC;0;983,8;983,9;983,5;572,9;24,8;22,4;24,9;23,2;23,1;22,4;97;86;86;92;2,2;1,1;
2026/01/02;1100 UTC;0;983,9;984;983,7;1790,1;26,9;22,5;27,2;24,8;23,2;21,7;88;75;77;1;4,8;2;
2026/01/02;1200 UTC;0;983,7;984;983,7;2471,7;29,2;23;29,2;26,8;23,6;21,8;79;67;69;314;4,6;3,2;
2026/01/02;1300 UTC;0;983,4;983,7;983,3;3116,4;31;22,5;31,2;28,5;23,6;21,7;71;60;60;329;6,3;2,7;
2026/01/02;1400 UTC;0;982,7;983,4;982,6;3627,5;32,4;21,6;33,2;30,8;24;21,6;63;53;53;332;7,8;3,4;
2026/01/02;1500 UTC;0;981,6;982,7;981,6;3701,2;35,3;23;35,3;32,4;24,4;21,7;59;49;49;345;6,6;2,2;
2026/01/02;1600 UTC;0;980,3;981,6;980,3;3699,5;35,7;22,7;36;34;23,7;21,5;52;44;47;23;7,5;1,6;
2026/01/02;1700 UTC;0;978,9;980,3;978,9;3440,7;36,4;22;37;35,3;23;20,3;47;40;44;351;6,7;3,1;
2026/01/02;1800 UTC;0;977,9;978,9;977,9;2920,7;36,4;20,6;37,7;36,4;22,5;20,6;44;38;40;22;6;2,6;
2026/01/02;1900 UTC;0;977,2;977,9;977,2;2194,6;36,9;20,8;37,6;36,4;22,5;20,3;43;38;39;1;5,8;2,6;
2026/01/02;2000 UTC;0;976,8;977,2;976,8;1365,8;36,7;21,1;37,2;36,4;21,4;19,5;42;37;40;27;4,6;1,2;
2026/01/02;2100 UTC;0;976,9;976,9;976,7;430;34;21,7;36,7;34;21,8;20,7;49;40;49;55;4,8;1,7;
2026/01/02;2200 UTC;0;977,7;977,7;977;5,6;32,5;21,9;34;32,5;22;21,7;54;49;54;43;5,1;1,8;
2026/01/02;2300 UTC;0;979,5;979,5;977,7;;30,4;24;32,6;30,4;24;21,8;69;53;69;43;7,2;1,8;
2026/01/03;0000 UTC;0;980,1;980,1;979,4;;29;23,8;30,4;29;24;23,7;73;69;73;39;6,5;1,2;
2026/01/03;0100 UTC;0;980,6;980,6;980,1;;28,1;23,7;29;28;23,9;23,7;78;73;77;86;4,2;1,6;
2026/01/03;0200 UTC;0;980,6;980,8;980,4;;27,2;23,5;28,1;27,1;23,7;23,5;81;77;80;51;3,7;1,5;
2026/01/03;0300 UTC;0;980,4;980,7;980,3;;26,2;23,6;27,3;26,2;23,6;23,3;86;79;86;7;4,2;,6;
2026/01/03;0400 UTC;0;980,5;980,5;980,3;;25,9;23,8;26,3;25,7;23,9;23,5;90;85;89;234;1,9;,6;
2026/01/03;0500 UTC;0;980,3;980,6;980,2;;25,2;24,1;26,1;25,2;24,3;23,7;94;87;93;125;1,4;,4;
2026/01/03;0600 UTC;0;980,5;980,6;980,3;;24,6;24,1;25,3;24,6;24,3;23,8;97;92;97;133;1,5;,5;
