REGIAO:;SE
UF:;MG
ESTACAO:;ARAXA
CODIGO (WMO):;A505
LATITUDE:;-19,60583333
LONGITUDE:;-46,94972221
ALTITUDE:;1018,32
DATA DE FUNDACAO:;19/12/02
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;901,9;901,9;901,8;;22,3;17,6;22,9;22,1;18,3;17,6;78;74;75;94;2,7;,5;
2026/01/01;0100 UTC;0;902,7;902,7;901,9;;22,2;17,8;22,6;22,2;17,8;17;76;71;76;157;1,6;0;
2026/01/01;0200 UTC;0;902,4;902,7;902,3;;22;17,7;22,2;21,8;17,9;16,9;78;73;77;346;1,1;,1;
2026/01/01;0300 UTC;0;902,1;902,4;902,1;;21,1;17,2;22;20,8;18,3;17,2;81;77;79;184;2,2;,2;
2026/01/01;0400 UTC;0;901,5;902,4;901,5;;19,9;17,8;21,1;19,5;18,3;17,2;91;79;88;190;6,8;,6;
2026/01/01;0500 UTC;0;901;901,5;900,9;;20,7;17,4;20,9;20;17,8;17,2;88;80;81;191;4;1,7;
2026/01/01;0600 UTC;0;900,7;901,1;900,7;;20,3;17,7;20,8;20,2;17,8;17,4;85;81;85;200;5,4;2,2;
2026/01/01;0700 UTC;0;900,4;900,7;900,2;;20,2;16,9;20,6;20,2;17,7;16,9;85;80;81;234;4;1,2;
2026/01/01;0800 UTC;0;900,7;900,7;900,3;;19,7;17;20,2;19,7;17;16,6;85;80;85;220;2,5;,7;
2026/01/01;0900 UTC;0;901;901,1;900,7;22,4;19,9;17;19,9;19,4;17,3;16,9;87;83;83;86;2;,1;
2026/01/01;1000 UTC;0;901,2;901,3;901;370,3;22,8;17,7;22,8;19,9;18,2;16,9;83;73;73;68;1,4;,6;
2026/01/01;1100 UTC;0;901,6;901,6;901,1;1490,9;25,1;19,3;25,2;22,8;19,4;17,9;75;67;70;226;2,8;1,3;
2026/01/01;1200 UTC;,2;901,8;901,8;901,6;2179,7;26,7;20;27;25,1;20,5;19,1;71;64;67;289;2,8;1;
2026/01/01;1300 UTC;0;901,9;901,9;901,8;3034,7;28;20,3;28,3;26,6;20,7;19,3;68;58;63;282;5,7;2,4;
2026/01/01;1400 UTC;0;901,5;901,9;901,5;3488,3;28,9;20,3;28,9;28,1;21;19,6;65;58;60;319;7,2;3,4;
2026/01/01;1500 UTC;0;900,7;901,5;900,7;3546,7;29,2;18,7;30,2;28,8;20,8;18,2;61;49;53;233;8,7;3;
2026/01/01;1600 UTC;0;899,9;900,7;899,9;2521,2;27,2;19,2;30;26,4;20,3;18,1;65;50;62;167;8,7;3,3;
2026/01/01;1700 UTC;8;899,4;900,2;899,4;605;20,6;19,5;27,5;19,4;20;17,1;94;59;94;181;14,6;3,2;
2026/01/01;1800 UTC;0;898,7;899,7;898,7;724,1;22,8;18;22,8;20,6;20;18;93;75;75;156;7,4;2,9;
2026/01/01;1900 UTC;0;898,5;898,8;898,4;429,9;23,2;17,4;23,2;22,7;18,4;17,2;76;69;70;126;4,9;,7;
2026/01/01;2000 UTC;0;898,5;899;898,5;369,2;23,2;18;23,7;23,1;18,7;17,3;74;67;73;8;8,4;1,1;
2026/01/01;2100 UTC;0;898,5;898,5;898;156,3;22;19,2;23,2;21,8;19,3;18;85;72;84;292;3;,9;
2026/01/01;2200 UTC;0;898,3;898,5;898,2;64,2;22,1;18,5;22,1;21,9;19,7;18,5;87;80;80;146;1,9;,6;
2026/01/01;2300 UTC;0;898,9;898,9;898,3;;22,1;18,5;22,4;22,1;18,9;18;82;76;80;296;1,7;0;
2026/01/02;0000 UTC;0;899,4;899,4;898,9;;21,3;19,3;22,1;21,3;19,3;18,3;89;79;89;202;2;1,4;
2026/01/02;0100 UTC;0;900,2;900,2;899,4;;22;17,8;22;21,3;19,5;17,3;89;75;77;153;2;0;
2026/01/02;0200 UTC;0;900,3;900,4;900,2;;21,3;18,3;22;21,3;18,3;17,5;83;76;83;231;1,6;1;
2026/01/02;0300 UTC;0;899,7;900,4;899,7;;21,6;17,6;21,6;21;19,3;17,5;90;77;78;166;1,6;,3;
2026/01/02;0400 UTC;0;899,4;899,9;899,4;;21;18,5;21,6;20,9;19,3;17,5;91;78;85;275;2;1,4;
2026/01/02;0500 UTC;0;898,5;899,4;898,5;;20,2;18,9;21;20,1;19,1;18,5;93;85;92;220;2,4;,8;
2026/01/02;0600 UTC;0;898,1;898,6;898,1;;20,6;17,9;20,6;20,2;18,9;17,9;92;84;84;192;2,5;,4;
2026/01/02;0700 UTC;,2;898,3;898,4;898,1;;20,2;18,5;20,7;20,2;18,5;17,8;90;84;90;228;2,5;1,2;
2026/01/02;0800 UTC;,2;898;898,4;897,9;;19,9;18,5;20,3;19,9;18,7;18,5;92;90;91;226;4,1;,6;
2026/01/02;0900 UTC;0;898,9;898,9;898;8,7;19,9;18,6;20,1;19,9;18,6;18,1;92;88;92;250;2,1;1,3;
2026/01/02;1000 UTC;0;899,4;899,4;898,9;201,9;20,5;19,3;20,5;19,8;19,4;18,6;94;92;93;306;2,4;,1;
2026/01/02;1100 UTC;0;899,6;899,6;899,4;981,9;22,9;19;22,9;20,5;19,7;18,7;93;78;79;255;2;1;
2026/01/02;1200 UTC;0;900;900;899,6;2101,3;24,9;18,9;25,4;22,9;19,4;18,2;79;64;69;319;3,7;1,8;
2026/01/02;1300 UTC;0;899,9;900;899,8;1778,8;24,8;19,3;25,1;24,6;19,7;18,5;73;68;72;289;4,2;2,5;
2026/01/02;1400 UTC;,2;899,2;899,9;899,1;2426,7;25;20,3;26,8;24,8;20,6;19,4;75;65;75;284;6,4;3,6;
2026/01/02;1500 UTC;1,8;898,5;899,2;898,5;1463,4;23,2;18,9;27,1;22,3;21,4;18,3;85;66;77;95;12,3;,5;
2026/01/02;1600 UTC;4,2;897,2;898,7;897,2;633,1;23,2;19,5;23,4;21,8;20,9;19,2;91;77;80;167;5,4;2;
2026/01/02;1700 UTC;0;895,9;897,2;895,9;2702,5;26,9;20,3;28,2;23,2;21,6;19,3;80;63;67;180;5,2;1,6;
2026/01/02;1800 UTC;0;894,9;895,9;894,7;2497,4;27,1;19,3;29,2;26,8;21,2;18,9;70;55;62;283;8;4,7;
2026/01/02;1900 UTC;0;895,2;895,3;894,9;437,2;23,2;18,3;27,1;23,2;19,2;17,8;74;62;74;169;8;2,3;
2026/01/02;2000 UTC;0;895;895,2;894,9;585,3;24,2;18,7;24,6;23,1;18,8;17,8;74;67;71;74;4,9;2,5;
2026/01/02;2100 UTC;0;894,8;895;894,8;733;25,9;19,1;26;24,2;19,2;18,4;71;64;66;194;3,9;1;
2026/01/02;2200 UTC;0;895,5;895,5;894,8;156,3;23,8;19,1;26;23,8;19,4;18,9;75;65;75;331;3,7;,5;
2026/01/02;2300 UTC;0;896,4;896,4;895,5;;22,9;19,4;23,8;22,9;19,5;19;81;75;81;6;1,9;,6;
2026/01/03;0000 UTC;0;897,5;897,7;896,4;;21,3;18,7;22,9;21,2;19,6;18,6;87;80;85;213;10,4;1,9;
2026/01/03;0100 UTC;0;898,1;898,1;897,5;;20,8;18,4;21,3;20,8;18,7;18,3;88;84;86;208;5,4;1,9;
2026/01/03;0200 UTC;,4;898,3;898,4;898;;20,4;18,8;20,8;20,4;18,8;18,3;91;86;91;257;3,9;2,5;
