REGIAO:;SE
UF:;MG
ESTACAO:;MONTE VERDE
CODIGO (WMO):;A509
LATITUDE:;-22,86166666
LONGITUDE:;-46,04333333
ALTITUDE:;1544,89
DATA DE FUNDACAO:;19/12/04
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;848,5;848,5;848;;18,1;15,5;19;18,1;15,6;15;85;79;85;58;0;0;
2026/01/01;0100 UTC;0;848,9;849;848,5;;18,1;15,7;18,2;17,9;15,8;15,4;86;85;86;114;0;0;
2026/01/01;0200 UTC;0;848,7;849;848,7;;18,3;16;18,3;17,9;16;15,5;87;86;86;106;0;0;
2026/01/01;0300 UTC;0;848,1;848,7;848,1;;18,1;15,9;18,3;18;15,9;15,7;87;86;87;45;0;0;
2026/01/01;0400 UTC;0;847,4;848,1;847,4;;18;16;18,2;18;16,1;15,8;88;87;88;85;0;0;
2026/01/01;0500 UTC;0;847;847,4;847;;17,8;15,8;18,2;17,8;16,2;15,8;88;88;88;256;1,1;0;
2026/01/01;0600 UTC;0;846,7;847;846,6;;17,6;15,9;17,8;17,4;15,9;15,5;89;88;89;285;0;0;
2026/01/01;0700 UTC;0;846,4;846,7;846,3;;18;16;18;17,6;16,1;15,9;89;88;88;228;2,8;,8;
2026/01/01;0800 UTC;,6;846,3;846,6;846,2;;17,5;15,7;18;17,4;16;15,7;90;88;90;293;9,4;4;
2026/01/01;0900 UTC;0;846,8;846,8;846,3;12;17,3;15,4;17,5;17,2;15,7;15,4;90;89;89;301;9,4;2,7;
2026/01/01;1000 UTC;0;846,8;846,8;846,7;200,5;17,7;15,8;17,7;17,2;15,8;15,4;89;89;89;121;8,3;0;
2026/01/01;1100 UTC;0;847;847,1;846,8;516,5;18,3;15,4;18,4;17,7;16;15,4;89;84;84;135;1,6;,2;
2026/01/01;1200 UTC;0;847,3;847,4;847;1139,1;20,3;15,2;20,3;18,2;16;14,7;84;72;72;322;2,5;,6;
2026/01/01;1300 UTC;0;847,4;847,6;847,3;1873,3;22,2;14,2;22,3;20;16;13,4;73;57;60;292;8,1;2,5;
2026/01/01;1400 UTC;0;847,4;847,5;847,3;2423,1;22,8;14,1;22,9;21,6;14,7;13,4;62;58;58;296;9,4;3,3;
2026/01/01;1500 UTC;0;846,9;847,4;846,9;2560;23,6;14,1;24,7;22,6;15,6;13,5;61;53;55;276;7,3;2,6;
2026/01/01;1600 UTC;0;846,4;846,9;846,4;3392,3;24,6;14;25,5;23,6;14,6;12,7;56;46;52;273;9,5;3,6;
2026/01/01;1700 UTC;0;845,3;846,4;845,3;2450;24,8;14,3;25,3;23,5;14,7;13,5;55;50;52;279;7,9;2,6;
2026/01/01;1800 UTC;0;844,8;845,4;844,8;1784,6;25,1;14,7;25,1;23,2;14,7;13,1;55;50;52;262;7,8;2;
2026/01/01;1900 UTC;0;844,1;844,8;844,1;1503;25,6;14,2;25,7;23,3;15;13,4;57;49;49;253;5,7;2,4;
