REGIAO:;SE
UF:;MG
ESTACAO:;DIAMANTINA
CODIGO (WMO):;A537
LATITUDE:;-18,231052
LONGITUDE:;-43,648269
ALTITUDE:;1359,25
DATA DE FUNDACAO:;05/06/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;867,9;867,9;867,1;;21,2;16,6;21,2;20,9;17;16,6;78;75;75;110;2,4;0;
2026/01/01;0100 UTC;0;868,3;868,3;867,9;;21,1;16,8;21,3;20,9;16,8;16,1;76;73;76;57;2,9;,2;
2026/01/01;0200 UTC;0;868,3;868,5;868,3;;21,1;17,5;21,5;21,1;17,6;17;80;77;80;34;2,5;1;
2026/01/01;0300 UTC;0;867,6;868,3;867,6;;20,9;17,6;21,2;20,6;17,8;17,5;83;80;82;30;2,4;1;
2026/01/01;0400 UTC;0;866,9;867,6;866,9;;20,6;17,6;20,9;20,4;17,7;17,4;83;82;83;41;3,3;,7;
2026/01/01;0500 UTC;0;866,6;866,9;866,5;;20,1;17,4;20,7;20;17,7;17,1;84;82;84;65;2,7;,8;
2026/01/01;0600 UTC;0;866,3;866,6;866,3;;20,4;17,3;20,6;20,1;17,6;17,3;84;82;83;27;2,4;1,3;
2026/01/01;0700 UTC;0;866,1;866,3;866,1;;19,7;17,1;20,4;19,5;17,4;17;86;83;85;358;2,3;1,3;
2026/01/01;0800 UTC;0;866,4;866,4;866;;19,6;17;19,7;19,2;17,2;16,9;87;85;85;6;3;1,7;
2026/01/01;0900 UTC;0;866,8;866,8;866,4;70,8;20,1;17,2;20,1;19,1;17,2;16,7;87;83;83;338;3,1;1,5;
2026/01/01;1000 UTC;0;867,3;867,3;866,8;720,4;21,6;17,4;21,6;20,1;17,6;17,2;83;77;77;346;3,7;2,3;
2026/01/01;1100 UTC;0;867,4;867,4;867,2;1533;23,4;17,8;23,6;21,5;18,1;17,4;78;70;71;352;4;2,2;
2026/01/01;1200 UTC;0;867,6;867,6;867,3;2377,4;24,6;17,7;24,7;23,2;18,4;17,2;72;65;66;346;4,4;2,7;
2026/01/01;1300 UTC;0;867,7;867,8;867,6;3130,4;25,5;18,2;25,5;24,4;18,2;17,2;67;62;64;340;4,8;2,4;
2026/01/01;1400 UTC;0;867,1;867,7;867,1;3295,7;25,8;17,2;26,7;24,9;18,7;17,1;65;57;59;327;4,8;2;
2026/01/01;1500 UTC;0;866,5;867,1;866,5;2281,3;26,3;18,2;26,8;25,3;18,4;15,8;65;54;61;331;5,9;3,3;
2026/01/01;1600 UTC;0;865,9;866,6;865,9;1426,6;23,6;15,5;26,3;22,7;18,3;15,3;66;59;61;22;6,8;1,3;
