REGIAO:;SE
UF:;MG
ESTACAO:;CURVELO
CODIGO (WMO):;A538
LATITUDE:;-18,74777777
LONGITUDE:;-44,45388888
ALTITUDE:;669,48
DATA DE FUNDACAO:;18/12/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;938,3;938,3;937,4;;23,6;19,6;25,2;23,3;19,7;19,1;79;70;78;236;3,3;2,1;
2026/01/01;0100 UTC;0;938,9;938,9;938,3;;23,1;19,3;23,7;23;19,6;19,2;80;77;79;241;3,3;1,5;
2026/01/01;0200 UTC;0;938,9;939,1;938,8;;22,4;19,2;23,1;22,3;19,3;19,1;82;79;82;223;2,4;1,7;
2026/01/01;0300 UTC;0;938,3;939;938,3;;21,9;19;22,7;21,9;19,4;19;84;82;84;200;2,3;,3;
2026/01/01;0400 UTC;0;937,8;938,3;937,8;;21,6;19,1;22,1;21,4;19,3;18,8;86;83;86;218;3,8;1,7;
2026/01/01;0500 UTC;0;937,3;937,9;937,3;;21,9;19,5;21,9;21,4;19,6;19;87;86;86;248;3,1;,4;
2026/01/01;0600 UTC;0;937,2;937,4;937,2;;21,5;19,2;22;21,5;19,6;19,1;87;85;86;233;1,4;0;
2026/01/01;0700 UTC;0;936,7;937,2;936,7;;21,7;18,9;22,1;21,3;19,6;18,8;87;84;84;192;1,7;,9;
2026/01/01;0800 UTC;0;937,3;937,3;936,7;;20,8;18,6;21,7;20,8;19;18,6;88;84;88;147;2;,3;
2026/01/01;0900 UTC;0;937,6;937,6;937,3;92,3;22,5;19,8;22,5;20,7;19,8;18,2;88;84;84;57;1,7;1,1;
2026/01/01;1000 UTC;0;937,9;938;937,6;681,6;24,2;20,2;24,3;22,5;20,5;19,8;85;78;78;17;2,4;1,1;
2026/01/01;1100 UTC;0;938,2;938,3;937,9;1575,8;26,5;20,1;26,8;24,1;20,7;19,6;79;66;68;81;2,8;1,6;
2026/01/01;1200 UTC;0;938,4;938,4;938,2;2357,4;28,6;20;29;26,6;20,6;19,5;69;58;60;117;3,3;,9;
2026/01/01;1300 UTC;0;938,3;938,4;938,2;2985,5;30,4;19,1;30,7;28,3;21,1;19,1;62;50;51;321;5,4;2,1;
2026/01/01;1400 UTC;0;937,6;938,3;937,6;3318,2;30,9;19,5;32;29,7;20,9;18,9;56;48;51;344;5,9;2,3;
2026/01/01;1500 UTC;0;936,7;937,6;936,7;3792,4;32,1;18,2;33,1;30,9;20;17,4;52;42;44;291;5,9;1,4;
2026/01/01;1600 UTC;0;935,6;936,7;935,6;3452,1;32,7;18;33,9;32,1;19,1;16;46;37;42;290;6,2;2,8;
2026/01/01;1700 UTC;0;934,5;935,6;934,5;3890,3;33,6;17,7;34,4;32,7;18,7;16,5;42;36;39;278;6,7;1,6;
2026/01/01;1800 UTC;0;933,3;934,6;933,3;2483,1;34,1;17,9;35,1;32,8;19,2;17;42;37;38;1;5,8;3;
2026/01/01;1900 UTC;0;934,1;934,1;933,3;1830,8;28,9;18,9;35;28,3;18,9;17,2;55;36;55;336;12,5;2,3;
2026/01/01;2000 UTC;0;934,7;934,9;934,2;420,8;24,6;18,4;28,9;24,6;18,9;17,4;68;55;68;247;16,6;5,1;
2026/01/01;2100 UTC;0;935,2;935,3;934,7;198,9;23,7;19;24,6;23,7;19,2;18,4;75;68;75;226;9,1;1,9;
2026/01/01;2200 UTC;0;935,3;935,3;934,8;33,7;23,2;19,2;24;23,2;19,3;18,7;78;73;78;203;3,3;1,3;
2026/01/01;2300 UTC;0;936,1;936,1;935;;23,8;19,7;23,8;23;19,7;19,1;80;78;78;107;3,6;1,9;
2026/01/02;0000 UTC;0;936,5;936,5;936;;23,8;19,4;24;23,7;19,7;19,4;78;76;76;61;4;1,9;
2026/01/02;0100 UTC;0;936,6;936,6;936,2;;23,3;19,6;23,8;23,3;19,6;19,4;80;76;80;97;3,1;,3;
