REGIAO:;SE
UF:;MG
ESTACAO:;UNAI
CODIGO (WMO):;A542
LATITUDE:;-16,55416666
LONGITUDE:;-46,88194443
ALTITUDE:;640,85
DATA DE FUNDACAO:;16/06/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;;941;941,2;940,3;;25,9;19,4;26,9;25,3;20,6;19,2;73;63;67;260;6;3,4;
2026/01/01;0100 UTC;;941,2;941,2;941;;24;19;26,4;24;19,2;18,6;74;63;74;249;6,2;0;
2026/01/01;0200 UTC;;941,3;941,4;941,2;;22,7;19,1;24,1;22,7;19,3;19;80;73;80;97;1,6;0;
2026/01/01;0300 UTC;;940,8;941,3;940,8;;22,2;19,4;22,9;21,8;19,5;19;85;80;84;196;3;1;
2026/01/01;0400 UTC;;940,3;940,8;940,3;;22,1;18,8;24,3;22,1;19,6;18;84;69;81;34;4,2;,3;
2026/01/01;0500 UTC;;940;940,4;940;;21,9;19,1;22,1;21,4;19,5;18,8;87;81;84;27;2,1;0;
2026/01/01;0600 UTC;;940;940,1;940;;21,8;19,2;22,1;21,5;19,3;18,8;87;84;85;333;2,3;0;
2026/01/01;0700 UTC;;940;940;939,9;;21,4;19,4;21,8;20,9;19,4;18,8;89;85;88;117;1,5;,4;
2026/01/01;0800 UTC;;940,2;940,2;940;;21,5;19,3;21,7;21,4;19,5;19,1;88;86;88;1;2,7;0;
2026/01/01;0900 UTC;;940,7;940,7;940,2;19,2;21,2;19,5;21,5;20,8;19,5;19;91;87;90;285;1,7;0;
2026/01/01;1000 UTC;;941;941;940,6;476,6;24,4;20;24,4;21,1;20,6;19,4;91;76;76;322;1,7;0;
