REGIAO:;SE
UF:;MG
ESTACAO:;ESPINOSA
CODIGO (WMO):;A543
LATITUDE:;-14,91222222
LONGITUDE:;-42,80861111
ALTITUDE:;565,36
DATA DE FUNDACAO:;14/11/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;948,6;948,7;948,2;;27,2;17,2;29,9;27,2;18,4;17,2;57;47;54;;;;
2026/01/01;0100 UTC;0;948,6;948,9;948,6;;25,6;18,2;27,2;25,6;18,4;17,3;64;55;64;;;;
2026/01/01;0200 UTC;0;948,7;948,9;948,6;;25,2;18,7;25,6;25,2;18,8;18,2;67;64;67;;;;
2026/01/01;0300 UTC;0;948,2;948,8;948,2;;24,2;18,8;25,3;24,2;18,8;18,4;71;66;71;;;;
2026/01/01;0400 UTC;0;947,8;948,2;947,8;;23,5;19,1;24,6;23,5;19,1;18,7;76;70;76;;;;
2026/01/01;0500 UTC;0;947,4;947,8;947,3;;23,1;19,4;23,6;23;19,4;19,1;80;76;80;;;;
2026/01/01;0600 UTC;0;947,2;947,5;947,2;;22,8;19,3;23,3;22,8;19,5;19,3;81;78;81;;;;
2026/01/01;0700 UTC;0;947;947,2;947;;22,4;18,9;23;22,3;19,3;18,8;81;78;81;;;;
2026/01/01;0800 UTC;0;947,5;947,5;947;;22;19,3;22,5;21,9;19,3;18,7;85;79;85;;;;
2026/01/01;0900 UTC;0;948,4;948,4;947,5;34,6;22,3;18,8;22,3;21,9;19,3;18,7;85;81;81;;;;
2026/01/01;1000 UTC;0;948,6;948,7;948,4;691,1;25,9;18,9;25,9;22,3;19,5;18,8;82;65;65;;;;
2026/01/01;1100 UTC;0;948,9;948,9;948,6;1633,6;27,5;18,7;27,8;25,8;19,2;18,6;67;58;58;;;;
2026/01/01;1200 UTC;0;949;949;948,8;2483,7;28,7;18,2;29,1;27,4;18,9;18,2;59;53;53;;;;
2026/01/01;1300 UTC;0;948,9;949,1;948,9;3169,8;30,6;18,4;31,1;28,7;19;18;53;47;48;;;;
2026/01/01;1400 UTC;0;948,1;948,9;948,1;3748,9;33,6;18,3;33,6;30,6;18,7;17,6;48;40;40;;;;
2026/01/01;1500 UTC;0;947,1;948,1;947,1;3920,9;34,2;16,4;34,7;32,6;18,2;15,4;42;34;35;;;;
2026/01/01;1600 UTC;0;945,9;947,1;945,9;4036,6;35;14,8;35,9;33,7;16,4;14,6;35;29;30;;;;
2026/01/01;1700 UTC;0;944,8;945,9;944,8;3854,6;36,5;15,5;36,9;35;15,8;14,4;30;27;29;;;;
2026/01/01;1800 UTC;0;944,5;944,8;944,5;1816,2;33,4;18,5;37,7;33,4;18,5;14,7;42;26;42;;;;
2026/01/01;1900 UTC;2,4;945;945;944,2;475,4;29,3;19,1;33,3;26,7;22,4;17,6;77;42;54;;;;
2026/01/01;2000 UTC;0;944,2;945,1;944,1;344,4;26,4;19,3;29,3;25,5;20,6;17,8;71;54;65;;;;
2026/01/01;2100 UTC;0;944,5;944,5;944;561,7;27,2;18,9;27,8;26,4;19,9;18,4;66;57;61;;;;
2026/01/01;2200 UTC;0;944,9;945;944,4;15,1;25,5;19,7;27,2;25,4;20,1;19;72;61;71;;;;
2026/01/01;2300 UTC;0;945,9;945,9;944,9;;25,6;20,2;25,6;25,3;20,7;20;75;71;72;;;;
2026/01/02;0000 UTC;0;946,4;946,4;945,9;;24,8;20,8;25,6;24,8;21,1;20,2;79;72;78;;;;
2026/01/02;0100 UTC;0;946,6;946,7;946,4;;25;20,6;25,4;24,8;21;20,2;79;74;77;;;;
2026/01/02;0200 UTC;0;947;947;946,6;;24,9;20,4;25;24,7;21;20,3;79;76;76;;;;
2026/01/02;0300 UTC;0;946,5;947;946,5;;24,6;20,8;25;24,5;21,2;20,3;82;75;80;;;;
2026/01/02;0400 UTC;0;945,8;946,5;945,8;;24,1;20,9;24,6;24,1;21,1;20,5;83;78;82;;;;
2026/01/02;0500 UTC;0;945,3;945,8;945,3;;23,9;20,8;24,4;23,8;20,9;20,5;83;80;83;;;;
2026/01/02;0600 UTC;0;945,1;945,3;945,1;;23,9;21,1;24,7;23,9;21,1;20,4;84;78;84;;;;
2026/01/02;0700 UTC;0;944,9;945,1;944,8;;22,9;21,2;23,9;22,9;21,2;20,8;90;84;90;;;;
2026/01/02;0800 UTC;0;945,4;945,4;944,8;;22,3;20,5;23;22,2;21,3;20,5;90;89;90;;;;
2026/01/02;0900 UTC;0;946,3;946,3;945,4;40,8;22,5;20,6;22,7;22,3;20,7;20,3;90;87;89;;;;
2026/01/02;1000 UTC;0;946,6;946,7;946,3;474,8;24,7;20,2;24,8;22,5;20,6;20,1;89;76;76;;;;
2026/01/02;1100 UTC;0;947,2;947,2;946,6;1188,5;26,9;20,7;27;24,7;20,7;19,9;76;68;69;;;;
2026/01/02;1200 UTC;0;947,6;947,6;947,2;2023;28,5;19,3;29,3;26,7;20,9;19,3;70;57;57;;;;
2026/01/02;1300 UTC;,2;947,3;947,6;947,3;2588,4;30,7;18,5;31,1;28,5;20;18,4;58;48;48;;;;
2026/01/02;1400 UTC;0;946,6;947,3;946,6;1590,2;30,6;19;31,7;30,2;19,6;18,6;53;48;50;;;;
2026/01/02;1500 UTC;0;945,6;946,6;945,6;2312,3;33;19;33,5;30,2;19,8;18,8;53;43;44;;;;
2026/01/02;1600 UTC;0;944,3;945,6;944,3;2981,9;32,8;17,8;34;32,3;19,2;17,8;44;39;41;;;;
2026/01/02;1700 UTC;0;943;944,3;943;2383,2;33,3;16,9;34,6;32,8;18,6;16,7;42;37;38;;;;
2026/01/02;1800 UTC;0;941,3;943;941,3;2791,5;35,1;16,7;35,6;33,2;18;16,4;39;33;34;;;;
2026/01/02;1900 UTC;0;940,6;941,3;940,6;2381,4;36;16,4;36;34,9;17,2;16,1;34;31;31;;;;
2026/01/02;2000 UTC;0;940,4;940,7;940,4;1110,9;32,6;18,9;36,5;32,6;18,9;15,9;44;31;44;;;;
2026/01/02;2100 UTC;0;941,4;941,4;940,4;339,3;31,3;16;32,6;31,1;18,8;16;47;40;40;;;;
2026/01/02;2200 UTC;0;942,4;942,4;941,4;9,8;29,3;19,2;31,5;29,3;19,9;15,4;55;38;55;;;;
2026/01/02;2300 UTC;0;943,1;943,1;942,3;;28,5;19;29,3;28,2;19,6;19;60;55;56;;;;
2026/01/03;0000 UTC;0;943,3;943,3;942,8;;28,4;19,5;29,1;28,4;19,5;18,3;59;53;59;;;;
2026/01/03;0100 UTC;0;944,3;944,4;943,3;;27,3;18,3;29,4;27,3;20,1;18,3;61;52;58;;;;
2026/01/03;0200 UTC;0;945,1;945,2;944,3;;25,8;19,5;27,4;25,4;21,1;18,2;77;57;68;;;;
2026/01/03;0300 UTC;0;944,6;945,1;944,6;;25,1;20,2;25,8;25;20,2;19,5;74;68;74;;;;
2026/01/03;0400 UTC;0;944,5;945,1;944,5;;24,4;20,5;25,3;24,4;20,6;20;79;73;79;;;;
2026/01/03;0500 UTC;,8;945,2;945,5;944,4;;23,3;21,1;24,7;23,3;21,2;20,3;88;77;88;;;;
2026/01/03;0600 UTC;1,2;945,6;945,6;945;;22,4;20,4;23,3;22,2;21;20,4;92;87;88;;;;
2026/01/03;0700 UTC;2,8;945,6;945,7;945;;22,3;20,4;22,5;22,1;21,2;20,1;93;87;89;;;;
2026/01/03;0800 UTC;3,4;947,5;947,5;945,6;;21,2;18,9;22,4;21,2;21,6;18,9;97;87;87;;;;
2026/01/03;0900 UTC;11;948,5;948,5;947,5;1,3;20;19;21,2;19,9;19,5;18,8;97;86;94;;;;
2026/01/03;1000 UTC;3,8;947,7;948,5;947,7;38,7;20,3;18,8;20,3;20;18,9;18,6;94;91;91;;;;
2026/01/03;1100 UTC;1,8;948,3;948,3;947,7;216,3;20,7;19,2;20,7;20,3;19,3;18,8;93;91;91;;;;
2026/01/03;1200 UTC;,2;948,5;948,5;948,1;814,4;22,1;18,8;22,5;20,7;20;18,8;92;82;82;;;;
2026/01/03;1300 UTC;0;948,7;948,7;948,5;1769,2;24,5;19,8;24,5;22;20,1;18,6;84;73;75;;;;
2026/01/03;1400 UTC;0;949,3;949,3;948,7;726,1;23,9;19,6;24,5;23,8;20,1;19,2;80;73;77;;;;
2026/01/03;1500 UTC;,8;949,3;949,4;949,2;603;23,3;20,9;23,9;23,3;21,5;19,1;89;74;86;;;;
2026/01/03;1600 UTC;0;948,6;949,4;948,6;1082,6;24,3;19,4;24,5;23,3;21,4;19,4;87;74;74;;;;
2026/01/03;1700 UTC;0;947,8;948,6;947,8;979;24,9;19,8;24,9;24,2;20,5;19,1;79;72;73;;;;
2026/01/03;1800 UTC;0;946,2;947,8;946,2;926,9;24,3;20,6;25;24,2;20,7;19,4;80;72;80;;;;
2026/01/03;1900 UTC;0;944,9;946,2;944,8;812,9;23,9;19,9;24,3;23,8;20,6;19,6;81;77;78;;;;
2026/01/03;2000 UTC;0;944,6;944,9;944,5;659;24,2;20;24,3;23,8;20,2;19,5;79;76;77;;;;
2026/01/03;2100 UTC;0;944,6;944,7;944,3;393,6;24,2;19,5;24,6;24;20;19,3;78;74;75;;;;
2026/01/03;2200 UTC;0;945,5;945,5;944,6;44,3;23,3;20;24,2;23,2;20,3;19,5;82;75;82;;;;
2026/01/03;2300 UTC;0;946,4;946,4;945,5;;22,7;21,1;23,4;22,7;21,2;19,9;91;81;91;;;;
2026/01/04;0000 UTC;0;947,2;947,2;946,4;;23;21,1;23,3;22,7;21,3;20,5;91;84;89;;;;
2026/01/04;0100 UTC;0;948,1;948,1;947,2;;22,9;21,3;23,1;22,9;21,3;20,9;91;88;91;;;;
2026/01/04;0200 UTC;0;948,7;948,7;948,1;;22,7;22;22,9;22,6;22;21,3;96;91;96;;;;
2026/01/04;0300 UTC;0;948,2;948,7;948,2;;22,3;21,9;22,7;22,1;22;21,5;98;94;97;;;;
2026/01/04;0400 UTC;0;947,7;948,2;947,7;;22,2;22;22,3;22,1;22;21,4;99;95;99;;;;
2026/01/04;0500 UTC;0;947,2;947,7;947,2;;22;;22,2;22;22,1;21,9;100;98;;;;;
2026/01/04;0600 UTC;0;946,9;947,2;946,9;;21,9;;22;21,9;;;;;;;;;
2026/01/04;0700 UTC;0;946,8;946,9;946,7;;21,8;21,3;22,3;21,8;;;;;97;;;;
2026/01/04;0800 UTC;0;947,8;947,8;946,8;;21,9;20,7;22,1;21,8;21,9;20,6;100;91;93;;;;
2026/01/04;0900 UTC;,2;948,5;948,6;947,8;28;21,8;21,1;22;21,8;21,1;20,7;96;93;96;;;;
2026/01/04;1000 UTC;0;948,8;948,8;948,5;280,8;23,2;20,2;23,3;21,8;21,4;19,6;97;82;83;;;;
