REGIAO:;SE
UF:;MG
ESTACAO:;SALINAS
CODIGO (WMO):;A552
LATITUDE:;-16,16027777
LONGITUDE:;-42,31027777
ALTITUDE:;487,14
DATA DE FUNDACAO:;14/09/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;957,6;957,6;957;;28;21,1;28,8;27,3;21,1;18,6;66;59;66;268;1,2;,5;
2026/01/01;0100 UTC;0;958,1;958,1;957,6;;26,8;21,5;28,1;26,3;22;21;73;66;73;342;1,5;,1;
2026/01/01;0200 UTC;0;957,8;958,1;957,8;;26,5;21,9;27,5;26,1;22,3;21,3;76;73;76;311;1,7;,3;
2026/01/01;0300 UTC;0;957,4;957,8;957,4;;26;22,2;26,5;21,8;22,2;18,1;80;76;80;298;1;,1;
2026/01/01;0400 UTC;0;956,9;957,4;956,9;;25,5;22,2;26,1;25,4;22,4;22,1;82;80;82;214;1,4;,5;
2026/01/01;0500 UTC;0;956,5;956,8;956,4;;25,2;22,3;25,5;24,9;22,3;21,9;84;82;84;206;1,4;,1;
2026/01/01;0600 UTC;0;956,6;956,7;956,5;;24,1;21,5;25,2;21;22,3;18,3;85;84;85;306;1,4;,4;
2026/01/01;0700 UTC;0;956,8;956,8;956,6;;24,5;22,1;24,9;22,1;22,5;19,7;86;85;86;324;1,6;,1;
2026/01/01;0800 UTC;0;957,8;957,8;956,8;;26,2;23,5;26,3;24,5;23,6;22,1;87;85;85;109;1,1;,2;
2026/01/01;0900 UTC;0;958,3;958,3;957,8;27,7;26,4;23,2;26,5;26,1;23,6;23,2;85;83;83;82;1,4;,1;
