REGIAO:;SE
UF:;MG
ESTACAO:;CARATINGA
CODIGO (WMO):;A554
LATITUDE:;-19,73583333
LONGITUDE:;-42,13722221
ALTITUDE:;609,25
DATA DE FUNDACAO:;24/05/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;944,6;944,6;944,2;;27,6;21,2;28,1;27,6;21,2;20,9;68;66;68;354;1,8;,7;
2026/01/01;0100 UTC;0;944,8;944,9;944,5;;26,5;20,7;27,6;26,5;21,3;20,5;71;68;71;104;1,3;,5;
2026/01/01;0200 UTC;0;944,8;944,9;944,7;;25,8;20,6;26,5;25,8;20,9;20,5;73;71;73;187;1,8;0;
2026/01/01;0300 UTC;0;944,7;944,8;944,7;;25,4;20,7;25,8;25,3;20,7;20,4;75;73;75;119;1;0;
2026/01/01;0400 UTC;0;944;944,7;944;;25,2;20,9;25,4;25,1;21;20,7;77;75;77;258;1,7;,8;
2026/01/01;0500 UTC;0;943,3;944;943,3;;24,6;20,7;25,2;24,6;20,9;20,6;79;77;79;134;1,7;,1;
2026/01/01;0600 UTC;0;943,3;943,5;943,3;;24,2;20,6;24,6;24,1;20,8;20,3;80;79;80;352;,7;,1;
2026/01/01;0700 UTC;0;943,3;943,3;943,2;;23,7;20,3;24,3;23,7;20,7;20,2;82;80;81;225;1,2;0;
2026/01/01;0800 UTC;0;943,9;943,9;943,3;;23,7;20,5;23,9;23,3;20,6;20,1;83;81;83;331;1,2;,2;
2026/01/01;0900 UTC;0;944,4;944,4;943,9;116,1;24;21,1;24;23,6;21,1;20,5;84;83;84;347;1,9;,5;
2026/01/01;1000 UTC;0;944,7;944,7;944,4;753,9;25,3;22,4;25,3;24;22,4;21,1;84;84;84;355;1,7;,7;
2026/01/01;1100 UTC;0;945;945;944,7;1487,2;27;24;27;25,3;24;22,5;84;83;84;11;3,2;1,6;
2026/01/01;1200 UTC;0;945;945,1;944,9;2211,2;28,1;24,8;28,4;27;25,1;23,9;84;82;82;345;6,2;2,7;
2026/01/01;1300 UTC;0;944,9;945,1;944,9;2674,6;30,2;26,3;30,3;28,1;26,5;24,7;82;80;80;10;5,4;2,3;
2026/01/01;1400 UTC;0;944,3;944,9;944,3;3410,5;31,4;26,6;32;29,9;27,7;25,9;80;76;76;14;6,3;3,1;
2026/01/01;1500 UTC;0;943,3;944,3;943,3;2854,3;33,2;27,6;33,2;30,8;27,6;25,8;76;73;73;63;5,7;1,8;
2026/01/01;1600 UTC;0;942,3;943,4;942,3;3575,3;33,1;26,2;33,6;32,2;27,7;26,1;73;67;67;351;5,6;2,2;
2026/01/01;1700 UTC;0;941,1;942,3;941,1;3310,5;34,2;26;34,6;32,9;26,8;25,7;67;62;62;6;5,2;1,4;
2026/01/01;1800 UTC;0;940,2;941,1;940;3029,5;34,6;24,9;34,9;34,1;26,5;24,8;63;57;57;339;5,9;1,5;
2026/01/01;1900 UTC;0;939,3;940,2;939,3;2292,6;34,6;23,4;35,7;34,5;25,8;23,4;57;52;52;348;4,6;2;
2026/01/01;2000 UTC;0;940,2;940,3;939,2;488,6;32,5;21,2;34,6;32,5;23,3;21,2;52;51;52;304;5,9;2,9;
2026/01/01;2100 UTC;0;939,8;940,3;939,8;213,6;30,6;20,5;32,5;30,6;21,2;20,5;55;52;55;251;5,4;1,6;
2026/01/01;2200 UTC;0;940,5;940,5;939,8;16,3;28,9;20,3;30,6;28,9;20,5;20,3;60;55;60;164;3,5;,3;
2026/01/01;2300 UTC;0;941,6;941,6;940,5;;28;20,6;28,9;28;20,6;20,3;64;60;64;270;1,9;,8;
2026/01/02;0000 UTC;0;942,7;942,7;941,6;;27,6;21;28;27,5;21;20,6;67;64;67;253;7,3;2,4;
2026/01/02;0100 UTC;,8;943,9;943,9;942,6;77,5;25,4;19,6;27,7;25,4;21,2;19,6;70;67;70;237;7,3;,9;
2026/01/02;0200 UTC;16,2;942,1;944,2;942,1;112,2;23,6;18,7;25,4;23,2;19,7;17,9;74;70;74;250;8,3;1,2;
2026/01/02;0300 UTC;0;941,7;942,1;941,6;275,1;24;19,6;24;23,6;19,6;18,7;77;74;77;322;2,7;,1;
2026/01/02;0400 UTC;0;941,5;941,7;941,5;425,6;23,8;19,9;24;23,8;19,9;19,6;79;77;79;21;2,6;0;
2026/01/02;0500 UTC;0;940,8;941,5;940,8;410,7;23,9;20,3;23,9;23,8;20,3;19,9;80;79;80;324;1,3;0;
2026/01/02;0600 UTC;0;940,3;940,8;940,3;454,6;23,7;20,4;23,9;23,7;20,5;20,2;82;80;82;6;0;0;
2026/01/02;0700 UTC;0;939,7;940,3;939,7;796,8;23,5;20,4;23,7;23,3;20,4;20,2;83;82;83;197;1,4;,2;
2026/01/02;0800 UTC;0;940,1;940,1;939,7;851,4;23;20,1;23,5;23;20,4;20,1;84;83;84;317;,9;0;
2026/01/02;0900 UTC;0;941;941;940,1;761,8;23,4;20,7;23,4;23;20,7;20,1;85;84;85;274;,8;0;
2026/01/02;1000 UTC;0;941,7;941,7;941;742,9;25;22,3;25,1;23,4;22,5;20,8;86;85;85;100;1,7;,8;
2026/01/02;1100 UTC;,2;941,9;941,9;941,7;1758,1;25,9;23,1;26,1;24,9;23,4;22,3;85;85;85;357;1,8;,4;
2026/01/02;1200 UTC;0;941,8;941,9;941,8;2385,5;28,2;25,2;28,3;25,9;25,2;23,2;85;83;84;39;2,9;1,5;
2026/01/02;1300 UTC;0;941,5;941,9;941,5;2818,6;30,5;26,9;30,5;28,3;27;25,2;84;81;81;20;4,7;2;
2026/01/02;1400 UTC;0;941,2;941,6;941,2;3069,9;31,9;27,5;31,9;30,4;27,5;26,7;81;77;77;208;5,1;1,9;
2026/01/02;1500 UTC;0;940,4;941,2;940,4;3511,1;32,3;26,7;32,5;31,4;27,5;26,6;77;72;72;277;7,7;2,6;
2026/01/02;1600 UTC;0;939,4;940,4;939,4;3402,6;33,5;26,5;33,7;32,3;27,2;26,2;72;67;67;294;5,9;1,8;
2026/01/02;1700 UTC;0;938,1;939,4;938,1;3097,4;34,1;25,3;34,5;33,3;26,9;25,3;67;60;60;237;5,1;2,3;
2026/01/02;1800 UTC;0;937,1;938,1;937,1;2746;34,7;24;34,7;34;25,5;23,8;60;54;54;267;5,1;2,2;
2026/01/02;1900 UTC;0;936,3;937,1;936,3;2395,2;35,2;22,7;35,4;34,4;23,9;22,7;54;49;49;277;5,1;,4;
2026/01/02;2000 UTC;0;936,2;936,4;936,2;1395,9;34,9;21,5;35,4;34,7;22,9;21,4;49;46;46;179;2,8;,7;
2026/01/02;2100 UTC;0;936,2;936,3;936;234,7;32;19,3;34,9;32;21,5;19,3;47;45;47;269;2,6;,2;
2026/01/02;2200 UTC;0;936,9;937;936;22,6;30;19,3;32;30;19,3;18,9;53;47;53;248;1,8;1,1;
2026/01/02;2300 UTC;0;937,8;937,8;936,9;;28,9;20;30;28,7;20;19;59;53;59;275;3,4;1;
2026/01/03;0000 UTC;0;938,7;938,8;937,8;;28;20,5;28,9;28;20,5;19,9;64;59;64;223;4,3;1,8;
2026/01/03;0100 UTC;0;938,9;938,9;938,6;;27,3;20,7;28;27,3;20,7;20,4;67;64;67;167;5,2;2,1;
2026/01/03;0200 UTC;1;940;940;938,9;427,1;26,2;20,3;27,3;26,2;20,9;20,2;70;67;70;288;7;3,1;
2026/01/03;0300 UTC;10;940,3;940,9;940;296,5;23,2;18,2;26,2;23,1;20,4;18;74;70;74;4;9,3;2,7;
2026/01/03;0400 UTC;2,4;939,4;940,3;939,4;,3;23,1;18,8;23,2;23,1;18,8;18,2;77;74;77;223;5,5;,4;
2026/01/03;0500 UTC;1,4;938,9;939,4;938,5;53;23,3;19,5;23,3;23,1;19,5;18,8;79;77;79;162;1,7;0;
2026/01/03;0600 UTC;0;939,3;939,5;938,9;65,5;23,4;19,9;23,5;23,3;19,9;19,5;81;79;81;40;1,6;,8;
2026/01/03;0700 UTC;,2;938,9;939,3;938,8;88,6;23,3;20,1;23,4;23,3;20,2;19,9;82;81;82;173;1,6;,1;
2026/01/03;0800 UTC;0;939,3;939,3;938,8;510,2;23,3;20,4;23,4;23,3;20,4;20,1;83;82;83;52;1,1;0;
2026/01/03;0900 UTC;0;940,2;940,2;939,3;742,3;23,4;20,7;23,4;23,2;20,7;20,3;84;83;84;348;2,3;,2;
2026/01/03;1000 UTC;0;940,7;940,7;940,2;497,6;24,5;21,8;24,5;23,4;21,9;20,7;85;84;85;63;1,4;,2;
2026/01/03;1100 UTC;0;941,1;941,1;940,7;1251,1;25,5;22,8;25,6;24,2;22,9;21,5;86;85;85;322;1,4;,4;
2026/01/03;1200 UTC;0;941,6;941,6;941,1;1771,3;26,2;23,5;26,5;25,4;23,9;22,8;86;85;85;353;4,6;2,5;
2026/01/03;1300 UTC;0;941,5;941,7;941,5;2396,5;28,1;25;28,2;26,2;25,3;23,6;85;83;84;348;8,3;4,2;
2026/01/03;1400 UTC;0;941;941,5;941;2706,7;29,3;26;29,3;28;26;25;84;82;82;342;7,4;1,3;
2026/01/03;1500 UTC;0;940,3;941;940,2;2953,5;30,7;26,7;30,9;29,3;27,2;26;82;80;80;5;5,6;2,3;
2026/01/03;1600 UTC;0;939,4;940,3;939,4;2247,1;30,9;26,4;31,2;30,5;27;26,1;80;77;77;348;6,6;1,7;
2026/01/03;1700 UTC;0;938,4;939,4;938,4;2217,6;32,4;27,1;32,6;30,8;27,4;26,1;77;74;74;11;6,7;3,1;
2026/01/03;1800 UTC;0;938,1;938,4;937,9;2189,4;32,4;26,4;32,6;31,6;27,1;25,8;74;71;71;20;6,6;3,3;
2026/01/03;1900 UTC;0;937,6;938,1;937,6;1563,9;31,1;24,3;33,3;31,1;27;24,3;71;67;67;357;7,8;3,9;
2026/01/03;2000 UTC;0;938,7;938,7;937,4;410,6;29,1;21,8;31,1;29,1;24,2;21,8;67;65;65;251;8,6;3,9;
2026/01/03;2100 UTC;0;939,2;939,6;938,7;28,9;24,5;18,2;29;24,5;21,6;18,1;68;65;68;161;8,6;2,6;
2026/01/03;2200 UTC;0;940;940;939,2;;24,2;18,7;24,5;24,2;18,7;18,2;72;68;72;195;5,4;,7;
2026/01/03;2300 UTC;1,4;940,6;940,7;940;;23,8;19;24,2;23,8;19;18,7;74;72;74;190;2,3;,6;
2026/01/04;0000 UTC;,2;940,9;940,9;940,5;;23,8;19,5;23,9;23,8;19,5;19;77;74;77;198;2,3;,5;
2026/01/04;0100 UTC;0;942,2;942,3;940,9;;23,7;19,8;23,9;23,7;19,9;19,5;78;77;78;244;4,8;2,3;
2026/01/04;0200 UTC;0;942;942,6;941,8;;23,9;20,3;23,9;23,7;20,3;19,8;80;78;80;216;7;,1;
2026/01/04;0300 UTC;3,6;942,1;942,3;941,8;;23,5;20,1;23,9;23,4;20,3;20;81;80;81;221;5,9;,8;
2026/01/04;0400 UTC;8,8;941,7;942,2;941,5;;23,2;20;23,5;23,1;20,1;19,8;82;81;82;360;2,3;,1;
2026/01/04;0500 UTC;6,4;941,6;942,2;941,5;;23;20;23,2;23;20,1;19,9;83;82;83;333;3,8;,4;
2026/01/04;0600 UTC;,4;940,7;941,6;940,7;;23;20,2;23;22,8;20,2;20;84;83;84;302;2,1;0;
2026/01/04;0700 UTC;,2;940,7;940,8;940,6;;22,9;20,3;23;22,8;20,3;20;85;84;85;6;,7;0;
2026/01/04;0800 UTC;1,6;941,3;941,3;940,6;;22,9;20,5;23;22,9;20,5;20,2;86;85;86;356;3;1,9;
2026/01/04;0900 UTC;,4;941,3;941,5;941,1;75,1;23;20,7;23;22,8;20,7;20,4;87;86;87;189;3,2;,2;
2026/01/04;1000 UTC;0;942;942;941,3;710,3;23,7;21,4;23,8;23;21,5;20,7;87;86;87;358;1,4;,3;
2026/01/04;1100 UTC;0;942,5;942,6;942;1060,2;24,4;22;24,4;23,7;22,1;21,4;87;87;87;34;2,4;,9;
2026/01/04;1200 UTC;0;943,1;943,1;942,5;1124,9;25,2;22,7;25,2;24,4;22,7;22;87;86;86;14;2,5;,5;
2026/01/04;1300 UTC;0;943,3;943,3;943,1;1388,6;26,2;23,6;26,2;25,2;23,6;22,7;86;85;86;354;4,2;1,7;
2026/01/04;1400 UTC;0;943,2;943,3;943,2;1453,1;27,2;24,4;27,3;26;24,5;23,3;86;85;85;334;4,7;1,3;
2026/01/04;1500 UTC;0;942,9;943,2;942,9;1997,9;27,6;24,4;27,9;26,9;24,8;24;85;83;83;269;6,1;3,2;
2026/01/04;1600 UTC;0;942,5;942,9;942,5;1803,2;28,5;24,9;28,5;27,6;25,1;24,3;83;81;81;328;6,1;2,4;
2026/01/04;1700 UTC;0;942;942,6;942;2125,2;29,2;25,2;29,2;28,3;25,3;24,6;81;79;79;263;5,6;1,8;
2026/01/04;1800 UTC;0;941,5;942;941,5;2421,6;29,2;24,7;30,4;29;26,3;24,6;79;76;77;255;4,8;2,2;
