REGIAO:;SE
UF:;MG
ESTACAO:;MANHUACU
CODIGO (WMO):;A556
LATITUDE:;-20,26333333
LONGITUDE:;-42,18277777
ALTITUDE:;819,47
DATA DE FUNDACAO:;25/09/10
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;921,7;921,8;921,4;;24,4;20,2;25;24,4;20,6;20,2;78;76;78;83;5,1;2,5;
2026/01/01;0100 UTC;0;922,2;922,2;921,7;;23,8;20,6;24,4;23,7;20,8;20,1;83;78;82;33;4,5;,4;
2026/01/01;0200 UTC;0;922,1;922,2;922;;23,3;22,7;23,9;23,2;22,7;20,3;96;81;96;267;2;1,6;
2026/01/01;0300 UTC;0;921,9;922,1;921,8;;23;22,9;23,7;22,8;23;22,4;100;95;100;140;2;0;
2026/01/01;0400 UTC;0;921;921,9;921;;22,3;22,3;23;22,1;22,9;22,1;100;98;100;218;1,7;,1;
2026/01/01;0500 UTC;0;920,5;921;920,5;;22;;22,4;21,5;22,4;21,5;100;100;;112;4,3;1,1;
2026/01/01;0600 UTC;0;920,5;920,6;920,4;;21,7;;22,1;21,5;;;;;;203;2,3;,4;
2026/01/01;0700 UTC;0;920,4;920,6;920,3;;21,8;;22,1;21,6;;;;;;106;3,9;2,2;
2026/01/01;0800 UTC;0;920,6;920,6;920,3;;21,6;;21,8;21,4;;;;;;101;5,3;2,6;
2026/01/01;0900 UTC;0;921,3;921,3;920,6;151;22;22;22,1;21,3;;;;;100;97;4,7;,1;
2026/01/01;1000 UTC;0;921,7;921,7;921,3;900,9;23,4;22;23,5;22;22,7;21,4;100;89;92;114;4,6;2,6;
2026/01/01;1100 UTC;0;921,7;921,7;921,6;1749,2;24,7;19,9;24,8;23,4;22,9;19,4;95;74;75;121;4,5;2,8;
2026/01/01;1200 UTC;0;921,6;921,8;921,6;3174;27,3;20,1;27,3;24,7;20,6;18,9;75;62;65;61;5,7;2,8;
