REGIAO:;SE
UF:;MG
ESTACAO:;OLIVEIRA
CODIGO (WMO):;A570
LATITUDE:;-20,715
LONGITUDE:;-44,86444444
ALTITUDE:;1025
DATA DE FUNDACAO:;19/10/17
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;901,9;901,9;901,4;;24,1;18;24,6;23,6;18,7;18;73;67;69;229;2,1;1,5;
2026/01/01;0100 UTC;0;902,2;902,3;901,9;;23,2;18,3;24,4;22,3;18,8;17,6;77;66;74;251;1,9;1,4;
2026/01/01;0200 UTC;0;902,2;902,3;902;;22,3;17,8;24,3;22,2;18,4;17,5;78;66;76;177;2,1;1,3;
2026/01/01;0300 UTC;0;901,6;902,2;901,6;;19,8;18;23,9;19,8;18,4;17,6;90;68;90;51;2,8;1,9;
2026/01/01;0400 UTC;0;901,1;901,6;901;;21,6;18;21,8;19,8;18,8;17,9;91;79;80;118;2,8;,6;
2026/01/01;0500 UTC;0;900,7;901,1;900,6;;20;18;22;20;18,5;17,9;88;79;88;92;1,7;,7;
2026/01/01;0600 UTC;0;900,5;900,8;900,5;;19,7;18;21,4;19,6;18,5;17,6;91;82;90;46;1,4;1;
2026/01/01;0700 UTC;0;900;900,5;900;;20,8;18,3;20,9;19,7;18,6;18;91;86;86;227;3,3;1,1;
2026/01/01;0800 UTC;0;900,3;900,3;899,8;;19;17,6;21,4;19;18,4;17;92;81;91;36;2,7;1,4;
2026/01/01;0900 UTC;0;901;901;900,3;71,7;20,5;18,3;20,6;19;18,4;17,5;92;87;88;55;1,9;,7;
