REGIAO:;SE
UF:;RJ
ESTACAO:;TERESOPOLIS-PARQUE NACIONAL
CODIGO (WMO):;A618
LATITUDE:;-22,4486111
LONGITUDE:;-42,98694444
ALTITUDE:;981
DATA DE FUNDACAO:;01/11/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;905,8;905,8;905,6;0;20,8;18,6;21,7;20,8;18,8;18,1;88;81;87;;;;
2026/01/01;0100 UTC;0;906;906;905,8;0;20,1;18,8;20,8;20,1;19,1;18,6;93;87;92;;;;
2026/01/01;0200 UTC;0;905,7;906;905,7;0;19,9;18,9;20,2;19,8;19,2;18,7;95;92;94;;;;
2026/01/01;0300 UTC;0;905,3;905,7;905,3;0;19,6;18,8;20,5;19,6;19,1;18,7;95;91;95;;;;
2026/01/01;0400 UTC;0;904,6;905,3;904,6;0;20,3;18,5;20,5;19,5;19;18,4;95;88;89;;;;
2026/01/01;0500 UTC;0;904;904,6;904;0;20,6;18,4;20,7;19,7;18,9;18,2;94;86;88;;;;
2026/01/01;0600 UTC;0;903,5;904;903,4;0;20,4;18,8;20,8;20,1;18,8;18,2;92;85;90;;;;
2026/01/01;0700 UTC;0;903,1;903,5;903,1;0;21;18,4;21,1;20,2;18,8;18,3;91;84;85;;;;
2026/01/01;0800 UTC;0;903,4;903,4;903,1;0;21,3;18,5;21,5;20,7;18,8;18,3;89;83;84;;;;
2026/01/01;0900 UTC;0;903,8;903,8;903,4;69,6;21,9;18,3;21,9;21,2;18,6;18,2;85;80;80;;;;
2026/01/01;1000 UTC;0;904;904;903,7;552,4;23,8;18,7;23,8;21,9;18,8;18,2;80;73;73;;;;
2026/01/01;1100 UTC;0;904,3;904,4;904;1590,7;26,6;17,6;26,6;23,8;19,1;17,2;73;57;58;;;;
2026/01/01;1200 UTC;0;904,3;904,4;904,2;2121,7;27,9;17,7;27,9;26,4;18,5;16,3;61;50;54;;;;
2026/01/01;1300 UTC;0;904,2;904,3;904,1;3357,7;30,3;17,1;30,3;27,9;19,3;15,5;56;43;45;;;;
2026/01/01;1400 UTC;0;904;904,3;904;3175,6;30,1;17,6;30,9;28,7;20;15,3;56;42;47;;;;
2026/01/01;1500 UTC;0;903,3;904;903,2;2946,4;31,4;19,2;31,5;28,8;19,2;16,7;53;42;48;;;;
2026/01/01;1600 UTC;0;902,7;903,3;902,7;3365,9;30,6;17,6;32,4;29,7;19,7;16,3;50;41;46;;;;
2026/01/01;1700 UTC;0;901,8;902,8;901,8;1192,1;27,6;20,2;31,5;27,4;20,4;17,2;66;43;64;;;;
2026/01/01;1800 UTC;0;901,3;902,1;901;384,5;25,2;19,5;27,8;25,2;21,2;17,9;74;55;71;;;;
2026/01/01;1900 UTC;0;901,6;901,6;901;335,5;25,7;20,6;25,7;25;21,8;18,8;80;67;73;;;;
2026/01/01;2000 UTC;0;901,2;901,7;901,1;376,5;24,3;19,3;25,7;23,1;21,1;18,9;87;68;74;;;;
2026/01/01;2100 UTC;0;901,6;901,7;901;258,1;23;18,9;24,7;23;19,5;17,7;79;64;78;;;;
2026/01/01;2200 UTC;0;901,9;901,9;901,4;35,1;22;19,5;23,1;22;19,6;18,8;86;78;86;;;;
2026/01/01;2300 UTC;0;902,2;902,3;901,7;0;22;19,8;22;21,7;20;19,5;89;86;88;;;;
2026/01/02;0000 UTC;0;903,2;903,2;902,1;0;22,9;19,5;22,9;21,9;20;19,2;88;81;81;;;;
2026/01/02;0100 UTC;18;903,2;904,2;903,2;,4;20,4;20,1;23,2;19,8;20,3;19,4;98;80;98;;;;
2026/01/02;0200 UTC;1,8;902,7;903,2;902,7;0;19,9;19,5;20,7;19,4;20,3;19,1;98;98;98;;;;
2026/01/02;0300 UTC;0;902;902,7;901,9;0;20,1;19,7;20,1;19,5;19,7;19,2;98;98;98;;;;
2026/01/02;0400 UTC;0;901,4;902;901,4;0;19,8;19,4;20,2;19,4;19,8;19,1;98;98;98;;;;
2026/01/02;0500 UTC;0;901,1;901,5;901;0;20,5;20;21;19,8;20,1;19,4;98;91;97;;;;
2026/01/02;0600 UTC;0;900,4;901,1;900,4;,5;21,4;19,4;21,4;20,4;20,1;19,4;98;88;88;;;;
2026/01/02;0700 UTC;,2;900,2;900,4;900,1;,7;20,6;20,2;21,5;20,5;20,2;19,4;98;87;97;;;;
2026/01/02;0800 UTC;0;900,4;900,4;900,2;,1;20;19,6;20,6;19,9;20,2;19,6;98;96;98;;;;
2026/01/02;0900 UTC;0;900,8;900,8;900,4;80,9;20,3;20;20,4;20;20;19,6;98;97;98;;;;
2026/01/02;1000 UTC;0;901;901,1;900,8;376,4;21,5;20,5;21,5;20,3;20,9;19,8;98;92;94;;;;
2026/01/02;1100 UTC;0;901;901,1;900,9;1207,4;23,6;18,6;23,8;21,5;20,8;18,6;95;74;74;;;;
2026/01/02;1200 UTC;0;901;901;900,8;1746,2;25,3;19,6;26,2;23,6;20;18,6;79;63;71;;;;
2026/01/02;1300 UTC;0;901;901,2;900,9;1511,6;25;19,8;25,9;24,8;20,2;18,6;74;65;73;;;;
