REGIAO:;SE
UF:;RJ
ESTACAO:;PARATY
CODIGO (WMO):;A619
LATITUDE:;-23,2236111
LONGITUDE:;-44,72694443
ALTITUDE:;3
DATA DE FUNDACAO:;19/11/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;1011;1011;1010,7;;26,7;24,5;27,5;25,7;25,1;23,7;88;86;88;258;2,8;1,7;
2026/01/01;0100 UTC;0;1011,4;1011,5;1011;;25,9;24;26,7;25,1;24,4;23,3;89;88;89;259;3,1;1,7;
2026/01/01;0200 UTC;0;1011,9;1011,9;1011,4;;25,7;23,7;26,4;25,2;24,4;23,4;90;88;88;292;3,7;1,5;
2026/01/01;0300 UTC;0;1011,3;1012;1011,3;;26,1;24,4;26,6;25,5;24,9;23,5;90;87;90;165;3,1;,4;
2026/01/01;0400 UTC;0;1010,5;1011,3;1010,5;;24,8;23,6;26,5;24,7;24,7;23,6;93;90;93;265;3,8;2,5;
2026/01/01;0500 UTC;0;1009,5;1010,5;1009,5;;25;23,9;25,4;24,4;24,3;23,3;94;93;94;261;3,9;2,4;
2026/01/01;0600 UTC;0;1008,7;1009,5;1008,7;;24,5;23,3;25,4;23,9;24;22,8;94;92;93;255;3,6;2,2;
2026/01/01;0700 UTC;0;1008,5;1008,7;1008,4;;24,5;23,3;25;23,7;23,6;22,7;94;93;93;272;3,6;2,5;
2026/01/01;0800 UTC;0;1008;1008,5;1008;;24,5;23,1;25,2;23,8;23,6;22,6;93;92;92;243;4,2;1,6;
2026/01/01;0900 UTC;0;1008,5;1008,5;1008;68,6;23,9;22,8;25;23,7;23,6;22,6;94;92;94;268;3,6;2,1;
2026/01/01;1000 UTC;0;1009;1009,1;1008,5;529,3;25,8;23,7;26,5;24;24,3;23;94;88;88;255;4,4;1,3;
2026/01/01;1100 UTC;0;1008,9;1009;1008,9;518,8;26,9;23,4;27,5;25,9;24,5;23,2;88;81;81;278;2,8;1;
2026/01/01;1200 UTC;0;1009,1;1009,2;1008,9;627,6;28,3;24,1;28,3;26,7;24,2;23,3;82;77;78;230;2,1;,6;
2026/01/01;1300 UTC;0;1009;1009,2;1009;1712,8;30,8;23,9;31,1;27,8;24,5;23,1;79;65;67;160;4,1;,6;
2026/01/01;1400 UTC;0;1008,7;1009;1008,6;3383,7;32,1;23,4;33,2;30,4;24,8;22,7;67;58;60;69;4,6;2,3;
2026/01/01;1500 UTC;0;1008;1008,7;1008;3481,7;32,6;23,8;33,2;31,5;24,9;23,1;64;59;60;63;5,7;2,8;
2026/01/01;1600 UTC;0;1007,5;1008;1007,5;3000,4;32,5;23,6;32,8;31,3;24,3;22,8;63;57;59;65;5,7;2,3;
2026/01/01;1700 UTC;0;1006,4;1007,5;1006,4;1986,4;31,5;22,5;33,2;30,6;24,9;22,2;68;56;59;105;5,7;2,3;
2026/01/01;1800 UTC;0;1005,6;1006,4;1005,6;1478;33;23,1;33,1;31;23,4;20,7;61;52;56;48;5,7;1,6;
2026/01/01;1900 UTC;0;1005,2;1005,6;1005,2;1402;31,7;22,1;33,3;31,4;22,6;20,7;57;51;57;53;4,9;2,2;
2026/01/01;2000 UTC;0;1005;1005,3;1005;733,7;31,6;22,9;32,1;31;23,1;21,5;61;56;60;68;4,4;2,1;
2026/01/01;2100 UTC;0;1005,3;1005,3;1004,9;735,5;31,8;23,7;31,9;30,8;23,7;22,4;64;59;62;61;3,7;1,4;
2026/01/01;2200 UTC;0;1005,5;1005,5;1005,1;255,8;29,5;23,8;31,9;29,4;24;22,4;72;60;72;155;3,3;,6;
