REGIAO:;SE
UF:;RJ
ESTACAO:;SILVA JARDIM
CODIGO (WMO):;A659
LATITUDE:;-22,64583333
LONGITUDE:;-42,41555555
ALTITUDE:;19
DATA DE FUNDACAO:;28/08/15
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;1009,5;1009,7;1009,4;;27,6;22,5;28,5;27,5;22,7;22,3;74;70;74;70;2,6;1,1;
2026/01/01;0100 UTC;0;1009,9;1010;1009,5;;25,7;22,7;27,6;25,6;22,8;22,4;84;74;83;15;1,9;,6;
2026/01/01;0200 UTC;0;1009,4;1009,9;1009,4;;24,8;22,6;25,7;24,8;22,9;22,5;88;83;88;322;1,3;,4;
2026/01/01;0300 UTC;0;1009;1009,4;1009;;24,3;22,4;24,8;24,2;22,7;22,3;90;88;90;188;1,5;,3;
2026/01/01;0400 UTC;0;1008,1;1009;1008,1;;23,9;22,5;24,3;23,9;22,5;22,2;91;90;91;214;1,2;,4;
2026/01/01;0500 UTC;0;1007,7;1008,1;1007,7;;23,6;22,3;23,9;23,6;22,5;22,3;92;91;92;255;1,5;,8;
2026/01/01;0600 UTC;0;1007,2;1007,8;1007,1;;23,3;22,1;23,7;23,3;22,4;22,1;93;92;93;327;1,5;,4;
2026/01/01;0700 UTC;0;1006,6;1007,2;1006,6;;23,1;22,2;23,4;23,1;22,3;22,1;94;93;94;267;1,1;,7;
2026/01/01;0800 UTC;0;1006,7;1006,7;1006,4;;23;22,1;23,1;23;22,2;22;95;94;95;234;1,8;,8;
2026/01/01;0900 UTC;0;1007,3;1007,3;1006,7;193,9;24,4;23,6;24,4;23;23,6;22,1;95;95;95;271;1,8;,5;
2026/01/01;1000 UTC;0;1007,4;1007,5;1007,1;656,2;26,7;23,7;26,7;24,4;24,9;23,5;95;84;84;9;1,3;,4;
2026/01/01;1100 UTC;0;1007,5;1007,5;1007,4;1467,4;30,1;24,1;30,2;26,6;24,2;23,3;84;70;70;226;2,3;1,1;
2026/01/01;1200 UTC;0;1007,4;1007,6;1007,4;2025,9;31,6;24;31,6;30,1;24,4;23,5;71;63;64;142;2,4;,9;
2026/01/01;1300 UTC;0;1007,2;1007,5;1007,2;2883,8;34,1;24,7;34,1;31,6;24,8;23,5;64;56;58;144;3,5;1,3;
2026/01/01;1400 UTC;0;1006,7;1007,2;1006,7;3383,7;35,5;22,6;35,8;34;24,4;22,6;58;47;47;115;3,6;1,4;
2026/01/01;1500 UTC;0;1005,7;1006,7;1005,7;3583,9;37,4;21,4;37,7;35,5;24,1;21,4;51;40;40;266;3,4;1,5;
2026/01/01;1600 UTC;0;1004,9;1005,7;1004,8;3112,3;37,7;23,2;38,5;36,7;24,4;21,5;46;39;44;126;6,1;2,4;
2026/01/01;1700 UTC;0;1004,1;1004,9;1004,1;3207,7;37,1;23,2;38,1;36,9;24,1;22,7;46;42;45;151;7,1;3,3;
2026/01/01;1800 UTC;0;1003,1;1004,1;1003,1;1978;34,4;22,4;37,3;34,4;23,6;21,7;50;44;50;178;6,6;2,5;
2026/01/01;1900 UTC;0;1005,9;1006;1003,1;482,5;26,3;21,6;34,6;26,3;22,6;20,1;75;49;75;20;13;4,9;
2026/01/01;2000 UTC;22,2;1005,1;1006,1;1005;59,4;24;22,7;26,4;23,4;22,9;21,1;93;74;92;15;13,9;1,9;
