REGIAO:;SE
UF:;SP
ESTACAO:;PRESIDENTE PRUDENTE
CODIGO (WMO):;A707
LATITUDE:;-22,11999999
LONGITUDE:;-51,40861111
ALTITUDE:;431,92
DATA DE FUNDACAO:;04/02/03
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;,2;963;963;962,2;0;23,2;22;23,4;22,6;22,2;21;93;91;93;68;3,7;1,5;
2026/01/01;0100 UTC;0;964,2;964,2;962,9;;23,8;22,9;23,8;23,1;22,9;22;95;93;95;127;3,3;1;
2026/01/01;0200 UTC;0;964,1;964,2;964,1;;23,7;22,7;24;23,6;23;22,7;95;94;94;105;4,8;1,7;
2026/01/01;0300 UTC;,2;963,5;964,1;963,5;;23,3;22,4;23,7;23,2;22,7;22,4;95;94;95;80;4,7;1,3;
2026/01/01;0400 UTC;0;962,8;963,5;962,8;;23,2;22,2;23,3;23,2;22,5;22,2;95;94;94;72;3,5;1,1;
2026/01/01;0500 UTC;0;962,5;962,8;962,4;;22,9;22,1;23,3;22,9;22,3;22,1;95;94;95;60;3,5;1,2;
2026/01/01;0600 UTC;0;961,9;962,5;961,9;;22,9;21,9;23;22,9;22,1;21,9;95;94;94;74;3,7;1,4;
2026/01/01;0700 UTC;0;961,5;961,9;961,4;;22,8;21,8;22,9;22,7;21,9;21,8;95;94;94;74;3,9;1,7;
2026/01/01;0800 UTC;0;961,6;961,7;961,4;;22,7;21,8;22,8;22,7;21,9;21,8;95;94;95;53;4,3;1,2;
2026/01/01;0900 UTC;0;962,1;962,1;961,6;3;22,7;22;22,8;22,6;22;21,8;96;95;96;45;4,4;1,1;
2026/01/01;1000 UTC;0;962,7;962,7;962,1;201;23,2;22,2;23,2;22,7;22,3;22;96;94;94;10;3,6;1,9;
2026/01/01;1100 UTC;0;963,1;963,2;962,7;703,4;24,6;22,4;24,6;23,2;23,2;22,2;95;87;88;359;4,2;1,9;
2026/01/01;1200 UTC;0;963;963,1;962,9;1779,1;26,4;22,5;26,6;24,6;22,9;22;89;78;79;18;5,6;2,1;
2026/01/01;1300 UTC;0;962,9;963,1;962,9;2468,5;28,8;23,8;28,8;26,3;23,8;21,9;80;70;75;327;5,5;1,9;
2026/01/01;1400 UTC;0;962,6;962,9;962,6;3216,5;29,3;22,7;30;28,1;23,9;21,5;74;64;68;322;6,5;1,7;
2026/01/01;1500 UTC;0;961,9;962,6;961,8;3605,2;30;21,8;31,2;29,3;23,6;21,8;68;59;62;347;6;2,8;
2026/01/01;1600 UTC;0;960,3;961,9;960,3;3356;33,2;23,7;33,2;29,8;24,2;21,3;66;55;58;325;6,1;1,7;
2026/01/01;1700 UTC;0;959,2;960,3;959,2;2651,1;32,7;21,6;33,2;31;23,6;20,2;60;50;52;304;5,8;2,2;
2026/01/01;1800 UTC;0;958;959,2;958;2778;33,1;22,3;34,1;32;22,3;19,2;53;45;53;311;6;1,8;
2026/01/01;1900 UTC;0;957,4;958,1;957,4;2299,1;32,9;21,2;34,5;32,3;21,8;19,6;53;43;50;281;6,7;3,1;
2026/01/01;2000 UTC;7,6;958,3;959,3;957,4;280,7;23,3;22;32,9;22,1;22,2;20;95;49;93;247;17,3;2,1;
2026/01/01;2100 UTC;0;959;959;958,3;111,5;24,4;22,5;24,4;23,3;22,9;21,9;94;89;89;232;4,7;1,5;
2026/01/01;2200 UTC;,2;959,2;959,2;959;112,7;24,1;22,6;24,4;24,1;22,7;22,5;91;89;91;218;5,9;1,4;
2026/01/01;2300 UTC;0;958,9;959,3;958,9;1,3;24;22,4;24,2;23,9;22,7;22,4;92;90;91;191;3,9;,8;
2026/01/02;0000 UTC;0;959,9;959,9;958,9;;24,1;22,4;24,3;23,8;22,5;22,1;92;88;91;185;2,4;,7;
2026/01/02;0100 UTC;0;961,2;961,2;959,9;;24,1;22,4;24,2;23,9;22,5;22,2;91;89;90;343;1,5;,8;
2026/01/02;0200 UTC;0;960,9;961,4;960,9;;24;22,5;24,3;24;22,6;22,3;92;89;92;52;2,9;,5;
2026/01/02;0300 UTC;0;960,5;960,9;960,4;;23,9;22,5;24;23,9;22,6;22,5;92;91;92;53;2,9;1;
