REGIAO:;SE
UF:;SP
ESTACAO:;SAO CARLOS
CODIGO (WMO):;A711
LATITUDE:;-21,98027777
LONGITUDE:;-47,88388888
ALTITUDE:;859,29
DATA DE FUNDACAO:;04/09/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;920,5;920,5;919,6;;23,6;19,1;24,2;23,6;21,5;19,1;86;76;76;164;6,8;2,1;
2026/01/01;0100 UTC;0;920,1;920,7;920;;23;18,3;23,6;23;19,1;18,3;77;75;75;183;4,9;1;
2026/01/01;0200 UTC;0;921,4;921,5;920,1;;21,8;18,7;23;21,8;18,7;18,3;82;75;82;257;6,8;,8;
2026/01/01;0300 UTC;,4;921,2;921,7;921,2;;20,7;19,3;22,5;20,6;19,4;18,7;92;79;92;259;7,8;,9;
2026/01/01;0400 UTC;4;920,7;921,2;920,7;;21;20,1;21,1;20,6;20,1;19,4;94;92;94;253;3,5;,4;
2026/01/01;0500 UTC;2,4;920,1;920,6;920,1;;20,4;19,5;21;20,4;20,1;19,5;94;94;94;235;3,7;1;
2026/01/01;0600 UTC;,2;919,4;920,1;919,3;;20,2;19,1;20,4;20;19,4;19;94;94;94;218;3,9;,1;
2026/01/01;0700 UTC;0;918,9;919,4;918,9;;20;19;20,4;20;19,3;18,9;94;93;94;32;2,8;1,1;
2026/01/01;0800 UTC;0;918,5;918,9;918,5;;19,7;18,8;20;19,7;19;18,8;95;94;95;9;2,9;,3;
2026/01/01;0900 UTC;0;918,8;918,8;918,5;14,7;19,5;18,7;19,7;19,5;18,8;18,6;95;95;95;36;2;,1;
2026/01/01;1000 UTC;0;919,3;919,3;918,8;437;21,2;19,7;22;19,5;20,9;18,7;95;92;92;343;3;,9;
2026/01/01;1100 UTC;0;919,6;919,6;919,3;884,9;22,1;19,3;22,4;21,2;20;19;92;82;84;19;3,5;1,4;
2026/01/01;1200 UTC;0;920;920;919,6;1150,2;23,4;20,7;23,4;21,8;20,7;19,2;87;84;85;332;3,5;,8;
2026/01/01;1300 UTC;0;919,9;920;919,9;2445,9;25,7;20,5;26;23,2;21,3;19,6;85;71;73;296;3,2;,8;
2026/01/01;1400 UTC;0;919,5;919,9;919,5;3481,6;27,1;20,8;27,1;25,6;21;19,2;73;67;69;316;5,8;2;
2026/01/01;1500 UTC;0;918,8;919,5;918,8;3805,9;29,4;22,5;29,4;26,5;22,5;19,9;71;63;66;292;6;1,2;
2026/01/01;1600 UTC;0;917,9;918,8;917,9;2732,7;28,2;20,2;29,5;27,1;22,1;19,2;68;58;62;284;8,8;1,9;
2026/01/01;1700 UTC;0;916,8;917,9;916,8;2976,4;28,4;19,8;30,2;28,2;21,6;18,4;65;51;60;278;7,1;2,5;
2026/01/01;1800 UTC;0;915,5;916,8;915,4;2354,1;30,3;18,6;30,8;28,3;21;18,4;61;48;50;273;6,3;1,9;
2026/01/01;1900 UTC;0;914,6;915,5;914,6;1987,9;29;18,4;30,8;29;20,2;18,3;57;49;53;273;6,5;1,8;
2026/01/01;2000 UTC;0;914,6;914,7;914,5;1625,4;29,3;18,9;30,2;28,5;19,7;18,2;58;50;53;269;7,4;1,6;
2026/01/01;2100 UTC;0;914,9;914,9;914,6;375,9;28,3;19,2;29,4;28,3;19,7;18,3;59;52;58;276;6,4;1,8;
2026/01/01;2200 UTC;0;915,2;915,3;914,9;73,1;26,2;19,9;28,3;26,2;20;19,2;68;58;68;275;5,1;,8;
2026/01/01;2300 UTC;0;915,7;915,9;915;;25,5;19,8;26,3;25,4;19,9;19,6;71;67;71;282;2,6;,5;
2026/01/02;0000 UTC;0;916,8;916,8;915,6;;25,2;19,6;25,8;25,2;19,8;19,5;71;69;71;273;3,7;,6;
2026/01/02;0100 UTC;0;917,4;917,5;916,8;;24,2;20;25,8;24,2;20,2;19,6;77;71;77;232;7,2;1,4;
2026/01/02;0200 UTC;1,8;919,2;919,2;917,4;;20,4;19,1;24,2;20,4;20,1;18,8;92;77;92;247;7,5;1,9;
2026/01/02;0300 UTC;3;918,4;919,2;918,4;;20;19,1;20,4;19,9;19,3;19;94;92;94;251;7;1,7;
2026/01/02;0400 UTC;1,8;917,4;918,4;917,4;;19,7;18,9;20;19,7;19,1;18,8;95;94;95;247;5,6;,3;
2026/01/02;0500 UTC;,2;916,3;917,4;916,3;;20,1;19,2;20,1;19,7;19,2;18,8;95;94;94;237;2,4;,4;
2026/01/02;0600 UTC;0;916;916,3;916;;20,2;19,3;20,2;20;19,3;19,1;95;94;94;358;2,2;,3;
2026/01/02;0700 UTC;,2;916;916;915,8;;20,1;19,1;20,6;20,1;19,6;19,1;94;94;94;38;4,2;1,2;
2026/01/02;0800 UTC;0;915,9;916;915,6;;19,9;19;20,1;19,8;19,2;18,9;95;94;95;40;4,9;1,4;
2026/01/02;0900 UTC;0;916,4;916,4;915,9;12,9;19,8;19;19,9;19,7;19,1;18,9;95;95;95;12;4,4;1,6;
2026/01/02;1000 UTC;0;917;917;916,3;189,3;19,9;19,1;19,9;19,6;19,2;18,8;95;95;95;352;5,8;1,8;
2026/01/02;1100 UTC;0;917,1;917,2;917;668,6;21,2;20,2;21,2;19,9;20,2;19,1;95;94;94;341;5,3;1,8;
2026/01/02;1200 UTC;0;917,5;917,5;917,1;1548,4;23,3;20,4;23,3;21,2;21,1;19,9;94;84;84;322;4,9;2,5;
2026/01/02;1300 UTC;0;917,3;917,5;917,3;2492,5;24,7;21,1;25,5;23,3;21,9;19,9;85;76;81;314;6,2;2,2;
2026/01/02;1400 UTC;0;916,8;917,3;916,8;1596,2;24,5;20,4;25,9;24,2;22;20,1;80;75;78;305;6,7;2,4;
2026/01/02;1500 UTC;0;915,8;916,8;915,8;1980,9;24,1;19,8;27,4;24,1;21,6;19,7;79;66;77;262;8,3;2;
2026/01/02;1600 UTC;5,2;914,9;915,8;914,9;2262,8;24,2;22;26,9;21,3;23,1;18,5;91;70;87;330;9,3;1,5;
2026/01/02;1700 UTC;1,2;913,6;914,9;913,6;2484,8;25,4;22,1;26,2;23,5;24;20;90;76;82;278;7,8;2;
2026/01/02;1800 UTC;2,2;913,9;914,1;913,4;980,8;22,8;20,9;25,8;22,8;22,4;20,4;89;77;89;272;8;1,5;
2026/01/02;1900 UTC;4,2;914;914,4;913,8;184,3;21;19,8;22,8;20,9;20,9;19,7;93;89;93;237;7;2,7;
2026/01/02;2000 UTC;,6;914,2;914,2;913,9;217,3;20,9;19,9;21,1;20,8;20,1;19,7;94;93;94;253;7,2;1,2;
2026/01/02;2100 UTC;1;913,3;914,3;913,3;99,8;20,6;19,6;20,9;20,5;19,9;19,5;94;94;94;228;4,7;,1;
2026/01/02;2200 UTC;,4;914;914;913,1;70,1;20,5;19,6;20,7;20,5;19,7;19,5;94;94;94;337;2,2;0;
2026/01/02;2300 UTC;,4;914,9;914,9;914;;20,6;19,7;20,7;20,4;19,8;19,5;95;94;95;323;,9;0;
2026/01/03;0000 UTC;,2;914,8;914,9;914,5;;20;19,2;20,7;20;19,8;19,2;95;95;95;355;1,4;,4;
2026/01/03;0100 UTC;,4;915,3;915,5;914,9;;20;19,2;20,1;19,9;19,3;19,1;95;95;95;8;3;1;
2026/01/03;0200 UTC;0;915,6;915,7;915,3;;20,3;19,5;20,3;20;19,6;19,2;95;95;95;16;3;,4;
2026/01/03;0300 UTC;0;915,6;915,6;915,3;;20,3;19,5;20,3;20,2;19,5;19,4;95;95;95;4;2,6;,4;
2026/01/03;0400 UTC;0;915,4;915,7;915,2;;20,3;19,5;20,4;20,3;19,6;19,5;95;95;95;340;1,7;,1;
2026/01/03;0500 UTC;0;915;915,4;915;;20,4;19,6;20,4;20,3;19,6;19,5;95;95;95;356;2,6;,5;
2026/01/03;0600 UTC;0;915,3;915,3;914,8;;20,3;19,5;20,4;20,3;19,6;19,4;95;95;95;286;3,6;1,3;
2026/01/03;0700 UTC;0;915,2;915,3;915,1;;20,4;19,6;20,4;20,2;19,6;19,4;95;95;95;298;3,8;,8;
2026/01/03;0800 UTC;0;915,4;915,5;915,2;;20,5;19,6;20,5;20,4;19,7;19,6;95;95;95;291;3,1;,9;
2026/01/03;0900 UTC;0;915,6;915,6;915,3;20,8;20,5;19,7;20,5;20,4;19,7;19,6;95;95;95;280;3;,6;
2026/01/03;1000 UTC;0;916,1;916,1;915,5;180,1;21;20,1;21;20,5;20,1;19,7;95;94;94;290;2,6;,6;
2026/01/03;1100 UTC;0;916,5;916,5;916,1;691,2;22,1;20,1;22,2;21;20,7;19,9;94;89;89;248;3,3;,3;
2026/01/03;1200 UTC;0;916,7;916,7;916,5;1381,4;24,1;20,1;24,5;22,1;21;19,8;89;77;78;258;3,3;,4;
2026/01/03;1300 UTC;0;916,7;916,9;916,6;1558,5;24,1;20,4;24,8;22,6;21,6;19,4;86;77;80;246;3,7;1;
2026/01/03;1400 UTC;0;916,3;916,7;916,3;2873,1;26,6;20,7;26,7;23,9;21,4;19,3;81;67;70;286;4,3;1,5;
2026/01/03;1500 UTC;0;916;916,4;916;2402,3;26,6;19,2;27,6;25,8;21,2;18,9;72;62;64;293;4,3;1,2;
2026/01/03;1600 UTC;0;915,3;916;915,3;3421,5;27,8;19,9;28,5;26,6;20,8;18,6;67;58;62;277;6,4;1,6;
2026/01/03;1700 UTC;0;914,7;915,4;914,7;3505,7;28,1;18,7;29,5;27,5;20,5;18,3;64;55;57;258;6,3;1,4;
2026/01/03;1800 UTC;0;914,3;914,7;914,3;2150,6;27,9;20;29,4;27,4;20,5;19,2;64;56;62;258;5;1,3;
2026/01/03;1900 UTC;0;913,6;914,3;913,6;1909,3;27,3;20,2;29;26,9;21;19,4;67;59;65;250;7,6;1,7;
2026/01/03;2000 UTC;0;913,4;913,6;913,3;1174,8;26,7;19,3;27,9;26,5;20,5;18,6;67;61;64;240;6;1,5;
2026/01/03;2100 UTC;0;913,7;913,7;913,4;462,2;25,5;20;26,7;25,5;20,1;19,2;72;64;72;251;7,1;,8;
2026/01/03;2200 UTC;0;914,5;914,5;913,7;131,5;24,5;19,8;25,5;24,5;20,1;19,8;75;71;75;251;3,8;,2;
2026/01/03;2300 UTC;0;915,1;915,2;914,5;;23,1;19,9;24,5;23,1;20,1;19,8;82;75;82;252;2,3;0;
2026/01/04;0000 UTC;0;915,7;915,7;915,1;;22,3;19,7;23,1;22,2;19,9;19,6;86;82;86;333;,7;0;
2026/01/04;0100 UTC;0;916,3;916,3;915,6;;21,6;19,6;22,3;21,6;19,9;19,6;89;86;89;170;0;0;
2026/01/04;0200 UTC;0;916,6;916,6;916,2;;21,2;19,6;21,6;21,2;19,9;19,5;91;89;90;245;,3;0;
2026/01/04;0300 UTC;0;916,7;917,1;916,6;;21;19,5;21,2;20,9;19,8;19,4;92;90;92;267;0;0;
2026/01/04;0400 UTC;0;916,4;916,7;916,4;;20,5;19,2;21,1;20,5;19,7;19,2;92;91;92;253;0;0;
2026/01/04;0500 UTC;0;916,2;916,4;916,2;;20,2;19;20,5;20,2;19,2;18,9;93;92;93;263;0;0;
2026/01/04;0600 UTC;0;916,1;916,2;916,1;;19,8;18,7;20,2;19,8;19;18,7;93;93;93;199;,5;0;
2026/01/04;0700 UTC;0;915,9;916,2;915,7;;20;19;20,5;19,7;19,4;18,7;94;93;94;217;,6;0;
2026/01/04;0800 UTC;0;916,3;916,3;915,8;;19,7;18,7;20;19,5;19;18,5;94;94;94;221;1,5;,1;
2026/01/04;0900 UTC;0;916,8;916,8;916,3;26,9;19,8;18,9;19,9;19,6;19;18,7;94;94;94;165;1,5;0;
2026/01/04;1000 UTC;0;917,3;917,3;916,7;463;21,9;19,7;22,1;19,9;20,3;19;94;88;88;164;2,2;,7;
2026/01/04;1100 UTC;0;917,6;917,7;917,3;1217,9;23,6;19,7;23,8;21,8;20,3;19,5;88;78;78;137;3,9;1,8;
2026/01/04;1200 UTC;0;917,9;917,9;917,6;1954;24,6;19,8;24,7;23,4;20,2;19,4;80;75;75;136;4,3;1,3;
2026/01/04;1300 UTC;0;918,2;918,2;917,9;2039,8;25;19,6;25,7;23,8;20,6;19,3;77;70;72;146;4,1;1,5;
2026/01/04;1400 UTC;0;918,1;918,2;918,1;2372,1;26,5;19,8;27,3;24,7;20,8;19,2;75;64;66;166;4,3;1,8;
2026/01/04;1500 UTC;0;917,5;918,1;917,5;2464,9;26,7;18,9;28,2;26,4;20,9;18,6;67;61;62;167;5,4;1,3;
2026/01/04;1600 UTC;0;917,2;917,5;917,2;1891,7;26,9;18,6;28,2;26,7;20,1;17,2;64;54;61;360;3,8;,1;
2026/01/04;1700 UTC;14;917,5;917,7;917,2;354,3;19,8;17,3;26,9;19,7;19,6;17,1;90;58;86;350;7,9;2,8;
2026/01/04;1800 UTC;8;917;917,8;917;489,2;19,4;17,3;20,7;19,2;18,6;17,3;90;85;88;343;6,7;2,7;
2026/01/04;1900 UTC;3,6;916;916,9;916;2444,6;27,1;19,1;27,1;19,1;22;17,1;92;61;62;45;5,6;,6;
2026/01/04;2000 UTC;,4;915,8;916;915,5;1771,9;27,4;17,9;27,7;27,1;19,2;17;62;53;56;129;2,9;,9;
2026/01/04;2100 UTC;0;916,1;916,2;915,7;337,1;25,7;18,4;27,4;25,7;19;17,8;64;56;64;155;6,1;1,6;
2026/01/04;2200 UTC;0;917,1;917,1;916;124,1;23,6;18,1;25,7;23,6;18,4;17,7;71;64;71;136;5,8;2,2;
2026/01/04;2300 UTC;0;917,6;917,7;917;1,1;23;18,7;23,6;22,8;18,7;18;77;71;77;149;4,6;2,3;
2026/01/05;0000 UTC;0;918,1;918,2;917,6;;22,6;18,4;23;22,6;18,7;18,4;78;77;77;124;7,9;2,3;
2026/01/05;0100 UTC;0;918,7;918,7;918,1;;21,5;17,8;22,6;21,5;18,4;17,8;80;77;80;124;7,7;2,3;
2026/01/05;0200 UTC;0;919,1;919,2;918,7;;20,1;17,2;21,5;20,1;17,9;17,2;83;80;83;138;7,7;2,9;
2026/01/05;0300 UTC;0;919,1;919,3;919,1;;19,1;16,4;20,1;19,1;17,2;16,4;85;83;84;143;8,3;3;
2026/01/05;0400 UTC;0;918,9;919,2;918,9;;18,4;15,9;19,1;18,4;16,4;15,9;86;84;86;121;7,6;2,3;
2026/01/05;0500 UTC;0;918,7;918,9;918,7;;17,9;15,6;18,4;17,9;15,9;15,6;86;85;86;130;6,1;2;
2026/01/05;0600 UTC;0;918,7;918,8;918,6;;17,5;15,5;17,9;17,5;15,6;15,5;88;86;88;132;6,7;3;
2026/01/05;0700 UTC;0;918,9;918,9;918,6;;17,5;15,5;17,6;17,4;15,6;15,4;88;88;88;132;7,7;2;
2026/01/05;0800 UTC;0;919,2;919,2;918,8;;17,5;15,7;17,6;17,5;15,7;15,5;89;88;89;127;7,7;2,2;
2026/01/05;0900 UTC;0;919,7;919,7;919,2;16,9;17,5;15,7;17,5;17,4;15,7;15,6;89;89;89;114;6,3;1,8;
2026/01/05;1000 UTC;0;920,3;920,3;919,7;468;18,9;16,1;18,9;17,5;16,3;15,7;89;84;84;131;7;2;
2026/01/05;1100 UTC;0;920,6;920,6;920,3;1399;20,1;16,3;20,2;18,8;16,5;15,9;84;78;79;135;7,3;3,6;
2026/01/05;1200 UTC;0;920,8;920,9;920,4;2260,2;22,2;17,1;22,4;20,2;17,4;16,2;79;72;73;125;7,1;2,8;
2026/01/05;1300 UTC;0;921;921,1;920,8;2639;23,2;17,1;23,9;21,9;18,3;16,6;74;67;69;121;6,2;1,9;
2026/01/05;1400 UTC;0;920,7;921;920,7;3183,2;25,3;18,1;25,6;23;18,8;16,9;71;63;64;165;5,6;1,8;
2026/01/05;1500 UTC;0;920,1;920,7;920,1;3221,5;26,3;18,8;26,6;24,6;19;17,2;67;60;63;302;5,9;1,9;
2026/01/05;1600 UTC;0;919,4;920,1;919,4;3172,4;26,3;17,8;27,2;25,1;19;16,9;65;57;59;268;5,9;1,9;
2026/01/05;1700 UTC;0;918,7;919,4;918,7;2339,4;25,9;17,7;27,9;25,7;19,4;16,9;61;55;60;148;4,6;1,3;
2026/01/05;1800 UTC;0;918,2;918,7;918,1;1254,6;27,7;18,8;27,7;25,2;19,2;17,4;64;57;58;179;5,9;2,4;
2026/01/05;1900 UTC;0;917,7;918,2;917,7;2619,5;26,4;17;27,8;26,4;18,1;16,8;58;55;56;148;8,3;3,3;
2026/01/05;2000 UTC;0;917,4;917,7;917,3;1810,3;25,8;16,9;27,1;25,6;17,9;16,6;59;55;58;150;10;4,2;
2026/01/05;2100 UTC;0;917,8;917,8;917,3;365,3;23,9;16,6;26,1;23,9;17,2;16;64;56;64;139;11,6;4,9;
2026/01/05;2200 UTC;0;918,6;918,7;917,8;87,6;22,1;16,1;23,9;22,1;16,7;16,1;69;63;69;151;11,6;4,8;
2026/01/05;2300 UTC;0;919,4;919,4;918,6;;20,7;15,5;22,1;20,7;16,1;15,5;72;69;72;150;10,9;4,6;
2026/01/06;0000 UTC;0;920,4;920,4;919,4;;19,7;15,4;20,7;19,7;15,5;15,3;76;72;76;123;10,7;2,9;
2026/01/06;0100 UTC;0;921,5;921,5;920,3;;19;15,1;19,7;19;15,4;15,1;78;76;78;119;10,2;3,2;
2026/01/06;0200 UTC;0;921,4;921,5;921,4;;18,5;15,1;19;18,4;15,2;15,1;81;78;81;119;8,9;1,9;
2026/01/06;0300 UTC;0;921,4;921,4;921,2;;18,1;15,1;18,5;18,1;15,2;15,1;83;81;83;115;5,3;,9;
2026/01/06;0400 UTC;0;921;921,5;921;;17,6;15;18,1;17,5;15,1;15;85;83;85;115;4,2;1,1;
2026/01/06;0500 UTC;0;920,8;921;920,8;;17;14,8;17,6;16,9;15;14,8;87;85;87;110;4,4;,3;
2026/01/06;0600 UTC;0;920,8;920,9;920,7;;16,6;14,8;17;16,6;14,9;14,8;89;87;89;110;2,3;,2;
2026/01/06;0700 UTC;0;920,7;920,9;920,7;;16,7;15;16,7;16,6;15;14,8;90;89;90;103;3,2;,9;
2026/01/06;0800 UTC;0;920,7;920,7;920,6;;16,6;14,9;16,9;16,6;15,1;14,9;90;89;90;142;4;1,6;
2026/01/06;0900 UTC;0;921,2;921,2;920,7;13,7;16,6;15;16,6;16,4;15;14,8;91;90;90;152;4;,8;
2026/01/06;1000 UTC;0;921,6;921,6;921,2;476,2;19,2;15,9;19,2;16,6;16,3;15,1;90;81;81;173;3,3;1,6;
2026/01/06;1100 UTC;0;921,9;922;921,6;1070,5;21,7;16;21,7;18,9;16,5;15,4;81;69;70;295;5,6;2,1;
2026/01/06;1200 UTC;0;922,2;922,2;921,9;2045,9;22;15,8;22,3;20,8;16;15;71;65;68;298;10,2;4,7;
2026/01/06;1300 UTC;0;922,2;922,3;922,1;2353,3;22,8;16,1;23,2;21,9;16,4;15,3;68;63;66;297;9,4;3,4;
2026/01/06;1400 UTC;0;921,9;922,3;921,9;2656,8;24;16,4;24,4;22,5;17,2;15,7;68;63;63;305;9,3;4;
2026/01/06;1500 UTC;0;921,7;921,9;921,7;3546,9;25,2;16,9;25,2;23,2;17,6;15,8;66;58;60;349;8,4;3,7;
2026/01/06;1600 UTC;0;921,3;921,7;921,3;2579,6;25;17,2;25,3;24,1;17,2;15,8;63;57;62;346;8;2,9;
2026/01/06;1700 UTC;0;920,7;921,3;920,6;3369,6;25,5;16,4;26,7;25;18,1;16,4;63;56;57;311;7,1;2,7;
2026/01/06;1800 UTC;0;919,8;920,6;919,8;2895;26,2;16,9;27,3;25,3;18;16,5;61;54;57;359;6,9;2,9;
2026/01/06;1900 UTC;0;919,3;919,9;919,3;2253,2;26,8;17;27,5;25,4;17,8;16,2;60;52;55;306;6,6;2,9;
2026/01/06;2000 UTC;0;918,9;919,3;918,7;1674,4;25,6;16,6;26,9;25,4;17,6;16,3;59;53;58;303;6,7;2,6;
2026/01/06;2100 UTC;0;919,1;919,2;918,8;464,4;25,3;16,9;26,2;25,3;17,5;16,5;60;56;60;298;6;2,2;
2026/01/06;2200 UTC;0;919,8;919,8;919,1;102,9;24;17,2;25,3;24;17,2;16,6;66;59;66;299;5,5;1,2;
2026/01/06;2300 UTC;0;920,7;920,7;919,8;;22,8;17,1;24;22,8;17,1;17;70;66;70;299;4,2;2;
2026/01/07;0000 UTC;0;921,3;921,3;920,7;;21,8;17;22,8;21,8;17,1;16,9;74;70;74;316;4,9;1,7;
2026/01/07;0100 UTC;0;922;922;921,4;;21,1;17;21,8;21,1;17,1;17;77;74;77;321;4,4;1,3;
2026/01/07;0200 UTC;0;922,2;922,2;922;;20,5;16,9;21,1;20,5;17;16,9;80;78;80;297;7;2,4;
2026/01/07;0300 UTC;0;921,8;922,2;921,8;;20,1;17;20,5;20,1;17,1;16,9;83;80;83;302;5,6;1,7;
