REGIAO:;SE
UF:;SP
ESTACAO:;MARILIA
CODIGO (WMO):;A763
LATITUDE:;-22,23527777
LONGITUDE:;-49,965
ALTITUDE:;660
DATA DE FUNDACAO:;15/05/17
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;939,1;939,1;938,5;1;22,3;;23,8;22,3;;;;;;289;6,7;2,5;
2026/01/01;0100 UTC;4,2;940;940;939,1;;21,7;;22,3;21,7;;;;;;302;6,7;1,3;
2026/01/01;0200 UTC;2,6;940,4;940,5;940;;21,6;;21,8;21,5;;;;;;163;3,1;1,2;
2026/01/01;0300 UTC;2;939,7;940,4;939,7;;21,5;;21,6;21,4;;;;;;148;4,9;1,7;
2026/01/01;0400 UTC;,2;938,6;939,7;938,6;;21,2;;21,6;21,2;;;;;;141;5,5;1,4;
2026/01/01;0500 UTC;0;937,5;938,6;937,5;;21;;21,2;21;;;;;;121;4,1;1,7;
2026/01/01;0600 UTC;0;937,1;937,5;937,1;;20,8;;21,1;20,8;;;;;;140;3,4;,7;
2026/01/01;0700 UTC;0;936,8;937,1;936,6;;21;;21;20,7;;;;;;56;1,8;,7;
2026/01/01;0800 UTC;0;936,6;936,8;936,6;;21,5;;21,5;20,9;;;;;;37;2;1,2;
2026/01/01;0900 UTC;0;937,1;937,1;936,6;13,4;21,9;;22,2;21,5;22,2;19,2;100;75;;28;3,4;1,4;
2026/01/01;1000 UTC;0;937,8;937,8;937,1;139,9;21,7;;21,9;21,6;;;;;;342;4,2;1,7;
2026/01/01;1100 UTC;0;937,9;937,9;937,7;1071,6;23,6;23,6;23,7;21,7;;;;;100;11;4,6;2;
2026/01/01;1200 UTC;0;938,4;938,4;937,9;2094,4;25,4;25,4;25,4;23,2;25,4;23,3;100;98;100;360;4,9;1,4;
2026/01/01;1300 UTC;0;938,2;938,4;938,2;2892,2;27,1;24,3;27,2;25,2;26,4;24;100;84;84;5;4,1;1,7;
2026/01/01;1400 UTC;0;937,9;938,2;937,9;3405,5;28,6;23,9;28,8;26,8;25,5;23,1;91;73;76;339;5,3;1,9;
2026/01/01;1500 UTC;0;937,4;937,9;937,4;3368,4;29;23,2;29,3;28,5;24,5;21,7;78;65;71;304;6,5;2,4;
2026/01/01;1600 UTC;0;936,5;937,4;936,5;2888,1;29,1;23;30,5;28,7;24,6;21,1;74;59;70;288;7;2,7;
2026/01/01;1700 UTC;0;934,9;936,5;934,9;2742,7;30,4;21,9;31,3;28,6;24,2;20,9;73;55;61;312;6,2;2,4;
2026/01/01;1800 UTC;0;934;934,9;934;2693,8;30,1;20,5;31,7;30,1;24,1;20,5;68;55;57;285;8,2;2,6;
2026/01/01;1900 UTC;0;933,1;934;933,1;1625,6;30,9;23,8;30,9;29,5;24,9;20,4;75;57;66;241;8,2;1,7;
2026/01/01;2000 UTC;0;933,3;933,5;933;1667,8;29,8;22,7;31,8;29,8;24,3;21,1;67;55;66;278;5,9;2;
2026/01/01;2100 UTC;0;933,2;933,4;933,1;668,6;26,8;24,5;29,9;26,8;24,8;20,1;88;58;87;163;5,3;,9;
2026/01/01;2200 UTC;0;934,2;934,2;933,2;127,5;25,9;24,3;26,8;25,3;25,3;24,1;100;87;91;245;3,6;1,3;
2026/01/01;2300 UTC;35,2;935,5;936,2;934,3;2;20,9;;25,9;20,9;;;;;;238;13,6;,7;
2026/01/02;0000 UTC;2;935,7;935,7;935,4;;21,1;;21,1;20,8;;;;;;133;2,7;,5;
2026/01/02;0100 UTC;,6;936,4;936,4;935,7;;20,9;;21,1;20,9;;;;;;88;1,8;,5;
2026/01/02;0200 UTC;0;936,7;936,8;936,4;;21,5;;21,5;20,9;;;;;;14;1,7;1;
2026/01/02;0300 UTC;0;935,9;936,7;935,9;;21,3;;21,8;21,3;;;;;;6;3,7;1,7;
2026/01/02;0400 UTC;0;935,1;935,9;935,1;;21,5;;21,6;21,3;;;;;;28;3,5;1,3;
2026/01/02;0500 UTC;0;933,8;935,1;933,8;;21,7;;21,7;21,4;;;;;;342;3,5;1,8;
2026/01/02;0600 UTC;0;933,2;933,8;933,2;;21,6;;21,7;21,5;;;;;;345;4,6;1,4;
2026/01/02;0700 UTC;0;933,2;933,2;933,1;;21,3;;21,6;21,3;;;;;;341;3,7;1,7;
2026/01/02;0800 UTC;0;933,4;933,4;933;;21,5;;21,5;21,3;;;;;;337;5;2;
2026/01/02;0900 UTC;0;934,2;934,2;933,4;8,2;21,7;;21,7;21,5;;;;;;340;5;1,6;
2026/01/02;1000 UTC;0;934,8;934,9;934,1;90,3;22;;22;21,8;;;;;;338;5,2;1,8;
2026/01/02;1100 UTC;0;935;935,1;934,8;548,5;23,3;;23,3;21,9;;;;;;330;5,2;2,1;
2026/01/02;1200 UTC;0;935,4;935,4;935;1686,8;25;25;25;23,3;;;;;100;335;6,2;2,3;
2026/01/02;1300 UTC;0;935,4;935,5;935,4;2615;26,4;24,9;26,7;24,8;26,1;24,4;100;88;92;311;6,2;2,2;
2026/01/02;1400 UTC;,2;934,8;935,4;934,8;2058,2;26,2;25,5;27;25,6;26,1;24,3;100;87;96;301;5,7;2,1;
2026/01/02;1500 UTC;3,8;934,8;935,1;934,5;1031,5;21,2;;26,7;21,2;26;23,5;100;88;;301;9,8;3,7;
2026/01/02;1600 UTC;2,4;933,9;934,8;933,9;347,2;22,4;;22,5;20,9;;;;;;279;9,8;1;
2026/01/02;1700 UTC;0;933,6;933,9;933,6;1022,6;23,5;;23,7;22,4;;;;;;285;3,9;1,4;
2026/01/02;1800 UTC;2;933,5;933,7;933,4;317,3;22,3;;23,8;22,3;;;;;;283;5,1;2,4;
2026/01/02;1900 UTC;4,2;932,5;933,6;932,4;45,5;21,5;;22,3;21,5;;;;;;259;5,1;1,1;
2026/01/02;2000 UTC;,8;931,1;932,5;931,1;204,6;21,7;;21,7;21,2;;;;;;245;3,9;,9;
2026/01/02;2100 UTC;0;931;931,1;930,4;456;22;;22,2;21,7;;;;;;310;3,1;1,2;
2026/01/02;2200 UTC;0;931,8;931,8;931;98,4;21,4;;22;21,4;;;;;;294;4,1;1,5;
2026/01/02;2300 UTC;0;931,7;931,9;931;0;21,4;;21,4;21,2;;;;;;314;4,4;1,3;
2026/01/03;0000 UTC;0;932,1;932,3;931,7;;21,2;;21,4;21,1;;;;;;327;2,7;,7;
2026/01/03;0100 UTC;0;933;933;932,1;;21,4;;21,5;20,9;;;;;;10;2,2;1,2;
2026/01/03;0200 UTC;0;933,8;933,8;933;;21,1;;21,5;21,1;;;;;;342;2,3;,9;
2026/01/03;0300 UTC;0;933,2;933,8;933,2;;20,7;;21,1;20,6;;;;;;73;2,5;,6;
2026/01/03;0400 UTC;0;933,2;933,2;933;;20,8;;20,8;20,4;;;;;;2;2,7;,9;
2026/01/03;0500 UTC;0;933,5;933,6;933,2;;20,9;;21;20,8;;;;;;336;4;1,9;
2026/01/03;0600 UTC;0;933,4;933,5;933,3;;20,9;;21;20,8;;;;;;305;4;1,5;
2026/01/03;0700 UTC;0;933;933,4;933;;20,9;;20,9;20,8;;;;;;279;3,8;1,6;
2026/01/03;0800 UTC;0;933,2;933,2;933;;20,8;;20,9;20,7;;;;;;283;3,6;,9;
2026/01/03;0900 UTC;,2;933,5;933,6;933,1;6,9;20,7;;20,9;20,6;;;;;;290;2,7;,5;
2026/01/03;1000 UTC;0;934,2;934,2;933,5;132,9;20,8;;21;20,7;;;;;;226;2,1;,5;
2026/01/03;1100 UTC;0;934,7;934,7;934,2;402,2;21,4;;21,4;20,8;;;;;;265;2,3;,7;
2026/01/03;1200 UTC;0;935,2;935,2;934,7;597,5;22,2;;22,2;21,4;;;;;;234;2,2;,6;
2026/01/03;1300 UTC;0;935,3;935,3;935,2;1364,1;23,3;;24;22,1;;;;;;317;2,8;1,3;
2026/01/03;1400 UTC;0;935,3;935,3;935,2;1124,8;23,4;23,5;24,7;23,2;24,7;23,2;100;97;100;284;3,6;1,7;
2026/01/03;1500 UTC;0;935,3;935,4;935,2;1117,8;24,9;24,5;24,9;23,4;24,8;23,4;100;96;98;237;3,4;,7;
2026/01/03;1600 UTC;0;935,1;935,3;935,1;2088,2;27,1;22,7;27,3;24,6;25,5;21,9;100;77;77;248;4,3;1,3;
2026/01/03;1700 UTC;0;934,7;935,1;934,7;2898,7;28;23,6;28,5;26,2;25,2;21,4;89;68;77;233;4,8;1,4;
