REGIAO:;S
UF:;PR
ESTACAO:;MAL. CANDIDO RONDON
CODIGO (WMO):;A820
LATITUDE:;-24,53333333
LONGITUDE:;-54,01916666
ALTITUDE:;392,07
DATA DE FUNDACAO:;18/11/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;966;966,1;965,4;;21,9;21;22,2;21,9;21,3;21;95;95;95;189;0;0;
2026/01/01;0100 UTC;0;966,1;966,1;965,9;;21,8;21;21,9;21,8;21,1;20,9;95;95;95;192;0;0;
2026/01/01;0200 UTC;0;966,7;966,8;966,1;;21,7;20,9;22;21,7;21,1;20,9;95;95;95;207;0;0;
2026/01/01;0300 UTC;0;966,7;966,8;966,6;;21,9;21,2;22;21,7;21,2;20,9;95;95;95;211;0;0;
2026/01/01;0400 UTC;0;966,2;966,8;966,2;;22,3;21,5;22,3;21,9;21,5;21,2;95;95;95;187;0;0;
2026/01/01;0500 UTC;0;965,6;966,2;965,6;;22,3;21,5;22,4;22,3;21,5;21,5;95;95;95;185;0;0;
2026/01/01;0600 UTC;0;964,9;965,6;964,9;;22,4;21,6;22,5;22,3;21,6;21,5;95;95;95;169;0;0;
2026/01/01;0700 UTC;0;964,4;964,9;964,3;;22,6;21,8;22,6;22,4;21,8;21,6;95;95;95;173;0;0;
2026/01/01;0800 UTC;0;964,6;964,6;964,3;;22,6;21,8;22,7;22,6;21,8;21,7;95;95;95;188;0;0;
2026/01/01;0900 UTC;1,6;965,3;965,3;964,6;;22,8;21,9;22,8;22,6;21,9;21,8;95;95;95;134;0;0;
2026/01/01;1000 UTC;0;965,9;965,9;965,2;80,3;23;22,2;23,1;22,8;22,2;21,9;95;95;95;164;1;0;
2026/01/01;1100 UTC;,2;966,3;966,3;965,9;316,7;23,5;22,5;23,6;23;22,6;22,2;95;94;94;134;0;0;
2026/01/01;1200 UTC;0;966,4;966,4;966,3;433,6;24,1;23;24,1;23,5;23;22,5;94;94;94;105;1,6;0;
2026/01/01;1300 UTC;0;966,5;966,5;966,3;802,7;24,5;22,9;24,7;24;23,6;22,7;94;90;91;96;3,7;0;
2026/01/01;1400 UTC;0;966,5;966,5;966,3;1494;25,9;23,2;26,3;24,5;24,1;22,9;91;84;85;85;8,2;,7;
2026/01/01;1500 UTC;,2;965,9;966,5;965,9;1180,1;26,8;23,6;27,3;25,2;24,5;22,5;86;82;82;71;8,2;,6;
2026/01/01;1600 UTC;0;964,8;966;964,8;2000,2;27,3;23,3;27,4;26,2;24;22,9;84;78;79;45;9,7;4,5;
2026/01/01;1700 UTC;0;963,7;964,8;963,7;3200,7;28,4;23,7;29,1;27;24,6;22,8;79;74;76;47;9,6;0;
2026/01/01;1800 UTC;0;962,6;963,7;962,6;2562,4;28,7;23,2;29,6;28,3;24,3;22,9;76;70;72;38;8;2,3;
2026/01/01;1900 UTC;0;962,1;962,6;962;2289,8;29,5;22,8;30,4;28,6;24,5;22,7;73;67;68;47;7,8;2,9;
2026/01/01;2000 UTC;0;961,7;962,1;961,4;1360,8;29;23,6;30,6;29;24,3;22,9;75;67;73;59;7,5;0;
2026/01/01;2100 UTC;0;961,8;962;961,7;903,8;27,4;24,2;30;27,1;24,4;23,5;83;70;83;62;9,9;3,9;
2026/01/01;2200 UTC;0;962,1;962,2;961,8;443,6;25,5;23,4;27,8;25,4;24,4;23,1;88;81;88;71;9,2;0;
2026/01/01;2300 UTC;17;964,6;964,6;962,1;6,8;21,7;20,7;25,6;21,7;23,7;20,6;94;86;94;323;9,3;0;
2026/01/02;0000 UTC;6,6;962,6;964,8;962,6;;21,2;20,4;21,8;21,2;21,1;20,4;96;94;95;188;0;0;
2026/01/02;0100 UTC;0;963,4;963,5;962,6;;21,1;20,4;21,2;20,9;20,5;20,1;96;95;96;284;0;0;
2026/01/02;0200 UTC;0;964,1;964,2;963,4;;21,3;20,6;21,3;21,1;20,6;20,4;96;96;96;34;0;0;
2026/01/02;0300 UTC;,6;962,6;964,1;962,6;;21,3;20,6;21,5;21,3;20,9;20,6;96;96;96;189;0;0;
2026/01/02;0400 UTC;0;963,1;963,1;962,3;;21,1;20,4;21,3;21;20,6;20,4;96;96;96;62;0;0;
2026/01/02;0500 UTC;0;962,7;963,1;962,7;;20,7;20,1;21,1;20,6;20,4;20;96;96;96;205;0;0;
2026/01/02;0600 UTC;0;962,8;962,9;962,7;;20,6;20;20,8;20,6;20,2;20;96;96;96;106;0;0;
2026/01/02;0700 UTC;0;961,9;962,8;961,9;;20,3;19,8;20,6;20,2;20;19,7;97;96;97;173;0;0;
2026/01/02;0800 UTC;0;962,2;962,2;961,9;;20;19,5;20,3;19,7;19,8;19,2;97;96;97;234;0;0;
2026/01/02;0900 UTC;0;962,3;962,3;962,1;2,1;20,2;19,7;20,2;19,9;19,7;19,3;97;97;97;229;0;0;
2026/01/02;1000 UTC;,2;963,2;963,2;962,3;356,4;21,9;21,3;22;20,2;21,4;19,7;97;96;96;227;0;0;
2026/01/02;1100 UTC;0;963,8;963,8;963,2;678,2;23,5;22,6;23,5;21,9;22,7;21,3;96;95;95;164;0;0;
2026/01/02;1200 UTC;0;963,4;963,8;963,4;1056,2;24,4;22,3;25,1;23,5;23,6;22,1;95;88;88;233;0;0;
2026/01/02;1300 UTC;7,2;963,9;964;963,4;700,6;23,3;21,9;25,5;23,1;22,3;21;92;80;92;62;0;0;
2026/01/02;1400 UTC;1,2;963,7;964;963,6;558,1;22,3;21,1;23,4;22,2;22,1;20,9;93;91;93;315;0;0;
2026/01/02;1500 UTC;,6;963;963,7;962,9;1925,7;26,4;24,3;26,4;21,9;24,9;20,6;93;87;88;342;7,5;0;
2026/01/02;1600 UTC;0;962;963;962;3433;28,8;24,3;29;25,8;25,3;22,9;88;76;77;342;2,4;0;
2026/01/02;1700 UTC;0;961,6;962;961,6;3723,2;29,5;24,4;29,8;28,1;25;23,1;78;71;74;321;0;0;
2026/01/02;1800 UTC;0;960,7;961,6;960,7;2986,4;29,2;23,6;30,4;28,3;25;22,5;74;68;72;314;0;0;
2026/01/02;1900 UTC;0;960;960,7;960;2637,3;30,1;22,4;31,1;29;24,6;22,3;72;61;63;327;,1;0;
2026/01/02;2000 UTC;0;959,4;960;959,4;1939,9;29;21,9;30,8;28,9;23,6;21,5;67;62;66;335;3,3;0;
2026/01/02;2100 UTC;0;958,6;959,4;958,6;1026,7;29,8;23,1;29,8;28,8;23,3;22,1;71;66;68;335;0;0;
2026/01/02;2200 UTC;0;959,3;959,3;958,6;596,8;28,1;23,2;29,8;28,1;23,3;22,3;75;66;75;330;0;0;
2026/01/02;2300 UTC;0;960,7;960,8;959,3;43,6;25,2;21,9;28,1;25,2;22,9;21,8;82;74;82;330;0;0;
2026/01/03;0000 UTC;0;961,5;961,5;960,8;;24,1;21,8;25,3;24,1;22,2;21,6;87;82;87;323;0;0;
2026/01/03;0100 UTC;0;962,3;962,3;961,5;;23,4;21,6;24,1;23,4;21,8;21,6;90;87;90;317;0;0;
2026/01/03;0200 UTC;0;962,5;962,6;962,3;;22,9;21,2;23,5;22,9;21,7;21,2;91;90;91;308;0;0;
2026/01/03;0300 UTC;0;962,3;962,6;962,2;;22,5;21,2;22,9;22,3;21,3;20,9;92;91;92;304;0;0;
2026/01/03;0400 UTC;0;962,4;962,4;962,2;;21,7;20,5;22,7;21,7;21,5;20,5;93;92;93;193;0;0;
2026/01/03;0500 UTC;0;962,5;962,5;962,3;;22,1;21,1;22,2;21,1;21,1;19,8;94;92;94;108;0;0;
2026/01/03;0600 UTC;0;962,3;962,5;962,3;;22,4;21,6;22,4;21,7;21,6;20,9;95;94;95;99;0;0;
2026/01/03;0700 UTC;,2;962,1;962,3;962,1;;22,9;22,2;23;22,4;22,2;21,6;96;95;96;103;0;0;
2026/01/03;0800 UTC;0;962,5;962,5;961,9;;22,7;22;22,9;22,6;22,2;21,9;96;96;96;115;0;0;
2026/01/03;0900 UTC;0;962,8;962,8;962,4;2,9;22,5;21,9;22,7;22,4;22;21,8;96;96;96;288;0;0;
2026/01/03;1000 UTC;0;963,4;963,4;962,8;129,9;23;22,4;23,1;22,5;22,5;21,9;96;96;96;285;0;0;
2026/01/03;1100 UTC;0;963,8;963,8;963,4;772,1;23,3;22,7;23,8;22,8;23,2;22,2;97;96;96;196;0;0;
2026/01/03;1200 UTC;0;963,9;964;963,7;1840,7;26,2;25,3;26,3;23,3;25,6;22,7;96;95;95;109;0;0;
2026/01/03;1300 UTC;0;964,3;964,3;963,9;2789;28,1;23,8;28,5;26,1;25,9;23,6;95;77;77;99;0;0;
2026/01/03;1400 UTC;0;964,6;964,7;964,3;3057,9;29,2;23,4;29,8;28;24,6;23,1;79;70;71;114;0;0;
2026/01/03;1500 UTC;0;964,4;964,7;964,2;3237,2;31,4;22,7;31,4;28,9;24,5;21,7;74;59;60;26;0;0;
2026/01/03;1600 UTC;0;964,5;964,6;964,4;3589,8;31,7;22,5;31,9;30,5;23,4;20,7;62;55;58;354;,1;0;
2026/01/03;1700 UTC;0;964,7;964,7;964,5;3669,6;32;21,7;32,1;30,4;22,8;20;61;50;54;350;8,4;,6;
2026/01/03;1800 UTC;0;964,3;964,7;964,3;3302;31,6;20,8;32,3;30,9;23;20,6;60;52;53;311;10,1;3,4;
2026/01/03;1900 UTC;0;963,5;964,3;963,4;2217,5;31,8;21,2;32,1;29,7;23,3;20,8;63;53;54;338;9,9;4,6;
2026/01/03;2000 UTC;0;962,8;963,5;962,8;2119,8;30,4;20,7;31,8;30,3;22;20,1;57;52;56;332;10,6;6,2;
2026/01/03;2100 UTC;0;962,3;962,8;962,3;1418,8;29,5;20,7;31;29,5;21,8;20,2;59;56;59;320;10,1;1;
2026/01/03;2200 UTC;0;962,5;962,5;962,3;572,9;27,6;20,8;29,5;27,6;20,8;20;66;58;66;314;7,3;0;
2026/01/03;2300 UTC;0;963;963;962,5;33,9;23,9;21,2;27,6;23,9;21,2;20,9;85;66;85;316;0;0;
2026/01/04;0000 UTC;0;964;964;963;;24,1;21,6;24,1;23,7;21,6;21,1;86;85;86;315;0;0;
2026/01/04;0100 UTC;0;964,5;964,5;963,8;;24,5;22,1;24,5;23,7;22,2;21,3;88;86;87;319;0;0;
2026/01/04;0200 UTC;0;965,2;965,2;964,5;;24,2;20,6;24,7;24,1;22,1;20,5;87;80;80;310;5,8;0;
2026/01/04;0300 UTC;0;965,1;965,2;965;;22,4;20,4;24,1;22,3;20,5;19,8;89;80;89;328;0;0;
2026/01/04;0400 UTC;0;965,1;965,2;965;;21,6;20;22,4;21,6;20,5;20;91;89;91;322;0;0;
2026/01/04;0500 UTC;0;965;965,2;965;;20,8;19,2;21,6;20,6;20;19;92;90;91;284;0;0;
2026/01/04;0600 UTC;0;964,8;965;964,7;;19,6;17,5;20,8;19,6;19,2;17,5;91;88;88;298;0;0;
2026/01/04;0700 UTC;0;965;965,1;964,8;;19,1;17,4;19,6;19,1;17,8;17,4;90;88;90;314;0;0;
2026/01/04;0800 UTC;0;965,5;965,5;965;;18,5;16,8;19,1;18,2;17,4;16,6;91;90;90;315;0;0;
2026/01/04;0900 UTC;0;966,2;966,2;965,5;;17,8;15,9;18,5;17,7;16,8;15,8;90;88;89;307;0;0;
2026/01/04;1000 UTC;0;967;967;966,2;327,1;19,5;16,4;19,5;17,8;16,5;15,9;89;83;83;316;0;0;
2026/01/04;1100 UTC;0;967,4;967,4;967;1173,6;21,6;16,6;21,6;19,5;17,1;16,4;83;73;73;304;0;0;
2026/01/04;1200 UTC;0;967,9;967,9;967,4;2047,9;23,3;17,6;23,4;21,6;17,9;16,6;75;68;70;296;0;0;
2026/01/04;1300 UTC;0;968,2;968,2;967,9;2823,2;25,3;17,5;25,4;23,1;18,1;16,7;71;62;62;288;3,9;0;
2026/01/04;1400 UTC;0;968,3;968,4;968,1;3434,3;26,3;16,6;26,3;25,1;17,8;15,6;63;53;55;273;3,9;0;
