REGIAO:;S
UF:;PR
ESTACAO:;DIAMANTE DO NORTE
CODIGO (WMO):;A849
LATITUDE:;-22,63944444
LONGITUDE:;-52,89027777
ALTITUDE:;368,22
DATA DE FUNDACAO:;06/03/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;970,2;970,2;969,1;;24,3;21,8;25,7;24,3;21,8;21,3;86;78;86;236;0;0;
2026/01/01;0100 UTC;0;970,2;970,3;970;;23,9;22,1;24,4;23,9;22,1;21,8;89;86;89;236;0;0;
2026/01/01;0200 UTC;0;970,4;970,6;970,2;;24,4;22,2;24,4;23,9;22,3;21,9;89;87;88;236;0;0;
2026/01/01;0300 UTC;0;970,3;970,6;970,2;;24,1;22,6;24,4;24,1;22,8;22,1;91;87;91;236;0;0;
2026/01/01;0400 UTC;0;969,7;970,3;969,7;;24,4;23,1;24,4;24;23,1;22,6;93;91;92;236;0;0;
2026/01/01;0500 UTC;0;969,1;969,7;969,1;;24,2;23;24,5;24,2;23,1;22,8;94;92;94;236;0;0;
2026/01/01;0600 UTC;0;968,9;969,1;968,9;;23,5;22,4;24,2;23,5;23;22,4;94;93;94;236;0;0;
2026/01/01;0700 UTC;0;968,7;968,9;968,7;;23,4;22,9;23,6;23,3;23;22,4;97;94;97;236;0;0;
2026/01/01;0800 UTC;0;968,6;968,7;968,4;;23,9;23,8;23,9;23,2;23,9;22,8;100;97;100;236;0;0;
2026/01/01;0900 UTC;0;969,2;969,2;968,6;0;24,1;23;24,1;23,8;23,7;22,8;100;94;94;236;0;0;
2026/01/01;1000 UTC;0;969,7;969,7;969,2;115,6;24,6;23,2;24,6;24,1;23,2;23;94;92;92;236;0;0;
2026/01/01;1100 UTC;0;969,9;970;969,7;815,7;26;22,7;26,1;24,6;23,5;22,5;92;82;82;236;0;0;
2026/01/01;1200 UTC;0;970,1;970,1;969,9;1251,1;27,2;22,4;27,6;26;23,1;22,1;83;74;75;236;0;0;
2026/01/01;1300 UTC;0;969,9;970,1;969,9;2337;29;22,2;29,5;27,1;23,3;22,1;76;66;67;236;0;0;
2026/01/01;1400 UTC;0;969,5;970;969,5;2933,2;30,3;22,3;31,2;28,9;23,4;22;68;61;62;236;0;0;
2026/01/01;1500 UTC;0;968,6;969,6;968,6;3391,2;31,7;22,6;32,2;30,1;23,3;22;64;58;59;236;0;0;
2026/01/01;1600 UTC;0;967,2;968,6;967,1;3497,3;34,1;22,7;34,1;31;23,3;21,5;61;52;52;236;0;0;
2026/01/01;1700 UTC;0;967,3;967,7;967,1;744,8;25,3;22,2;34,1;25,3;22,5;20,5;83;49;83;236;0;0;
2026/01/01;1800 UTC;0;966,9;967,3;966,6;523,5;27,1;22,8;27,1;25,1;22,8;22;86;77;77;236;0;0;
2026/01/01;1900 UTC;10,8;966,8;967,6;966,8;250,3;23,4;22,5;27,5;22,7;23,2;21,4;100;75;95;236;0;0;
2026/01/01;2000 UTC;,6;966,1;967;966,1;137,6;23,5;22,5;23,9;23,4;23;22,5;96;94;94;236;0;0;
2026/01/01;2100 UTC;,4;965,9;966,1;965,7;253,1;24,1;22,9;24,2;23,5;23,1;22,5;95;93;93;236;0;0;
2026/01/01;2200 UTC;0;965,8;965,9;965,7;173,7;24,6;23,2;24,6;24,1;23,4;22,9;93;92;92;236;0;0;
2026/01/01;2300 UTC;0;966,4;966,4;965,8;19,2;24,1;23;24,6;24;23,3;22,9;94;92;94;236;0;0;
2026/01/02;0000 UTC;0;966,9;967;966,3;;23,9;23,1;24,2;23,9;23,5;23;96;94;95;236;0;0;
2026/01/02;0100 UTC;0;967,5;967,5;966,9;;24,2;23,4;24,2;23,7;23,9;22,9;99;95;95;236;0;0;
2026/01/02;0200 UTC;0;967,6;967,7;967,5;;24,4;23,6;24,5;24;23,7;23;96;94;95;236;0;0;
2026/01/02;0300 UTC;0;967,4;967,8;967,4;;24;23,1;24,5;23,9;23,7;22,9;95;94;95;236;0;0;
2026/01/02;0400 UTC;0;966,8;967,5;966,8;0;24,6;22,9;24,7;24;23,4;22,9;95;90;90;236;0;0;
2026/01/02;0500 UTC;0;965,9;966,8;965,9;;24,3;23,2;24,6;24,2;23,2;22,8;93;90;93;236;0;0;
2026/01/02;0600 UTC;0;964,6;965,9;964,6;;24,2;;24,3;24,2;24,2;23,1;100;93;;236;0;0;
2026/01/02;0700 UTC;0;964,9;964,9;964,4;;24,2;;24,3;24,1;24,3;23,9;100;99;;236;2,7;1,4;
2026/01/02;0800 UTC;0;965,6;965,6;964,9;;23,9;23,9;24,2;23,9;;;;;100;236;2,3;1,3;
2026/01/02;0900 UTC;0;965,7;965,8;965,5;1,6;24,1;;24,1;23,9;;;;;;236;4,6;,7;
2026/01/02;1000 UTC;0;966,4;966,4;965,7;118;24,5;24,5;24,6;23,9;;;;;100;236;2,8;,4;
2026/01/02;1100 UTC;0;966,8;966,8;966,4;489,7;25,4;23,9;25,4;24,5;24,7;23,4;100;91;91;236;4,7;1,6;
2026/01/02;1200 UTC;0;966,5;966,8;966,4;1439,4;26,8;23,6;26,8;25,3;24,1;22,8;91;83;83;236;5;1,8;
2026/01/02;1300 UTC;14,6;966,8;967;966,5;433,5;23,6;22,9;27,3;23,6;24,3;22,6;96;81;96;236;8,8;4,4;
2026/01/02;1400 UTC;2,6;966,5;966,8;966,4;289,4;23,9;23,3;23,9;23,5;;;;;96;236;8;,9;
2026/01/02;1500 UTC;0;965,9;966,5;965,9;1849,6;27;24,6;27,3;23,9;25,4;23,3;99;87;87;236;3,6;2;
2026/01/02;1600 UTC;1,6;964,8;965,9;964,8;1890,6;26,2;24;27,7;26,1;25,4;23,8;91;85;88;236;5,5;2,3;
2026/01/02;1700 UTC;9,8;965,1;965,7;964,5;1153;21,4;20,6;28;21,4;25,2;20,4;95;79;95;236;14,7;5,2;
2026/01/02;1800 UTC;6,4;965,1;965,7;964,6;175,3;21,8;21,1;21,8;21,1;;;;;96;236;12,6;1,1;
2026/01/02;1900 UTC;,8;962,9;965,1;962,9;108,2;21,8;21;22;21,6;21,3;20,7;96;94;95;236;3,8;1,8;
2026/01/02;2000 UTC;0;962,4;963,2;962,3;292,1;23,2;22,2;23,2;21,7;22,2;20,9;96;94;94;236;3,9;,7;
2026/01/02;2100 UTC;0;963,5;963,5;962,3;289;23,1;21,6;23,4;22,8;22,3;21,4;94;91;91;236;3,1;,8;
2026/01/02;2200 UTC;0;963,6;963,8;963,2;265,2;23,1;21,7;23,5;23;22,2;21,7;94;91;92;236;4;1,8;
2026/01/02;2300 UTC;0;964,1;964,1;963,5;14,9;22,2;21,3;23,2;22,2;21,9;21,3;95;92;94;236;3,1;0;
2026/01/03;0000 UTC;0;965,1;965,1;964;;22;;22,3;21,9;22,1;21,2;100;94;;236;1,3;,4;
2026/01/03;0100 UTC;0;965,4;965,4;965;;22;;22,1;21,8;;;;;;236;1,7;,9;
2026/01/03;0200 UTC;0;965,6;965,7;965,1;;21,7;;22,1;21,6;;;;;;236;2,2;1,5;
2026/01/03;0300 UTC;0;965,7;965,7;965,5;;22;;22;21,6;;;;;;236;2,2;,6;
2026/01/03;0400 UTC;0;965,6;965,9;965,6;;21,9;;22;21,7;;;;;;236;2,9;,9;
2026/01/03;0500 UTC;0;965,4;965,6;965,3;;21,7;;21,9;21,5;;;;;;236;1,9;,8;
2026/01/03;0600 UTC;0;965,4;965,6;965,4;;21,9;;21,9;21,2;;;;;;236;2;,7;
2026/01/03;0700 UTC;0;964,9;965,4;964,9;;22,2;;22,2;21,8;;;;;;236;1,9;,6;
2026/01/03;0800 UTC;0;965,1;965,1;964,8;,1;22;;22,2;22;;;;;;236;2,3;,7;
2026/01/03;0900 UTC;0;965,7;965,7;965,1;1,4;22;;22,1;21,9;;;;;;236;1,6;0;
2026/01/03;1000 UTC;0;966,6;966,6;965,7;93,8;22,3;;22,3;21,9;;;;;;236;2;,3;
2026/01/03;1100 UTC;0;967,3;967,3;966,6;413,3;22,9;;23,1;22,3;;;;;;236;2,9;1,7;
2026/01/03;1200 UTC;0;967,5;967,6;967,3;1043,1;24,4;;24,5;22,8;;;;;;236;3,2;1,6;
2026/01/03;1300 UTC;0;967,8;967,8;967,5;2146,5;26,7;23,8;26,8;24,2;24,8;23,6;99;84;84;236;3,4;,5;
2026/01/03;1400 UTC;0;967,9;968;967,8;1966,3;27,6;23,5;28,2;26,4;24,1;22,8;84;75;78;236;4,1;1,1;
2026/01/03;1500 UTC;0;967,6;967,9;967,6;2408,2;29,5;23,9;29,8;27,7;24,8;23;80;70;72;236;2,8;1,6;
2026/01/03;1600 UTC;,2;967,2;967,6;967,2;2937,2;30,8;23,5;31,2;29,3;24,6;22,6;72;62;65;236;3,9;1,1;
2026/01/03;1700 UTC;0;966,9;967,2;966,8;3022,2;31,4;23,4;31,5;29,7;25,6;23,3;75;62;63;236;7;2,8;
2026/01/03;1800 UTC;0;966,2;966,9;966,2;2705,2;31,8;22,7;32,2;30,2;24,8;22,3;68;57;59;236;5,9;2,9;
2026/01/03;1900 UTC;0;965,3;966,2;965,3;2524,1;31,7;22,6;32,8;31,1;23,5;21,7;61;54;59;236;5,9;2,5;
2026/01/03;2000 UTC;0;964,9;965,3;964,9;1379,2;32,6;22;32,9;30,6;23,3;21,5;62;53;54;236;7;3,9;
2026/01/03;2100 UTC;0;964,8;964,9;964,8;1374,9;32;21,8;32,9;31,3;23;21,2;57;53;55;236;7;1,9;
2026/01/03;2200 UTC;0;964,6;964,8;964,5;495,2;29,7;22,1;32,2;29,7;22,3;20,8;64;52;64;236;4,5;1,6;
2026/01/03;2300 UTC;0;965,5;965,5;964,5;19;27,6;22,2;29,7;26,7;22,8;21,9;79;64;73;236;6,2;2,5;
2026/01/04;0000 UTC;0;966,1;966,1;965,5;;26,3;17,9;27,6;26,3;21,9;17,9;73;58;60;236;6,2;1,8;
2026/01/04;0100 UTC;0;967;967;966,1;;24;19,6;26,5;23,7;19,6;17,7;78;59;77;236;4,5;1,6;
2026/01/04;0200 UTC;0;967,8;967,8;967;;23,8;20;24,8;23,7;20,2;19,5;80;73;79;236;3,9;2,5;
2026/01/04;0300 UTC;0;967,3;967,8;967,3;;23,7;20,6;24,1;23,4;20,6;20,1;83;79;83;236;3,9;2,2;
2026/01/04;0400 UTC;0;966,9;967,3;966,9;;23,3;20,3;23,7;23,1;20,6;20,1;84;82;83;236;3,5;2,1;
2026/01/04;0500 UTC;0;966,8;966,9;966,8;;22,7;20;23,3;22,6;20,3;19,9;85;83;85;236;3,6;1,3;
2026/01/04;0600 UTC;0;966,6;966,8;966,5;;22,7;19,9;23;22,6;20,2;19,6;86;83;84;236;2,3;0;
2026/01/04;0700 UTC;0;966,5;966,7;966,5;;22,1;20,6;22,7;21,9;20,6;19,9;91;85;91;236;1,2;,1;
2026/01/04;0800 UTC;0;966,7;966,7;966,5;;21,9;20;22,4;21,9;20,7;19,8;91;87;89;236;1,3;0;
2026/01/04;0900 UTC;0;967,3;967,3;966,6;5,2;21,4;20,2;22,4;21,2;20,4;19,5;93;87;93;236;3,7;,6;
2026/01/04;1000 UTC;0;967,8;967,8;967,3;294,6;23,8;21,9;23,8;21,4;21,9;20,2;93;89;89;236;3;1,2;
2026/01/04;1100 UTC;0;968,6;968,6;967,8;950;26,1;21,8;26,1;23,8;22,6;21,6;89;77;77;236;3,7;2;
2026/01/04;1200 UTC;0;969,1;969,1;968,6;1899,5;28,2;22,7;28,2;26;22,9;21,7;78;71;72;236;4,4;1,8;
2026/01/04;1300 UTC;0;969,4;969,5;969,1;2363,4;29,3;22,3;29,3;28;22,6;21,4;72;65;66;236;4,3;1,8;
2026/01/04;1400 UTC;0;969,4;969,6;969,4;2122,1;30,1;21,8;30,5;28,5;23,4;21,1;70;60;61;236;5;2,2;
2026/01/04;1500 UTC;0;969,2;969,4;969,2;2535,1;31,1;23,3;31,1;28,7;23,8;21,2;72;59;64;236;6,8;3,1;
2026/01/04;1600 UTC;0;968,7;969,2;968,7;2341,1;29,7;21,4;31,5;29,5;23,2;20,7;65;55;61;236;6,8;3,9;
2026/01/04;1700 UTC;0;968,5;968,7;968,4;3339,3;30,9;21,1;31,9;29,6;22,7;20,9;63;53;56;236;10,3;4,1;
2026/01/04;1800 UTC;0;967,7;968,5;967,7;3137,6;31,5;18;32,4;30,3;21,9;17,6;59;43;45;236;8,8;3,5;
2026/01/04;1900 UTC;0;967;967,7;967;2484,8;30,7;18,7;32,5;30,4;20;17,6;50;42;49;236;8,5;4,5;
2026/01/04;2000 UTC;0;966,8;967;966,8;1830,7;31,5;17,1;32,1;30;19,4;16,8;49;41;42;236;7,9;4;
2026/01/04;2100 UTC;0;967;967;966,8;1366,4;30;15,1;31,6;30;17,8;15;44;40;40;236;8,1;4,2;
2026/01/04;2200 UTC;0;967,3;967,3;966,9;467,5;27,1;15,8;30;27,1;16;14,8;50;40;50;236;6,9;3,3;
2026/01/04;2300 UTC;0;968;968;967,3;20,8;24,3;16,4;27,1;24,3;16,4;15,6;61;50;61;236;5,1;2,7;
2026/01/05;0000 UTC;0;968,6;968,6;968;;23,1;16,6;24,3;23,1;16,7;16,4;67;61;67;236;4,4;2,8;
2026/01/05;0100 UTC;0;969,2;969,2;968,6;;22,9;16,1;23,1;22,7;16,7;16,1;68;66;66;236;4,6;2,1;
2026/01/05;0200 UTC;0;969,5;969,6;969,2;;21,9;15,4;23;21,9;16,1;15,4;67;64;67;236;4,9;2,4;
2026/01/05;0300 UTC;0;969,5;969,6;969,5;;21,1;15,6;22,2;21,1;15,6;15,4;71;66;71;236;5,5;2;
2026/01/05;0400 UTC;0;969,3;969,5;969,2;;20,4;15,5;21,1;20,3;15,8;15,5;74;71;73;236;4,2;1,2;
2026/01/05;0500 UTC;0;968,7;969,3;968,7;;19,3;15,6;20,5;19,2;15,9;15,5;80;73;79;236;3,5;1,3;
2026/01/05;0600 UTC;0;968,4;968,7;968,4;;19,8;14,7;19,8;18,9;15,6;14,7;79;73;73;236;5,1;2,6;
2026/01/05;0700 UTC;0;968,8;968,8;968,4;;21,1;15,1;21,2;19,8;15,3;14,6;73;68;68;236;5,9;3,2;
2026/01/05;0800 UTC;0;969,2;969,2;968,8;;21,9;17,6;21,9;21;17,6;15;76;68;76;236;6,6;3,6;
2026/01/05;0900 UTC;0;970,2;970,2;969,3;2,2;21,6;17,8;22,2;21,6;18,8;17,6;82;76;79;236;11,4;5,7;
2026/01/05;1000 UTC;0;970,7;970,7;970,2;232,7;21,3;17,4;21,6;21,3;17,7;17,3;79;78;78;236;12,5;5,3;
2026/01/05;1100 UTC;0;971,1;971,1;970,6;1144,4;23,2;17,9;23,2;21,3;17,9;17,3;79;72;72;236;12,3;5,9;
2026/01/05;1200 UTC;0;971,1;971,1;970,9;1960,9;24,8;18,1;25;23,1;18,5;17,3;72;65;66;236;10,9;5,5;
2026/01/05;1300 UTC;0;971,4;971,5;971,1;2626,4;25,9;18,3;25,9;24,8;19;17,8;68;63;63;236;11,1;6,9;
2026/01/05;1400 UTC;0;971,5;971,7;971,4;3097,2;26,5;18,5;27,2;25,7;19,5;18,1;65;61;62;236;10,6;5,4;
2026/01/05;1500 UTC;0;971,2;971,5;971,1;3535,9;27,7;19,3;28,3;26,5;20,1;18,7;63;58;60;236;9,5;4,3;
2026/01/05;1600 UTC;0;970,7;971,2;970,7;3746,4;28,9;19,8;29,4;27,6;20,6;19,2;62;57;58;236;8,9;4,7;
2026/01/05;1700 UTC;0;970;970,7;970;3735,8;29,7;20,5;29,8;28,6;20,7;19,1;60;55;58;236;8,8;3,8;
2026/01/05;1800 UTC;0;969,4;970,1;969,4;3360,9;30,5;20,4;30,8;29,6;20,8;19,4;58;52;55;236;8,5;3,4;
2026/01/05;1900 UTC;0;968,6;969,4;968,6;2775,7;31,3;19,3;31,3;30,1;20,6;18,5;56;48;49;236;8,3;3,1;
2026/01/05;2000 UTC;0;968;968,6;967,9;2101,3;30,9;19,9;31,4;30,5;20,4;18;54;47;52;236;6,6;3,6;
2026/01/05;2100 UTC;0;968;968;967,9;1339,3;29,9;19,7;30,9;29,9;20,4;19,2;55;50;54;236;6,4;3,6;
2026/01/05;2200 UTC;0;968,1;968,1;967,9;455,1;27,9;19,9;29,9;27,9;20,2;19,5;62;54;62;236;6;3;
2026/01/05;2300 UTC;0;968,5;968,5;968,1;13,4;25,7;20;27,9;25,6;20,1;19,8;71;62;71;236;5,2;2,8;
2026/01/06;0000 UTC;0;969,2;969,2;968,5;;24,9;19,7;25,8;24,9;20;19,7;73;70;73;236;5,5;3;
2026/01/06;0100 UTC;0;970;970;969,1;;24,4;19,8;25;24,3;19,8;19,7;76;73;76;236;6,3;3,7;
2026/01/06;0200 UTC;0;970,2;970,2;970;;23,6;18,9;24,4;23,6;19,8;18,9;77;74;75;236;8,6;4,1;
