REGIAO:;S
UF:;PR
ESTACAO:;MORRETES
CODIGO (WMO):;A873
LATITUDE:;-25,50888888
LONGITUDE:;-48,80861111
ALTITUDE:;50,31
DATA DE FUNDACAO:;13/03/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;1004;1004,4;1004;;22,7;;22,8;22,7;;;;;;316;0;0;
2026/01/01;0100 UTC;0;1003,9;1004,2;1003,9;;22,9;;22,9;22,7;;;;;;282;0;0;
2026/01/01;0200 UTC;0;1003,5;1004;1003,5;;22,9;;23;22,9;;;;;;351;1,2;0;
2026/01/01;0300 UTC;,4;1002,7;1003,5;1002,7;;22,9;;23;22,9;;;;;;32;0;0;
2026/01/01;0400 UTC;,6;1001,6;1002,7;1001,6;;22,9;;23;22,8;;;;;;304;0;0;
2026/01/01;0500 UTC;0;1001,6;1001,7;1001,5;;22,9;;22,9;22,8;;;;;;337;0;0;
2026/01/01;0600 UTC;0;1000,8;1001,7;1000,8;;23,3;;23,4;22,8;;;;;;42;3,7;2,4;
2026/01/01;0700 UTC;,4;1000,3;1000,8;1000,3;;22,9;;23,5;22,9;;;;;;329;3,7;0;
2026/01/01;0800 UTC;,4;1000,3;1000,4;1000,1;;24,4;21,9;24,4;22,8;;;;;86;16;0;0;
2026/01/01;0900 UTC;1;1000,9;1000,9;1000,3;32,8;25;21,6;25,2;23,6;23,4;21,5;100;81;81;15;2,3;0;
2026/01/01;1000 UTC;1,2;1001,4;1001,4;1000,8;144,5;24,1;;25;23,5;;;;;;40;2,6;1,3;
2026/01/01;1100 UTC;0;1001,1;1001,5;1001,1;382,2;24,6;;24,8;23,5;;;;;;4;2,2;0;
2026/01/01;1200 UTC;0;1000,6;1001,1;1000,6;1096,5;27,3;25;27,4;24,6;;;;;88;351;1,7;0;
2026/01/01;1300 UTC;0;1000;1000,6;999,8;1196,3;28;24,3;28,3;27,1;26,5;23,9;96;78;81;67;4,6;2;
2026/01/01;1400 UTC;0;999,7;1000;999,7;899,2;27,9;24,2;28;27,6;25,3;23,2;87;76;80;81;4,6;2,1;
2026/01/01;1500 UTC;0;999,3;999,7;999,3;1465,8;30,3;23,8;30,5;27,9;25,5;23,2;83;67;68;45;3,5;,4;
2026/01/01;1600 UTC;0;998,7;999,3;998,7;1783,2;30,8;25,6;31,2;29,4;26,3;24,1;78;68;74;63;3,6;,9;
